,Locations,Total Cases,Rate**
0,Laboratory Confirmed Cases (LCC),5940,
1,- Los Angeles County (excl. LB and Pas),5684,
2,- Long Beach,198,
3,- Pasadena,58,
4,,132,
5,Deaths,127,
6,- Los Angeles County (excl. LB and Pas),3,
7,- Long Beach,2,
8,- Pasadena,,
9,,,
10,,,
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,
12,0 to 17,57,
13,18 to 40,1989,
14,41 to 65,2451,
15,Over 65,1156,
16,Under Investigation,31,
17,Gender,,
18,Male,2899,
19,Female,2547,
20,Under Investigation,238,
21,,,
22,,,
23,Hospitalization LAC cases only (not Long Beach and Pasadena),,
24,Hospitalized (Ever),1257,
25,,,
26,,,
27,CITY/COMMUNITY**,,
28,City of Agoura Hills,18,85.03
29,City of Alhambra,21,24.22
30,City of Arcadia,14,24.56
31,City of Artesia,--,--
32,City of Avalon,0,0
33,City of Azusa,13,26.27
34,City of Baldwin Park,10,13.43
35,City of Bell,20,54.65
36,City of Bell Gardens,12,28.03
37,City of Bellflower,32,42.07
38,City of Beverly Hills,65,187.58
39,City of Bradbury,0,0
40,City of Burbank,70,66.86
41,City of Calabasas,20,82.7
42,City of Carson,83,88.54
43,City of Cerritos,20,40.61
44,City of Claremont,5,13.84
45,City of Commerce,0,0
46,City of Compton,34,33.68
47,City of Covina,18,36.64
48,City of Cudahy,15,61.16
49,City of Culver City,26,64.43
50,City of Diamond Bar,12,21.01
51,City of Downey,68,59.75
52,City of Duarte,--,--
53,City of El Monte,18,15.83
54,City of El Segundo,7,42.22
55,City of Gardena,30,49.44
56,City of Glendale,129,63.99
57,City of Glendora,14,26.8
58,City of Hawaiian Gardens,--,--
59,City of Hawthorne,39,44.43
60,City of Hermosa Beach,17,86.25
61,City of Hidden Hills,0,0
62,City of Huntington Park,26,43.69
63,City of Industry,--,--
64,City of Inglewood,69,59.3
65,City of Irwindale,0,0
66,City of La Canada Flintridge,14,68.32
67,City of La Habra Heights,0,0
68,City of La Mirada,15,30.32
69,City of La Puente,12,29.72
70,City of La Verne,7,21.14
71,City of Lakewood,29,37.09
72,City of Lancaster,51,32.57
73,City of Lawndale,13,38.95
74,City of Lomita,9,44.53
75,City of Lynwood,37,51.25
76,City of Malibu,8,63.15
77,City of Manhattan Beach,46,130.79
78,City of Maywood,15,53.33
79,City of Monrovia,11,29.36
80,City of Montebello,17,26.67
81,City of Monterey Park,15,24.54
82,City of Norwalk,49,46.73
83,City of Palmdale,37,23.17
84,City of Palos Verdes Estates,23,168.29
85,City of Paramount,23,40.91
86,City of Pico Rivera,31,48.4
87,City of Pomona,24,15.46
88,City of Rancho Palos Verdes,28,65.26
89,City of Redondo Beach,64,92.33
90,City of Rolling Hills,--,--
91,City of Rolling Hills Estates,8,100.06
92,City of Rosemead,8,14.53
93,City of San Dimas,9,26.46
94,City of San Fernando,9,36.79
95,City of San Gabriel,10,24.81
96,City of San Marino,5,36.99
97,City of Santa Clarita,102,46.5
98,City of Santa Fe Springs,--,--
99,City of Santa Monica,68,72.8
100,City of Sierra Madre,--,--
101,City of Signal Hill,--,--
102,City of South El Monte,--,--
103,City of South Gate,52,52.14
104,City of South Pasadena,10,38.55
105,City of Temple City,9,24.66
106,City of Torrance,86,58.63
107,City of Vernon,0,0
108,City of Walnut,8,26.61
109,City of West Covina,12,11.14
110,City of West Hollywood,83,231.86
111,City of Westlake Village,--,--
112,City of Whittier,23,26.11
113,Los Angeles,2659,65.91
114,Los Angeles - Adams-Normandie,13,153.18
115,Los Angeles - Alsace,--,--
116,Los Angeles - Angelino Heights,0,0
117,Los Angeles - Arleta,15,42.72
118,Los Angeles - Atwater Village,6,40.81
119,Los Angeles - Baldwin Hills,20,66.68
120,Los Angeles - Bel Air,18,219.03
121,Los Angeles - Beverly Crest,25,201.69
122,Los Angeles - Beverlywood,17,127.62
