,location,cases,Rate**,date
35,City of Bell,35.0,96.33,2020-04-10 20:08:30.735022
36,City of Bell Gardens,23.0,53.4,2020-04-10 20:08:30.735022
37,City of Bellflower,48.0,61.75,2020-04-10 20:08:30.735022
38,City of Beverly Hills,71.0,205.68,2020-04-10 20:08:30.735022
39,City of Bradbury,0.0,0,2020-04-10 20:08:30.735022
40,City of Burbank,96.0,89.57,2020-04-10 20:08:30.735022
41,City of Calabasas,23.0,94.56,2020-04-10 20:08:30.735022
42,City of Carson,113.0,120.41,2020-04-10 20:08:30.735022
43,City of Cerritos,30.0,59.92,2020-04-10 20:08:30.735022
44,City of Claremont,10.0,27.41,2020-04-10 20:08:30.735022
45,City of Commerce,,--,2020-04-10 20:08:30.735022
46,City of Compton,54.0,54.05,2020-04-10 20:08:30.735022
47,City of Covina,35.0,71.38,2020-04-10 20:08:30.735022
48,City of Cudahy,20.0,82.15,2020-04-10 20:08:30.735022
49,City of Culver City,31.0,77.76,2020-04-10 20:08:30.735022
50,City of Diamond Bar,18.0,31.3,2020-04-10 20:08:30.735022
51,City of Downey,94.0,82.27,2020-04-10 20:08:30.735022
52,City of Duarte,8.0,36.34,2020-04-10 20:08:30.735022
53,City of El Monte,26.0,22.17,2020-04-10 20:08:30.735022
54,City of El Segundo,10.0,59.57,2020-04-10 20:08:30.735022
55,City of Gardena,53.0,86.45,2020-04-10 20:08:30.735022
56,City of Glendale,218.0,105.57,2020-04-10 20:08:30.735022
57,City of Glendora,18.0,34.11,2020-04-10 20:08:30.735022
58,City of Hawaiian Gardens,,--,2020-04-10 20:08:30.735022
59,City of Hawthorne,64.0,72.08,2020-04-10 20:08:30.735022
60,City of Hermosa Beach,17.0,86.43,2020-04-10 20:08:30.735022
61,City of Hidden Hills,0.0,0,2020-04-10 20:08:30.735022
62,City of Huntington Park,39.0,65.56,2020-04-10 20:08:30.735022
63,City of Industry,,--,2020-04-10 20:08:30.735022
64,City of Inglewood,105.0,92.44,2020-04-10 20:08:30.735022
65,City of Irwindale,0.0,0,2020-04-10 20:08:30.735022
66,City of La Canada Flintridge,17.0,82.15,2020-04-10 20:08:30.735022
67,City of La Habra Heights,,--,2020-04-10 20:08:30.735022
68,City of La Mirada,21.0,42.34,2020-04-10 20:08:30.735022
69,City of La Puente,18.0,44.23,2020-04-10 20:08:30.735022
70,City of La Verne,8.0,24.04,2020-04-10 20:08:30.735022
71,City of Lakewood,40.0,49.77,2020-04-10 20:08:30.735022
72,City of Lancaster,79.0,48.9,2020-04-10 20:08:30.735022
73,City of Lawndale,24.0,71.4,2020-04-10 20:08:30.735022
74,City of Lomita,18.0,86.83,2020-04-10 20:08:30.735022
75,City of Lynwood,64.0,88.83,2020-04-10 20:08:30.735022
76,City of Malibu,14.0,108.02,2020-04-10 20:08:30.735022
77,City of Manhattan Beach,53.0,147.23,2020-04-10 20:08:30.735022
78,City of Maywood,25.0,89.13,2020-04-10 20:08:30.735022
79,City of Monrovia,12.0,30.93,2020-04-10 20:08:30.735022
80,City of Montebello,46.0,71.46,2020-04-10 20:08:30.735022
81,City of Monterey Park,29.0,46.58,2020-04-10 20:08:30.735022
82,City of Norwalk,69.0,64.11,2020-04-10 20:08:30.735022
83,City of Palmdale,88.0,55.36,2020-04-10 20:08:30.735022
84,City of Palos Verdes Estates,32.0,236.65,2020-04-10 20:08:30.735022
85,City of Paramount,36.0,64.26,2020-04-10 20:08:30.735022
86,City of Pico Rivera,52.0,80.89,2020-04-10 20:08:30.735022
87,City of Pomona,45.0,28.86,2020-04-10 20:08:30.735022
88,City of Rancho Palos Verdes,36.0,84.22,2020-04-10 20:08:30.735022
