,location,cases,Rate,date
146,Los Angeles - Brookside,0.0,0.0,2020-05-12 19:13:21.155291
147,Los Angeles - Cadillac-Corning,22.0,308.95,2020-05-12 19:13:21.155291
148,Los Angeles - Canoga Park,384.0,588.15,2020-05-12 19:13:21.155291
149,Los Angeles - Carthay,69.0,480.4,2020-05-12 19:13:21.155291
150,Los Angeles - Central,201.0,515.49,2020-05-12 19:13:21.155291
151,Los Angeles - Century City,32.0,250.16,2020-05-12 19:13:21.155291
152,Los Angeles - Century Palms/Cove,132.0,390.93,2020-05-12 19:13:21.155291
153,Los Angeles - Chatsworth,131.0,353.47,2020-05-12 19:13:21.155291
154,Los Angeles - Cheviot Hills,18.0,196.27,2020-05-12 19:13:21.155291
155,Los Angeles - Chinatown,10.0,124.67,2020-05-12 19:13:21.155291
156,Los Angeles - Cloverdale/Cochran,46.0,316.09,2020-05-12 19:13:21.155291
157,Los Angeles - Country Club Park,77.0,508.15,2020-05-12 19:13:21.155291
158,Los Angeles - Crenshaw District,60.0,433.87,2020-05-12 19:13:21.155291
159,Los Angeles - Crestview,76.0,668.54,2020-05-12 19:13:21.155291
160,Los Angeles - Del Rey,58.0,193.75,2020-05-12 19:13:21.155291
161,Los Angeles - Downtown,90.0,327.19,2020-05-12 19:13:21.155291
162,Los Angeles - Eagle Rock,129.0,325.85,2020-05-12 19:13:21.155291
163,Los Angeles - East Hollywood,172.0,587.29,2020-05-12 19:13:21.155291
164,Los Angeles - Echo Park,33.0,231.48,2020-05-12 19:13:21.155291
165,Los Angeles - El Sereno,124.0,296.59,2020-05-12 19:13:21.155291
166,Los Angeles - Elysian Park,12.0,210.08,2020-05-12 19:13:21.155291
167,Los Angeles - Elysian Valley,32.0,314.62,2020-05-12 19:13:21.155291
168,Los Angeles - Encino,102.0,225.8,2020-05-12 19:13:21.155291
169,Los Angeles - Exposition,6.0,180.4,2020-05-12 19:13:21.155291
170,Los Angeles - Exposition Park,175.0,389.61,2020-05-12 19:13:21.155291
171,Los Angeles - Faircrest Heights,4.0,111.11,2020-05-12 19:13:21.155291
172,Los Angeles - Figueroa Park Square,24.0,275.2,2020-05-12 19:13:21.155291
173,Los Angeles - Florence-Firestone,200.0,421.54,2020-05-12 19:13:21.155291
174,Los Angeles - Glassell Park,140.0,442.98,2020-05-12 19:13:21.155291
175,Los Angeles - Gramercy Place,43.0,399.48,2020-05-12 19:13:21.155291
176,Los Angeles - Granada Hills,178.0,305.89,2020-05-12 19:13:21.155291
177,Los Angeles - Green Meadows,94.0,437.11,2020-05-12 19:13:21.155291
178,Los Angeles - Hancock Park,72.0,422.56,2020-05-12 19:13:21.155291
179,Los Angeles - Harbor City,57.0,196.08,2020-05-12 19:13:21.155291
180,Los Angeles - Harbor Gateway,87.0,199.54,2020-05-12 19:13:21.155291
181,Los Angeles - Harbor Pines,6.0,249.07,2020-05-12 19:13:21.155291
182,Los Angeles - Harvard Heights,88.0,487.94,2020-05-12 19:13:21.155291
183,Los Angeles - Harvard Park,186.0,490.31,2020-05-12 19:13:21.155291
184,Los Angeles - Highland Park,120.0,247.98,2020-05-12 19:13:21.155291
185,Los Angeles - Historic Filipinotown,87.0,627.25,2020-05-12 19:13:21.155291
186,Los Angeles - Hollywood,220.0,322.33,2020-05-12 19:13:21.155291
187,Los Angeles - Hollywood Hills,73.0,248.01,2020-05-12 19:13:21.155291
188,Los Angeles - Hyde Park,95.0,332.85,2020-05-12 19:13:21.155291
189,Los Angeles - Jefferson Park,26.0,322.06,2020-05-12 19:13:21.155291
190,Los Angeles - Koreatown,196.0,379.16,2020-05-12 19:13:21.155291
191,Los Angeles - Lafayette Square,15.0,329.02,2020-05-12 19:13:21.155291
192,Los Angeles - Lake Balboa,138.0,326.97,2020-05-12 19:13:21.155291
193,Los Angeles - Lakeview Terrace,73.0,555.85,2020-05-12 19:13:21.155291
