,location,cases,Rate**,date
35,City of Bell,31.0,85.32,2020-04-09 16:48:51.512612
36,City of Bell Gardens,21.0,48.76,2020-04-09 16:48:51.512612
37,City of Bellflower,44.0,56.6,2020-04-09 16:48:51.512612
38,City of Beverly Hills,71.0,205.68,2020-04-09 16:48:51.512612
39,City of Bradbury,0.0,0,2020-04-09 16:48:51.512612
40,City of Burbank,88.0,82.1,2020-04-09 16:48:51.512612
41,City of Calabasas,21.0,86.34,2020-04-09 16:48:51.512612
42,City of Carson,103.0,109.75,2020-04-09 16:48:51.512612
43,City of Cerritos,29.0,57.92,2020-04-09 16:48:51.512612
44,City of Claremont,10.0,27.41,2020-04-09 16:48:51.512612
45,City of Commerce,,--,2020-04-09 16:48:51.512612
46,City of Compton,49.0,49.05,2020-04-09 16:48:51.512612
47,City of Covina,33.0,67.3,2020-04-09 16:48:51.512612
48,City of Cudahy,19.0,78.04,2020-04-09 16:48:51.512612
49,City of Culver City,30.0,75.25,2020-04-09 16:48:51.512612
50,City of Diamond Bar,17.0,29.56,2020-04-09 16:48:51.512612
51,City of Downey,89.0,77.89,2020-04-09 16:48:51.512612
52,City of Duarte,5.0,22.71,2020-04-09 16:48:51.512612
53,City of El Monte,25.0,21.32,2020-04-09 16:48:51.512612
54,City of El Segundo,9.0,53.62,2020-04-09 16:48:51.512612
55,City of Gardena,47.0,76.66,2020-04-09 16:48:51.512612
56,City of Glendale,194.0,93.95,2020-04-09 16:48:51.512612
57,City of Glendora,18.0,34.11,2020-04-09 16:48:51.512612
58,City of Hawaiian Gardens,,--,2020-04-09 16:48:51.512612
59,City of Hawthorne,62.0,69.83,2020-04-09 16:48:51.512612
60,City of Hermosa Beach,17.0,86.43,2020-04-09 16:48:51.512612
61,City of Hidden Hills,0.0,0,2020-04-09 16:48:51.512612
62,City of Huntington Park,38.0,63.88,2020-04-09 16:48:51.512612
63,City of Industry,,--,2020-04-09 16:48:51.512612
64,City of Inglewood,99.0,87.16,2020-04-09 16:48:51.512612
65,City of Irwindale,0.0,0,2020-04-09 16:48:51.512612
66,City of La Canada Flintridge,16.0,77.32,2020-04-09 16:48:51.512612
67,City of La Habra Heights,,--,2020-04-09 16:48:51.512612
68,City of La Mirada,19.0,38.31,2020-04-09 16:48:51.512612
69,City of La Puente,15.0,36.86,2020-04-09 16:48:51.512612
70,City of La Verne,8.0,24.04,2020-04-09 16:48:51.512612
