,Locations,Total Cases,Rate**
0,Laboratory Confirmed Cases (LCC),28644.0,
1,- Los Angeles County (excl. LB and Pas),27373.0,
2,- Long Beach,789.0,
3,- Pasadena,482.0,
4,,,
5,Deaths,1367.0,
6,- Los Angeles County (excl. LB and Pas),1268.0,
7,- Long Beach,38.0,
8,- Pasadena,61.0,
9,,,
10,,,
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,
12,0 to 17,840.0,
13,18 to 40,9244.0,
14,41 to 65,11350.0,
15,Over 65,5856.0,
16,Under Investigation,83.0,
17,Gender (Los Angeles County Cases Only-excl LB and Pas),,
18,Female,13587.0,
19,Male,13550.0,
20,Other,7.0,
21,Under Investigation,229.0,
22,,,
23,Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,
24,American Indian/Alaska Native,15.0,
25,Asian,1721.0,
26,Black,1185.0,
27,Hispanic/Latino,8241.0,
28,Native Hawaiian/Pacific Islander,198.0,
29,White,3375.0,
30,Other,1228.0,
31,Under Investigation,11410.0,
32,,,
33,Hospitalization LAC cases only (not Long Beach and Pasadena),,
34,Hospitalized (Ever),5142.0,
35,,,
36,,,
37,Deaths Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,
38,American Indian/Alaska Native,1.0,
39,Asian,234.0,
40,Black,155.0,
41,Hispanic/Latino,486.0,
42,Native Hawaiian/Pacific Islander,13.0,
43,White,354.0,
44,Other,17.0,
45,Under Investigation,8.0,
46,,,
47,CITY/COMMUNITY**,,
48,City of Agoura Hills,31.0,148.45
49,City of Alhambra,102.0,117.61
50,City of Arcadia,48.0,83.11
51,City of Artesia,15.0,89.31
52,City of Avalon,0.0,0.0
53,City of Azusa,89.0,177.86
54,City of Baldwin Park,124.0,161.52
55,City of Bell,142.0,390.84
56,City of Bell Gardens,121.0,280.93
57,City of Bellflower,158.0,203.25
58,City of Beverly Hills,116.0,336.04
59,City of Bradbury,1.0,93.55
60,City of Burbank,283.0,264.04
61,City of Calabasas,46.0,189.12
62,City of Carson,277.0,295.16
63,City of Cerritos,60.0,119.84
64,City of Claremont,27.0,74.01
65,City of Commerce,14.0,107.12
66,City of Compton,254.0,254.24
67,City of Covina,101.0,205.99
68,City of Cudahy,91.0,373.76
69,City of Culver City,88.0,220.75
70,City of Diamond Bar,38.0,66.07
71,City of Downey,253.0,221.42
72,City of Duarte,81.0,367.91
73,City of El Monte,202.0,172.25
74,City of El Segundo,30.0,178.72
75,City of Gardena,177.0,288.7
76,City of Glendale,669.0,323.98
77,City of Glendora,57.0,108.03
78,City of Hawaiian Gardens,11.0,74.95
79,City of Hawthorne,232.0,261.3
80,City of Hermosa Beach,25.0,127.1
81,City of Hidden Hills,0.0,0.0
82,City of Huntington Park,180.0,302.6
83,City of Industry,3.0,686.5
84,City of Inglewood,390.0,343.36
85,City of Irwindale,2.0,137.08
86,City of La Canada Flintridge,41.0,198.13
87,City of La Habra Heights,3.0,55.0
88,City of La Mirada,73.0,147.18
89,City of La Puente,47.0,115.49
90,City of La Verne,18.0,54.08
91,City of Lakewood,94.0,116.97
92,City of Lancaster,373.0,230.86
93,City of Lawndale,74.0,220.15
94,City of Lomita,40.0,192.97
95,City of Lynwood,232.0,322.01
96,City of Malibu,31.0,239.18
97,City of Manhattan Beach,67.0,186.12
98,City of Maywood,79.0,281.65
99,City of Monrovia,60.0,154.64
100,City of Montebello,166.0,257.86
101,City of Monterey Park,93.0,149.37
102,City of Norwalk,228.0,211.85
103,City of Palmdale,477.0,300.06
104,City of Palos Verdes Estates,40.0,295.81
105,City of Paramount,169.0,301.66
106,City of Pico Rivera,233.0,362.45
107,City of Pomona,221.0,141.73
108,City of Rancho Palos Verdes,71.0,166.09
109,City of Redondo Beach,115.0,167.4
110,City of Rolling Hills,2.0,103.09
111,City of Rolling Hills Estates,13.0,160.24
112,City of Rosemead,44.0,79.49
113,City of San Dimas,30.0,86.92
114,City of San Fernando,121.0,491.63
115,City of San Gabriel,40.0,97.67
116,City of San Marino,12.0,90.38
117,City of Santa Clarita,450.0,204.15
118,City of Santa Fe Springs,31.0,168.81
119,City of Santa Monica,198.0,214.18
120,City of Sierra Madre,5.0,45.5
121,City of Signal Hill,9.0,76.29
122,City of South El Monte,36.0,172.37
123,City of South Gate,290.0,295.45
124,City of South Pasadena,97.0,372.32
125,City of Temple City,58.0,159.1
126,City of Torrance,306.0,205.0
127,City of Vernon,1.0,478.47
128,City of Walnut,25.0,81.88
129,City of West Covina,151.0,139.51
130,City of West Hollywood,141.0,381.59
131,City of Westlake Village,6.0,71.77
132,City of Whittier,149.0,170.42
133,Los Angeles,13868.0,342.88
134,Los Angeles - Adams-Normandie,31.0,377.96
135,Los Angeles - Alsace,32.0,257.13
136,Los Angeles - Angeles National Forest,0.0,0.0
137,Los Angeles - Angelino Heights,10.0,399.68
138,Los Angeles - Arleta,144.0,418.97
139,Los Angeles - Atwater Village,34.0,231.83
140,Los Angeles - Baldwin Hills,74.0,237.75
141,Los Angeles - Bel Air,30.0,355.91
142,Los Angeles - Beverly Crest,34.0,271.46
143,Los Angeles - Beverlywood,33.0,250.51
144,Los Angeles - Boyle Heights,262.0,301.55
145,Los Angeles - Brentwood,66.0,213.21
146,Los Angeles - Brookside,0.0,0.0
147,Los Angeles - Cadillac-Corning,20.0,280.86
148,Los Angeles - Canoga Park,355.0,543.74
149,Los Angeles - Carthay,69.0,480.4
150,Los Angeles - Central,163.0,418.03
151,Los Angeles - Century City,30.0,234.52
152,Los Angeles - Century Palms/Cove,116.0,343.54
153,Los Angeles - Chatsworth,111.0,299.51
154,Los Angeles - Cheviot Hills,18.0,196.27
155,Los Angeles - Chinatown,9.0,112.21
156,Los Angeles - Cloverdale/Cochran,42.0,288.6
157,Los Angeles - Country Club Park,74.0,488.35
158,Los Angeles - Crenshaw District,54.0,390.48
159,Los Angeles - Crestview,70.0,615.76
160,Los Angeles - Del Rey,58.0,193.75
161,Los Angeles - Downtown,80.0,290.84
162,Los Angeles - Eagle Rock,105.0,265.23
163,Los Angeles - East Hollywood,145.0,495.1
164,Los Angeles - Echo Park,26.0,182.38
165,Los Angeles - El Sereno,111.0,265.5
166,Los Angeles - Elysian Park,10.0,175.07
167,Los Angeles - Elysian Valley,26.0,255.63
168,Los Angeles - Encino,93.0,205.88
169,Los Angeles - Exposition,5.0,150.33
170,Los Angeles - Exposition Park,151.0,336.18
171,Los Angeles - Faircrest Heights,4.0,111.11
172,Los Angeles - Figueroa Park Square,23.0,263.73
173,Los Angeles - Florence-Firestone,172.0,362.53
174,Los Angeles - Glassell Park,121.0,382.86
175,Los Angeles - Gramercy Place,39.0,362.32
176,Los Angeles - Granada Hills,137.0,235.43
