,location,cases,Unnamed: 2,date
23,City of Artesia,,--,2020-04-01 15:00:29.244953
24,City of Avalon,0.0,0,2020-04-01 15:00:29.244953
25,City of Azusa,7.0,14.15,2020-04-01 15:00:29.244953
26,City of Baldwin Park,3.0,4.03,2020-04-01 15:00:29.244953
27,City of Bell,12.0,32.79,2020-04-01 15:00:29.244953
28,City of Bell Gardens,5.0,11.68,2020-04-01 15:00:29.244953
29,City of Bellflower,23.0,30.24,2020-04-01 15:00:29.244953
30,City of Beverly Hills,39.0,112.55,2020-04-01 15:00:29.244953
31,City of Bradbury,0.0,0,2020-04-01 15:00:29.244953
32,City of Burbank,39.0,37.25,2020-04-01 15:00:29.244953
33,City of Calabasas,13.0,53.76,2020-04-01 15:00:29.244953
34,City of Carson,44.0,46.94,2020-04-01 15:00:29.244953
35,City of Cerritos,8.0,16.24,2020-04-01 15:00:29.244953
36,City of Claremont,3.0,8.31,2020-04-01 15:00:29.244953
37,City of Commerce,,--,2020-04-01 15:00:29.244953
38,City of Compton,19.0,18.82,2020-04-01 15:00:29.244953
39,City of Covina,9.0,18.32,2020-04-01 15:00:29.244953
40,City of Cudahy,,--,2020-04-01 15:00:29.244953
41,City of Culver City,17.0,42.13,2020-04-01 15:00:29.244953
42,City of Diamond Bar,6.0,10.5,2020-04-01 15:00:29.244953
43,City of Downey,37.0,32.51,2020-04-01 15:00:29.244953
44,City of Duarte,,--,2020-04-01 15:00:29.244953
45,City of El Monte,6.0,5.28,2020-04-01 15:00:29.244953
46,City of El Segundo,,--,2020-04-01 15:00:29.244953
47,City of Gardena,14.0,23.07,2020-04-01 15:00:29.244953
48,City of Glendale,86.0,42.66,2020-04-01 15:00:29.244953
49,City of Glendora,7.0,13.4,2020-04-01 15:00:29.244953
50,City of Hawaiian Gardens,,--,2020-04-01 15:00:29.244953
51,City of Hawthorne,22.0,25.06,2020-04-01 15:00:29.244953
52,City of Hermosa Beach,12.0,60.88,2020-04-01 15:00:29.244953
53,City of Hidden Hills,0.0,0,2020-04-01 15:00:29.244953
54,City of Huntington Park,13.0,21.85,2020-04-01 15:00:29.244953
55,City of Industry,0.0,0,2020-04-01 15:00:29.244953
56,City of Inglewood,37.0,31.8,2020-04-01 15:00:29.244953
57,City of Irwindale,0.0,0,2020-04-01 15:00:29.244953
58,City of La Canada Flintridge,8.0,39.04,2020-04-01 15:00:29.244953
59,City of La Habra Heights,0.0,0,2020-04-01 15:00:29.244953
60,City of La Mirada,9.0,18.19,2020-04-01 15:00:29.244953
61,City of La Puente,6.0,14.86,2020-04-01 15:00:29.244953
62,City of La Verne,2.0,6.04,2020-04-01 15:00:29.244953
63,City of Lakewood,18.0,23.02,2020-04-01 15:00:29.244953
64,City of Lancaster,32.0,20.43,2020-04-01 15:00:29.244953
65,City of Lawndale,7.0,20.97,2020-04-01 15:00:29.244953
66,City of Lomita,,--,2020-04-01 15:00:29.244953
67,City of Lynwood,20.0,27.71,2020-04-01 15:00:29.244953
68,City of Malibu,,--,2020-04-01 15:00:29.244953
69,City of Manhattan Beach,41.0,116.57,2020-04-01 15:00:29.244953
70,City of Maywood,8.0,28.44,2020-04-01 15:00:29.244953
71,City of Monrovia,7.0,18.68,2020-04-01 15:00:29.244953
72,City of Montebello,7.0,10.98,2020-04-01 15:00:29.244953
73,City of Monterey Park,9.0,14.72,2020-04-01 15:00:29.244953
74,City of Norwalk,21.0,20.03,2020-04-01 15:00:29.244953
75,City of Palmdale,18.0,11.27,2020-04-01 15:00:29.244953
76,City of Palos Verdes Estates,15.0,109.75,2020-04-01 15:00:29.244953
77,City of Paramount,10.0,17.79,2020-04-01 15:00:29.244953
78,City of Pico Rivera,14.0,21.86,2020-04-01 15:00:29.244953
79,City of Pomona,13.0,8.38,2020-04-01 15:00:29.244953
80,City of Rancho Palos Verdes,16.0,37.29,2020-04-01 15:00:29.244953
81,City of Redondo Beach,50.0,72.13,2020-04-01 15:00:29.244953
82,City of Rolling Hills,0.0,0,2020-04-01 15:00:29.244953
83,City of Rolling Hills Estates,,--,2020-04-01 15:00:29.244953
84,City of Rosemead,3.0,5.45,2020-04-01 15:00:29.244953
85,City of San Dimas,5.0,14.7,2020-04-01 15:00:29.244953
86,City of San Fernando,5.0,20.44,2020-04-01 15:00:29.244953
87,City of San Gabriel,6.0,14.88,2020-04-01 15:00:29.244953
88,City of San Marino,,--,2020-04-01 15:00:29.244953
89,City of Santa Clarita,50.0,22.79,2020-04-01 15:00:29.244953
90,City of Santa Fe Springs,,--,2020-04-01 15:00:29.244953
91,City of Santa Monica,53.0,56.74,2020-04-01 15:00:29.244953
92,City of Sierra Madre,,--,2020-04-01 15:00:29.244953
93,City of Signal Hill,,--,2020-04-01 15:00:29.244953
94,City of South El Monte,0.0,0,2020-04-01 15:00:29.244953
95,City of South Gate,25.0,25.07,2020-04-01 15:00:29.244953
96,City of South Pasadena,7.0,26.99,2020-04-01 15:00:29.244953
97,City of Temple City,1.0,2.74,2020-04-01 15:00:29.244953
98,City of Torrance,63.0,42.95,2020-04-01 15:00:29.244953
99,City of Vernon,0.0,0,2020-04-01 15:00:29.244953
100,City of Walnut,4.0,13.3,2020-04-01 15:00:29.244953
101,City of West Covina,7.0,6.5,2020-04-01 15:00:29.244953
102,City of West Hollywood,64.0,178.78,2020-04-01 15:00:29.244953
103,City of Westlake Village,,--,2020-04-01 15:00:29.244953
104,City of Whittier,15.0,17.03,2020-04-01 15:00:29.244953
105,Los Angeles,1580.0,39.16,2020-04-01 15:00:29.244953
106,Los Angeles - Adams-Normandie,8.0,94.26,2020-04-01 15:00:29.244953
107,Los Angeles - Alsace,,--,2020-04-01 15:00:29.244953
108,Los Angeles - Angeles National Forest,0.0,0,2020-04-01 15:00:29.244953
109,Los Angeles - Angelino Heights,0.0,0,2020-04-01 15:00:29.244953
110,Los Angeles - Arleta,7.0,19.94,2020-04-01 15:00:29.244953
111,Los Angeles - Atwater Village,,--,2020-04-01 15:00:29.244953
112,Los Angeles - Baldwin Hills,13.0,43.34,2020-04-01 15:00:29.244953
113,Los Angeles - Bel Air,12.0,146.02,2020-04-01 15:00:29.244953
114,Los Angeles - Beverly Crest,22.0,177.49,2020-04-01 15:00:29.244953
115,Los Angeles - Beverlywood,15.0,112.6,2020-04-01 15:00:29.244953
116,Los Angeles - Boyle Heights,15.0,17.19,2020-04-01 15:00:29.244953
117,Los Angeles - Brentwood,39.0,124.73,2020-04-01 15:00:29.244953
118,Los Angeles - Brookside,0.0,0,2020-04-01 15:00:29.244953
119,Los Angeles - Cadillac-Corning,,--,2020-04-01 15:00:29.244953
120,Los Angeles - Canoga Park,10.0,15.7,2020-04-01 15:00:29.244953
121,Los Angeles - Carthay,17.0,126.7,2020-04-01 15:00:29.244953
122,Los Angeles - Central,13.0,33.24,2020-04-01 15:00:29.244953
123,Los Angeles - Century City,17.0,140.36,2020-04-01 15:00:29.244953
124,Los Angeles - Century Palms/Cove,11.0,32.48,2020-04-01 15:00:29.244953
125,Los Angeles - Chatsworth,18.0,49.95,2020-04-01 15:00:29.244953
126,Los Angeles - Cheviot Hills,8.0,86.36,2020-04-01 15:00:29.244953
127,Los Angeles - Chinatown,,--,2020-04-01 15:00:29.244953
128,Los Angeles - Cloverdale/Cochran,5.0,33.32,2020-04-01 15:00:29.244953
129,Los Angeles - Country Club Park,8.0,51.93,2020-04-01 15:00:29.244953
130,Los Angeles - Crenshaw District,5.0,36.35,2020-04-01 15:00:29.244953
131,Los Angeles - Crestview,15.0,131.05,2020-04-01 15:00:29.244953
132,Los Angeles - Del Rey,17.0,58.1,2020-04-01 15:00:29.244953
133,Los Angeles - Downtown,15.0,61.86,2020-04-01 15:00:29.244953
134,Los Angeles - Eagle Rock,11.0,28.08,2020-04-01 15:00:29.244953
135,Los Angeles - East Hollywood,12.0,40.28,2020-04-01 15:00:29.244953
136,Los Angeles - Echo Park,6.0,41.82,2020-04-01 15:00:29.244953
137,Los Angeles - El Sereno,4.0,9.58,2020-04-01 15:00:29.244953
138,Los Angeles - Elysian Park,,--,2020-04-01 15:00:29.244953
139,Los Angeles - Elysian Valley,,--,2020-04-01 15:00:29.244953
140,Los Angeles - Encino,32.0,75.24,2020-04-01 15:00:29.244953
