,Locations,Total Cases,Rate**
179,Los Angeles - Los Feliz,21,97.19
180,Los Angeles - Manchester Square,--,--
181,Los Angeles - Mandeville Canyon,--,--
182,Los Angeles - Mar Vista,34,80.05
183,Los Angeles - Marina Peninsula,8,183.49
184,Los Angeles - Melrose,194,249.69
185,Los Angeles - Mid-city,24,159.68
186,Los Angeles - Miracle Mile,19,105.64
187,Los Angeles - Mission Hills,20,82.9
188,Los Angeles - Mt. Washington,13,53.84
189,Los Angeles - North Hills,41,66.59
190,Los Angeles - North Hollywood,119,78.59
191,Los Angeles - Northridge,41,58.74
192,Los Angeles - Pacific Palisades,31,145.6
193,Los Angeles - Pacoima,52,67.55
194,Los Angeles - Palisades Highlands,--,--
195,Los Angeles - Palms,67,152.7
196,Los Angeles - Panorama City,60,79.73
197,Los Angeles - Park La Brea,9,66.27
198,Los Angeles - Pico-Union,47,112.33
199,Los Angeles - Playa Del Rey,--,--
200,Los Angeles - Playa Vista,10,91.35
201,Los Angeles - Porter Ranch,28,78.68
202,Los Angeles - Rancho Park,8,121.95
203,Los Angeles - Regent Square,--,--
204,Los Angeles - Reseda,70,91.36
205,Los Angeles - Reseda Ranch,9,194.13
206,Los Angeles - Reynier Village,5,118.26
207,Los Angeles - San Pedro,43,55.1
208,Los Angeles - Shadow Hills,7,157.59
209,Los Angeles - Sherman Oaks,76,87.1
210,Los Angeles - Silverlake,74,167.87
211,Los Angeles - South Carthay,20,188.77
212,Los Angeles - South Park,39,102.74
213,Los Angeles - St Elmo Village,--,--
214,Los Angeles - Studio City,22,98.04
215,Los Angeles - Sun Valley,29,55.26
216,Los Angeles - Sunland,29,142.1
217,Los Angeles - Sycamore Square,0,0
218,Los Angeles - Sylmar,97,117.72
219,Los Angeles - Tarzana,44,142.51
220,Los Angeles - Temple-Beaudry,53,134.24
221,Los Angeles - Thai Town,10,101.95
222,Los Angeles - Toluca Lake,7,80.42
223,Los Angeles - Toluca Terrace,0,0
224,Los Angeles - Toluca Woods,--,--
225,Los Angeles - Tujunga,15,53.94
226,Los Angeles - University Hills,0,0
227,Los Angeles - University Park,25,91.05
228,Los Angeles - Valley Glen,32,106.61
229,Los Angeles - Valley Village,34,137.54
230,Los Angeles - Van Nuys,77,82.62
231,Los Angeles - Venice,35,103.29
232,Los Angeles - Vermont Knolls,15,87.21
233,Los Angeles - Vermont Square,15,195.9
234,Los Angeles - Vermont Vista,23,55.84
235,Los Angeles - Vernon Central,39,75
236,Los Angeles - Victoria Park,17,202.41
237,Los Angeles - View Heights,--,--
238,Los Angeles - Watts,27,63.27
239,Los Angeles - Wellington Square,--,--
240,Los Angeles - West Adams,41,148.39
241,Los Angeles - West Hills,23,56.73
242,Los Angeles - West Los Angeles,34,90.34
243,Los Angeles - West Vernon,58,108.12
244,Los Angeles - Westchester,32,62.01
245,Los Angeles - Westlake,55,92.66
246,Los Angeles - Westwood,34,62.84
247,Los Angeles - Wholesale District,17,47.05
248,Los Angeles - Wilmington,32,56.65
249,Los Angeles - Wilshire Center,44,87.7
250,Los Angeles - Winnetka,44,84.97
251,Los Angeles - Woodland Hills,67,98.45
252,Unincorporated - Acton,5,62.73
253,Unincorporated - Agua Dulce,--,--
254,Unincorporated - Altadena,37,84.82
255,Unincorporated - Anaverde,0,0
256,Unincorporated - Angeles National Forest,0,0
257,Unincorporated - Arcadia,--,--
258,Unincorporated - Athens-Westmont,35,82.47
259,Unincorporated - Athens Village,6,122.52
260,Unincorporated - Avocado Heights,--,--
261,Unincorporated - Azusa,--,--
262,Unincorporated - Bassett,--,--
263,Unincorporated - Bouquet Canyon,--,--
264,Unincorporated - Bradbury,0,0
265,Unincorporated - Canyon Country,14,181.16
266,Unincorporated - Castaic,8,29.42
267,Unincorporated - Cerritos,0,0
268,Unincorporated - Claremont,0,0
269,Unincorporated - Covina,12,71.35
270,Unincorporated - Covina (Charter Oak),7,53.26
271,Unincorporated - Del Aire,5,113.82
272,Unincorporated - Del Rey,0,0
273,Unincorporated - Del Sur,0,0
274,Unincorporated - Desert View Highlands,--,--
275,Unincorporated - Duarte,0,0
276,Unincorporated - East Covina,0,0
277,Unincorporated - East La Mirada,--,--
278,Unincorporated - East Lancaster,0,0
279,Unincorporated - East Los Angeles,86,68.65
280,Unincorporated - East Pasadena,0,0
281,Unincorporated - East Rancho Dominguez,10,65.33
282,Unincorporated - East Whittier,--,--
283,Unincorporated - El Camino Village,--,--
284,Unincorporated - El Monte,0,0
285,Unincorporated - Elizabeth Lake,0,0
286,Unincorporated - Florence-Firestone,57,88.09
287,Unincorporated - Glendora,0,0
288,Unincorporated - Hacienda Heights,28,50.07
289,Unincorporated - Hawthorne,--,--
290,Unincorporated - Hi Vista,0,0
291,Unincorporated - Kagel/Lopez Canyons,0,0
292,Unincorporated - La Crescenta-Montrose,10,50.5
293,Unincorporated - La Habra Heights,0,0
294,Unincorporated - La Rambla,--,--
295,Unincorporated - La Verne,--,--
296,Unincorporated - Ladera Heights,13,183.85
297,Unincorporated - Lake Hughes,0,0
298,Unincorporated - Lake Los Angeles,--,--
299,Unincorporated - Lake Manor,--,--
300,Unincorporated - Lakewood,0,0
301,Unincorporated - Lennox,18,79.85
302,Unincorporated - Leona Valley,0,0
303,Unincorporated - Littlerock,0,0
304,Unincorporated - Littlerock/Juniper Hills,--,--
305,Unincorporated - Littlerock/Pearblossom,--,--
306,Unincorporated - Llano,0,0
307,Unincorporated - Marina del Rey,6,63.76
308,Unincorporated - Monrovia,5,128.83
309,Unincorporated - Newhall,0,0
310,Unincorporated - North Lancaster,0,0
311,Unincorporated - North Whittier,--,--
312,Unincorporated - Northeast San Gabriel,6,24.96
313,Unincorporated - Palmdale,0,0
314,Unincorporated - Palos Verdes Peninsula,0,0
315,Unincorporated - Pearblossom/Llano,0,0
316,Unincorporated - Pellissier Village,0,0
317,Unincorporated - Placerita Canyon,0,0
318,Unincorporated - Pomona,0,0
319,Unincorporated - Quartz Hill,5,38.74
320,Unincorporated - Rancho Dominguez,5,187.9
321,Unincorporated - Roosevelt,0,0
322,Unincorporated - Rosewood,--,--
323,Unincorporated - Rosewood/East Gardena,0,0
324,Unincorporated - Rosewood/West Rancho Dominguez,--,--
325,Unincorporated - Rowland Heights,15,29.4
326,Unincorporated - San Francisquito Canyon/Bouquet Canyon,0,0
327,Unincorporated - San Jose Hills,--,--
328,Unincorporated - San Pasqual,0,0
329,Unincorporated - Sand Canyon,0,0
330,Unincorporated - Santa Catalina Island,--,--
331,Unincorporated - Santa Monica Mountains,6,32.22
332,Unincorporated - Saugus,--,--
333,Unincorporated - Saugus/Canyon Country,0,0
334,Unincorporated - South Antelope Valley,0,0
335,Unincorporated - South El Monte,0,0
336,Unincorporated - South San Gabriel,7,79.11
337,Unincorporated - South Whittier,29,48.97
