,Locations,Total Cases,Rate**
0,Laboratory Confirmed Cases (LCC),20976.0,
1,- Los Angeles County (excl. LB and Pas),20032.0,
2,- Long Beach,582.0,
3,- Pasadena,362.0,
4,,,
5,Deaths,1000.0,
6,- Los Angeles County (excl. LB and Pas),935.0,
7,- Long Beach,31.0,
8,- Pasadena,34.0,
9,,,
10,,,
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,
12,0 to 17,463.0,
13,18 to 40,6542.0,
14,41 to 65,8604.0,
15,Over 65,4377.0,
16,Under Investigation,46.0,
17,Gender (Los Angeles County Cases Only-excl LB and Pas),,
18,Female,9996.0,
19,Male,9868.0,
20,Other,5.0,
21,Under Investigation,163.0,
22,,,
23,Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,
24,Asian,1269.0,
25,Black,904.0,
26,Hispanic/Latino,5155.0,
27,White,2581.0,
28,Other,990.0,
29,Under Investigation,8949.0,
30,,,
31,Hospitalization LAC cases only (not Long Beach and Pasadena),,
32,Hospitalized (Ever),4507.0,
33,,,
34,,,
35,Deaths Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,
36,Asian,167.0,
37,Black,124.0,
38,Hispanic/Latino,343.0,
39,White,265.0,
40,Other,8.0,
41,Under Investigation,17.0,
42,,,
43,CITY/COMMUNITY**,,
44,City of Agoura Hills,30.0,143.66
45,City of Alhambra,82.0,94.55
46,City of Arcadia,37.0,64.06
47,City of Artesia,13.0,77.4
48,City of Avalon,0.0,0.0
49,City of Azusa,61.0,121.9
50,City of Baldwin Park,77.0,100.3
51,City of Bell,119.0,327.53
52,City of Bell Gardens,90.0,208.96
53,City of Bellflower,114.0,146.65
54,City of Beverly Hills,105.0,304.17
55,City of Bradbury,1.0,93.55
56,City of Burbank,226.0,210.86
57,City of Calabasas,35.0,143.9
58,City of Carson,228.0,242.95
59,City of Cerritos,49.0,97.87
60,City of Claremont,22.0,60.3
61,City of Commerce,11.0,84.17
62,City of Compton,190.0,190.18
63,City of Covina,86.0,175.4
64,City of Cudahy,63.0,258.76
65,City of Culver City,58.0,145.49
66,City of Diamond Bar,34.0,59.12
67,City of Downey,195.0,170.66
68,City of Duarte,52.0,236.19
69,City of El Monte,133.0,113.41
70,City of El Segundo,27.0,160.85
71,City of Gardena,142.0,231.61
72,City of Glendale,502.0,243.11
73,City of Glendora,42.0,79.6
74,City of Hawaiian Gardens,9.0,61.32
75,City of Hawthorne,161.0,181.33
76,City of Hermosa Beach,23.0,116.93
77,City of Hidden Hills,0.0,0.0
78,City of Huntington Park,132.0,221.91
79,City of Industry,1.0,228.83
80,City of Inglewood,290.0,255.32
81,City of Irwindale,2.0,137.08
82,City of La Canada Flintridge,37.0,178.8
83,City of La Habra Heights,2.0,36.66
84,City of La Mirada,55.0,110.89
85,City of La Puente,36.0,88.46
86,City of La Verne,16.0,48.07
87,City of Lakewood,75.0,93.33
88,City of Lancaster,280.0,173.3
89,City of Lawndale,53.0,157.67
90,City of Lomita,32.0,154.37
91,City of Lynwood,163.0,226.24
92,City of Malibu,28.0,216.03
93,City of Manhattan Beach,66.0,183.34
94,City of Maywood,60.0,213.91
95,City of Monrovia,39.0,100.52
96,City of Montebello,119.0,184.85
97,City of Monterey Park,65.0,104.4
98,City of Norwalk,173.0,160.75
99,City of Palmdale,379.0,238.41
100,City of Palos Verdes Estates,37.0,273.63
101,City of Paramount,118.0,210.63
102,City of Pico Rivera,147.0,228.67
103,City of Pomona,151.0,96.84
104,City of Rancho Palos Verdes,56.0,131.0
105,City of Redondo Beach,103.0,149.93
106,City of Rolling Hills,1.0,51.55
107,City of Rolling Hills Estates,13.0,160.24
108,City of Rosemead,30.0,54.2
109,City of San Dimas,27.0,78.22
110,City of San Fernando,77.0,312.86
111,City of San Gabriel,29.0,70.81
112,City of San Marino,11.0,82.85
113,City of Santa Clarita,332.0,150.62
114,City of Santa Fe Springs,17.0,92.57
115,City of Santa Monica,156.0,168.75
116,City of Sierra Madre,5.0,45.5
117,City of Signal Hill,7.0,59.34
118,City of South El Monte,22.0,105.34
119,City of South Gate,226.0,230.25
120,City of South Pasadena,68.0,261.01
121,City of Temple City,48.0,131.67
122,City of Torrance,245.0,164.13
123,City of Vernon,0.0,0.0
124,City of Walnut,23.0,75.33
125,City of West Covina,119.0,109.95
126,City of West Hollywood,134.0,362.64
127,City of Westlake Village,6.0,71.77
128,City of Whittier,108.0,123.52
129,Los Angeles,9697.0,239.75
130,Los Angeles - Adams-Normandie,26.0,317.0
131,Los Angeles - Alsace,26.0,208.92
132,Los Angeles - Angeles National Forest,0.0,0.0
133,Los Angeles - Angelino Heights,6.0,239.81
134,Los Angeles - Arleta,91.0,264.77
135,Los Angeles - Atwater Village,23.0,156.83
136,Los Angeles - Baldwin Hills,57.0,183.13
137,Los Angeles - Bel Air,29.0,344.05
138,Los Angeles - Beverly Crest,32.0,255.49
139,Los Angeles - Beverlywood,30.0,227.74
140,Los Angeles - Boyle Heights,175.0,201.42
141,Los Angeles - Brentwood,64.0,206.75
142,Los Angeles - Brookside,0.0,0.0
143,Los Angeles - Cadillac-Corning,17.0,238.73
144,Los Angeles - Canoga Park,223.0,341.56
145,Los Angeles - Carthay,65.0,452.55
146,Los Angeles - Central,106.0,271.85
147,Los Angeles - Century City,30.0,234.52
148,Los Angeles - Century Palms/Cove,80.0,236.92
