,location,cases,Rate**,date
34,City of Baldwin Park,40.0,52.1,2020-04-18 20:41:53.028379
35,City of Bell,78.0,214.69,2020-04-18 20:41:53.028379
36,City of Bell Gardens,52.0,120.73,2020-04-18 20:41:53.028379
37,City of Bellflower,62.0,79.76,2020-04-18 20:41:53.028379
38,City of Beverly Hills,80.0,231.75,2020-04-18 20:41:53.028379
39,City of Bradbury,,--,2020-04-18 20:41:53.028379
40,City of Burbank,134.0,125.02,2020-04-18 20:41:53.028379
41,City of Calabasas,26.0,106.89,2020-04-18 20:41:53.028379
42,City of Carson,149.0,158.77,2020-04-18 20:41:53.028379
43,City of Cerritos,37.0,73.9,2020-04-18 20:41:53.028379
44,City of Claremont,15.0,41.11,2020-04-18 20:41:53.028379
45,City of Commerce,5.0,38.26,2020-04-18 20:41:53.028379
46,City of Compton,85.0,85.08,2020-04-18 20:41:53.028379
47,City of Covina,57.0,116.25,2020-04-18 20:41:53.028379
48,City of Cudahy,27.0,110.9,2020-04-18 20:41:53.028379
49,City of Culver City,37.0,92.81,2020-04-18 20:41:53.028379
50,City of Diamond Bar,22.0,38.25,2020-04-18 20:41:53.028379
51,City of Downey,124.0,108.52,2020-04-18 20:41:53.028379
52,City of Duarte,26.0,118.1,2020-04-18 20:41:53.028379
53,City of El Monte,50.0,42.64,2020-04-18 20:41:53.028379
54,City of El Segundo,14.0,83.4,2020-04-18 20:41:53.028379
55,City of Gardena,96.0,156.58,2020-04-18 20:41:53.028379
56,City of Glendale,326.0,157.87,2020-04-18 20:41:53.028379
57,City of Glendora,29.0,54.96,2020-04-18 20:41:53.028379
58,City of Hawaiian Gardens,6.0,40.88,2020-04-18 20:41:53.028379
59,City of Hawthorne,92.0,103.62,2020-04-18 20:41:53.028379
60,City of Hermosa Beach,19.0,96.59,2020-04-18 20:41:53.028379
61,City of Hidden Hills,0.0,0,2020-04-18 20:41:53.028379
62,City of Huntington Park,56.0,94.14,2020-04-18 20:41:53.028379
63,City of Industry,,--,2020-04-18 20:41:53.028379
64,City of Inglewood,152.0,133.82,2020-04-18 20:41:53.028379
65,City of Irwindale,,--,2020-04-18 20:41:53.028379
66,City of La Canada Flintridge,26.0,125.65,2020-04-18 20:41:53.028379
67,City of La Habra Heights,,--,2020-04-18 20:41:53.028379
68,City of La Mirada,31.0,62.5,2020-04-18 20:41:53.028379
69,City of La Puente,21.0,51.6,2020-04-18 20:41:53.028379
70,City of La Verne,11.0,33.05,2020-04-18 20:41:53.028379
71,City of Lakewood,47.0,58.49,2020-04-18 20:41:53.028379
72,City of Lancaster,114.0,70.56,2020-04-18 20:41:53.028379
73,City of Lawndale,36.0,107.1,2020-04-18 20:41:53.028379
74,City of Lomita,27.0,130.25,2020-04-18 20:41:53.028379
75,City of Lynwood,99.0,137.41,2020-04-18 20:41:53.028379
76,City of Malibu,21.0,162.02,2020-04-18 20:41:53.028379
77,City of Manhattan Beach,58.0,161.12,2020-04-18 20:41:53.028379
78,City of Maywood,35.0,124.78,2020-04-18 20:41:53.028379
79,City of Monrovia,18.0,46.39,2020-04-18 20:41:53.028379
80,City of Montebello,71.0,110.29,2020-04-18 20:41:53.028379
81,City of Monterey Park,39.0,62.64,2020-04-18 20:41:53.028379
82,City of Norwalk,100.0,92.92,2020-04-18 20:41:53.028379
83,City of Palmdale,147.0,92.47,2020-04-18 20:41:53.028379
84,City of Palos Verdes Estates,36.0,266.23,2020-04-18 20:41:53.028379
85,City of Paramount,65.0,116.02,2020-04-18 20:41:53.028379
86,City of Pico Rivera,79.0,122.89,2020-04-18 20:41:53.028379
87,City of Pomona,71.0,45.53,2020-04-18 20:41:53.028379
88,City of Rancho Palos Verdes,47.0,109.95,2020-04-18 20:41:53.028379
89,City of Redondo Beach,85.0,123.73,2020-04-18 20:41:53.028379
90,City of Rolling Hills,,--,2020-04-18 20:41:53.028379
91,City of Rolling Hills Estates,12.0,147.91,2020-04-18 20:41:53.028379
92,City of Rosemead,16.0,28.91,2020-04-18 20:41:53.028379
93,City of San Dimas,20.0,57.94,2020-04-18 20:41:53.028379
