,location,cases,Unnamed: 2,date
117,Los Angeles - Beverlywood,13.0,97.59,2020-03-31 15:02:43.233651
118,Los Angeles - Boyle Heights,11.0,12.61,2020-03-31 15:02:43.233651
119,Los Angeles - Brentwood,36.0,115.14,2020-03-31 15:02:43.233651
120,Los Angeles - Brookside,0.0,0,2020-03-31 15:02:43.233651
121,Los Angeles - Cadillac-Corning,,--,2020-03-31 15:02:43.233651
122,Los Angeles - Canoga Park,7.0,10.99,2020-03-31 15:02:43.233651
123,Los Angeles - Carthay,16.0,119.24,2020-03-31 15:02:43.233651
124,Los Angeles - Central,11.0,28.13,2020-03-31 15:02:43.233651
125,Los Angeles - Century City,13.0,107.33,2020-03-31 15:02:43.233651
126,Los Angeles - Century Palms/Cove,10.0,29.53,2020-03-31 15:02:43.233651
127,Los Angeles - Chatsworth,14.0,38.85,2020-03-31 15:02:43.233651
128,Los Angeles - Cheviot Hills,6.0,64.77,2020-03-31 15:02:43.233651
129,Los Angeles - Chinatown,,--,2020-03-31 15:02:43.233651
130,Los Angeles - Cloverdale/Cochran,,--,2020-03-31 15:02:43.233651
131,Los Angeles - Country Club Park,5.0,32.46,2020-03-31 15:02:43.233651
132,Los Angeles - Crenshaw District,,--,2020-03-31 15:02:43.233651
133,Los Angeles - Crestview,13.0,113.58,2020-03-31 15:02:43.233651
134,Los Angeles - Del Rey,16.0,54.69,2020-03-31 15:02:43.233651
135,Los Angeles - Downtown,14.0,57.73,2020-03-31 15:02:43.233651
136,Los Angeles - Eagle Rock,10.0,25.53,2020-03-31 15:02:43.233651
137,Los Angeles - East Hollywood,13.0,43.64,2020-03-31 15:02:43.233651
138,Los Angeles - Echo Park,5.0,34.85,2020-03-31 15:02:43.233651
139,Los Angeles - El Sereno,3.0,7.19,2020-03-31 15:02:43.233651
140,Los Angeles - Elysian Park,,--,2020-03-31 15:02:43.233651
141,Los Angeles - Elysian Valley,,--,2020-03-31 15:02:43.233651
