,location,cases,Rate**,date
34,City of Baldwin Park,35.0,45.59,2020-04-16 23:07:27.466529
35,City of Bell,71.0,195.42,2020-04-16 23:07:27.466529
36,City of Bell Gardens,41.0,95.19,2020-04-16 23:07:27.466529
37,City of Bellflower,57.0,73.33,2020-04-16 23:07:27.466529
38,City of Beverly Hills,78.0,225.96,2020-04-16 23:07:27.466529
39,City of Bradbury,,--,2020-04-16 23:07:27.466529
40,City of Burbank,117.0,109.16,2020-04-16 23:07:27.466529
41,City of Calabasas,26.0,106.89,2020-04-16 23:07:27.466529
42,City of Carson,135.0,143.85,2020-04-16 23:07:27.466529
43,City of Cerritos,34.0,67.91,2020-04-16 23:07:27.466529
44,City of Claremont,13.0,35.63,2020-04-16 23:07:27.466529
45,City of Commerce,5.0,38.26,2020-04-16 23:07:27.466529
46,City of Compton,79.0,79.08,2020-04-16 23:07:27.466529
47,City of Covina,55.0,112.17,2020-04-16 23:07:27.466529
48,City of Cudahy,25.0,102.68,2020-04-16 23:07:27.466529
49,City of Culver City,36.0,90.3,2020-04-16 23:07:27.466529
50,City of Diamond Bar,21.0,36.51,2020-04-16 23:07:27.466529
51,City of Downey,114.0,99.77,2020-04-16 23:07:27.466529
52,City of Duarte,17.0,77.22,2020-04-16 23:07:27.466529
53,City of El Monte,38.0,32.4,2020-04-16 23:07:27.466529
54,City of El Segundo,12.0,71.49,2020-04-16 23:07:27.466529
55,City of Gardena,86.0,140.27,2020-04-16 23:07:27.466529
56,City of Glendale,288.0,139.47,2020-04-16 23:07:27.466529
57,City of Glendora,27.0,51.17,2020-04-16 23:07:27.466529
58,City of Hawaiian Gardens,,--,2020-04-16 23:07:27.466529
59,City of Hawthorne,90.0,101.37,2020-04-16 23:07:27.466529
60,City of Hermosa Beach,17.0,86.43,2020-04-16 23:07:27.466529
61,City of Hidden Hills,0.0,0,2020-04-16 23:07:27.466529
62,City of Huntington Park,46.0,77.33,2020-04-16 23:07:27.466529
63,City of Industry,,--,2020-04-16 23:07:27.466529
64,City of Inglewood,137.0,120.62,2020-04-16 23:07:27.466529
65,City of Irwindale,0.0,0,2020-04-16 23:07:27.466529
66,City of La Canada Flintridge,24.0,115.98,2020-04-16 23:07:27.466529
67,City of La Habra Heights,,--,2020-04-16 23:07:27.466529
68,City of La Mirada,25.0,50.4,2020-04-16 23:07:27.466529
69,City of La Puente,21.0,51.6,2020-04-16 23:07:27.466529
70,City of La Verne,9.0,27.04,2020-04-16 23:07:27.466529
71,City of Lakewood,46.0,57.24,2020-04-16 23:07:27.466529
72,City of Lancaster,96.0,59.42,2020-04-16 23:07:27.466529
73,City of Lawndale,32.0,95.2,2020-04-16 23:07:27.466529
74,City of Lomita,24.0,115.78,2020-04-16 23:07:27.466529
75,City of Lynwood,89.0,123.53,2020-04-16 23:07:27.466529
76,City of Malibu,17.0,131.16,2020-04-16 23:07:27.466529
77,City of Manhattan Beach,57.0,158.34,2020-04-16 23:07:27.466529
78,City of Maywood,32.0,114.09,2020-04-16 23:07:27.466529
79,City of Monrovia,14.0,36.08,2020-04-16 23:07:27.466529
80,City of Montebello,66.0,102.52,2020-04-16 23:07:27.466529
81,City of Monterey Park,35.0,56.21,2020-04-16 23:07:27.466529
82,City of Norwalk,90.0,83.63,2020-04-16 23:07:27.466529
83,City of Palmdale,123.0,77.37,2020-04-16 23:07:27.466529
84,City of Palos Verdes Estates,36.0,266.23,2020-04-16 23:07:27.466529
85,City of Paramount,49.0,87.46,2020-04-16 23:07:27.466529
86,City of Pico Rivera,73.0,113.56,2020-04-16 23:07:27.466529
87,City of Pomona,63.0,40.4,2020-04-16 23:07:27.466529
88,City of Rancho Palos Verdes,46.0,107.61,2020-04-16 23:07:27.466529
89,City of Redondo Beach,84.0,122.28,2020-04-16 23:07:27.466529
90,City of Rolling Hills,,--,2020-04-16 23:07:27.466529
91,City of Rolling Hills Estates,11.0,135.58,2020-04-16 23:07:27.466529
92,City of Rosemead,16.0,28.91,2020-04-16 23:07:27.466529
93,City of San Dimas,18.0,52.15,2020-04-16 23:07:27.466529
94,City of San Fernando,27.0,109.7,2020-04-16 23:07:27.466529
95,City of San Gabriel,15.0,36.63,2020-04-16 23:07:27.466529
96,City of San Marino,8.0,60.25,2020-04-16 23:07:27.466529
97,City of Santa Clarita,178.0,80.75,2020-04-16 23:07:27.466529
98,City of Santa Fe Springs,9.0,49.01,2020-04-16 23:07:27.466529
99,City of Santa Monica,100.0,108.17,2020-04-16 23:07:27.466529
100,City of Sierra Madre,,--,2020-04-16 23:07:27.466529
101,City of Signal Hill,5.0,42.38,2020-04-16 23:07:27.466529
102,City of South El Monte,,--,2020-04-16 23:07:27.466529
103,City of South Gate,116.0,118.18,2020-04-16 23:07:27.466529
104,City of South Pasadena,20.0,76.77,2020-04-16 23:07:27.466529
105,City of Temple City,20.0,54.86,2020-04-16 23:07:27.466529
106,City of Torrance,163.0,109.2,2020-04-16 23:07:27.466529
107,City of Vernon,0.0,0,2020-04-16 23:07:27.466529
108,City of Walnut,14.0,45.85,2020-04-16 23:07:27.466529
109,City of West Covina,50.0,46.2,2020-04-16 23:07:27.466529
110,City of West Hollywood,107.0,289.57,2020-04-16 23:07:27.466529
111,City of Westlake Village,6.0,71.77,2020-04-16 23:07:27.466529
112,City of Whittier,59.0,67.48,2020-04-16 23:07:27.466529
113,Los Angeles,4852.0,119.96,2020-04-16 23:07:27.466529
114,Los Angeles - Adams-Normandie,16.0,195.07,2020-04-16 23:07:27.466529
115,Los Angeles - Alsace,7.0,56.25,2020-04-16 23:07:27.466529
116,Los Angeles - Angelino Heights,,--,2020-04-16 23:07:27.466529
117,Los Angeles - Arleta,35.0,101.83,2020-04-16 23:07:27.466529
118,Los Angeles - Atwater Village,9.0,61.37,2020-04-16 23:07:27.466529
