,Locations,Total Cases,Rate**
0,Laboratory Confirmed Cases (LCC),24215.0,
1,- Los Angeles County (excl. LB and Pas),23142.0,
2,- Long Beach,667.0,
3,- Pasadena,406.0,
4,,,
5,Deaths,1172.0,
6,- Los Angeles County (excl. LB and Pas),1086.0,
7,- Long Beach,36.0,
8,- Pasadena,50.0,
9,,,
10,,,
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,
12,0 to 17,609.0,
13,18 to 40,7718.0,
14,41 to 65,9795.0,
15,Over 65,4959.0,
16,Under Investigation,61.0,
17,Gender (Los Angeles County Cases Only-excl LB and Pas),,
18,Female,11416.0,
19,Male,11551.0,
20,Other,5.0,
21,Under Investigation,170.0,
22,,,
23,Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,
24,Asian,1459.0,
25,Black,1028.0,
26,Hispanic/Latino,6285.0,
27,White,2932.0,
28,Other,1063.0,
29,Under Investigation,10174.0,
30,,,
31,Hospitalization LAC cases only (not Long Beach and Pasadena),,
32,Hospitalized (Ever),4880.0,
33,,,
34,,,
35,Deaths Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,
36,Asian,199.0,
37,Black,139.0,
38,Hispanic/Latino,401.0,
39,White,305.0,
40,Other,12.0,
41,Under Investigation,17.0,
42,,,
43,CITY/COMMUNITY**,,
44,City of Agoura Hills,31.0,148.45
45,City of Alhambra,85.0,98.01
46,City of Arcadia,39.0,67.53
47,City of Artesia,14.0,83.36
48,City of Avalon,0.0,0.0
49,City of Azusa,71.0,141.89
50,City of Baldwin Park,89.0,115.93
51,City of Bell,132.0,363.32
52,City of Bell Gardens,106.0,246.11
53,City of Bellflower,137.0,176.24
54,City of Beverly Hills,108.0,312.86
55,City of Bradbury,1.0,93.55
56,City of Burbank,241.0,224.86
57,City of Calabasas,38.0,156.23
58,City of Carson,245.0,261.07
59,City of Cerritos,52.0,103.86
60,City of Claremont,24.0,65.78
61,City of Commerce,13.0,99.47
62,City of Compton,211.0,211.2
63,City of Covina,95.0,193.75
64,City of Cudahy,74.0,303.94
65,City of Culver City,66.0,165.56
66,City of Diamond Bar,34.0,59.12
67,City of Downey,224.0,196.04
68,City of Duarte,67.0,304.32
69,City of El Monte,160.0,136.44
70,City of El Segundo,27.0,160.85
71,City of Gardena,158.0,257.71
72,City of Glendale,588.0,284.76
73,City of Glendora,46.0,87.18
74,City of Hawaiian Gardens,10.0,68.14
75,City of Hawthorne,194.0,218.5
76,City of Hermosa Beach,23.0,116.93
77,City of Hidden Hills,0.0,0.0
78,City of Huntington Park,154.0,258.89
79,City of Industry,1.0,228.83
80,City of Inglewood,335.0,294.94
81,City of Irwindale,2.0,137.08
82,City of La Canada Flintridge,36.0,173.97
83,City of La Habra Heights,2.0,36.66
84,City of La Mirada,62.0,125.0
85,City of La Puente,42.0,103.2
86,City of La Verne,16.0,48.07
87,City of Lakewood,83.0,103.28
88,City of Lancaster,321.0,198.68
89,City of Lawndale,59.0,175.52
90,City of Lomita,34.0,164.02
91,City of Lynwood,192.0,266.49
92,City of Malibu,30.0,231.46
93,City of Manhattan Beach,66.0,183.34
94,City of Maywood,69.0,246.0
95,City of Monrovia,49.0,126.29
96,City of Montebello,139.0,215.92
97,City of Monterey Park,77.0,123.67
98,City of Norwalk,193.0,179.33
99,City of Palmdale,417.0,262.32
100,City of Palos Verdes Estates,37.0,273.63
101,City of Paramount,136.0,242.76
102,City of Pico Rivera,183.0,284.67
103,City of Pomona,176.0,112.87
104,City of Rancho Palos Verdes,60.0,140.36
105,City of Redondo Beach,107.0,155.76
106,City of Rolling Hills,2.0,103.09
107,City of Rolling Hills Estates,13.0,160.24
108,City of Rosemead,37.0,66.85
109,City of San Dimas,29.0,84.02
110,City of San Fernando,96.0,390.05
111,City of San Gabriel,30.0,73.25
112,City of San Marino,11.0,82.85
113,City of Santa Clarita,378.0,171.49
114,City of Santa Fe Springs,26.0,141.58
115,City of Santa Monica,164.0,177.4
116,City of Sierra Madre,5.0,45.5
117,City of Signal Hill,7.0,59.34
118,City of South El Monte,27.0,129.28
119,City of South Gate,254.0,258.77
120,City of South Pasadena,82.0,314.74
121,City of Temple City,51.0,139.9
122,City of Torrance,270.0,180.88
123,City of Vernon,1.0,478.47
124,City of Walnut,23.0,75.33
125,City of West Covina,133.0,122.88
126,City of West Hollywood,137.0,370.76
127,City of Westlake Village,6.0,71.77
128,City of Whittier,118.0,134.96
129,Los Angeles,11553.0,285.64
130,Los Angeles - Adams-Normandie,27.0,329.19
131,Los Angeles - Alsace,32.0,257.13
132,Los Angeles - Angeles National Forest,0.0,0.0
133,Los Angeles - Angelino Heights,9.0,359.71
134,Los Angeles - Arleta,111.0,322.96
135,Los Angeles - Atwater Village,30.0,204.55
136,Los Angeles - Baldwin Hills,63.0,202.41
137,Los Angeles - Bel Air,29.0,344.05
138,Los Angeles - Beverly Crest,32.0,255.49
139,Los Angeles - Beverlywood,31.0,235.33
140,Los Angeles - Boyle Heights,209.0,240.55
141,Los Angeles - Brentwood,65.0,209.98
142,Los Angeles - Brookside,0.0,0.0
143,Los Angeles - Cadillac-Corning,20.0,280.86
144,Los Angeles - Canoga Park,285.0,436.52
