,location,cases,Rate**,date
35,City of Bell,22.0,60.12,2020-04-06 16:34:01.475868
36,City of Bell Gardens,11.0,25.69,2020-04-06 16:34:01.475868
37,City of Bellflower,37.0,48.65,2020-04-06 16:34:01.475868
38,City of Beverly Hills,65.0,187.58,2020-04-06 16:34:01.475868
39,City of Bradbury,0.0,0,2020-04-06 16:34:01.475868
40,City of Burbank,77.0,73.55,2020-04-06 16:34:01.475868
41,City of Calabasas,20.0,82.7,2020-04-06 16:34:01.475868
42,City of Carson,93.0,99.21,2020-04-06 16:34:01.475868
43,City of Cerritos,23.0,46.7,2020-04-06 16:34:01.475868
44,City of Claremont,6.0,16.61,2020-04-06 16:34:01.475868
45,City of Commerce,0.0,0,2020-04-06 16:34:01.475868
46,City of Compton,36.0,35.66,2020-04-06 16:34:01.475868
47,City of Covina,22.0,44.78,2020-04-06 16:34:01.475868
48,City of Cudahy,16.0,65.24,2020-04-06 16:34:01.475868
49,City of Culver City,27.0,66.91,2020-04-06 16:34:01.475868
50,City of Diamond Bar,13.0,22.76,2020-04-06 16:34:01.475868
51,City of Downey,71.0,62.38,2020-04-06 16:34:01.475868
52,City of Duarte,,--,2020-04-06 16:34:01.475868
53,City of El Monte,21.0,18.47,2020-04-06 16:34:01.475868
54,City of El Segundo,7.0,42.22,2020-04-06 16:34:01.475868
55,City of Gardena,30.0,49.44,2020-04-06 16:34:01.475868
56,City of Glendale,142.0,70.43,2020-04-06 16:34:01.475868
57,City of Glendora,16.0,30.63,2020-04-06 16:34:01.475868
58,City of Hawaiian Gardens,,--,2020-04-06 16:34:01.475868
59,City of Hawthorne,44.0,50.13,2020-04-06 16:34:01.475868
60,City of Hermosa Beach,18.0,91.32,2020-04-06 16:34:01.475868
61,City of Hidden Hills,0.0,0,2020-04-06 16:34:01.475868
62,City of Huntington Park,29.0,48.73,2020-04-06 16:34:01.475868
63,City of Industry,,--,2020-04-06 16:34:01.475868
64,City of Inglewood,78.0,67.03,2020-04-06 16:34:01.475868
65,City of Irwindale,0.0,0,2020-04-06 16:34:01.475868
66,City of La Canada Flintridge,14.0,68.32,2020-04-06 16:34:01.475868
67,City of La Habra Heights,0.0,0,2020-04-06 16:34:01.475868
68,City of La Mirada,16.0,32.35,2020-04-06 16:34:01.475868
69,City of La Puente,13.0,32.2,2020-04-06 16:34:01.475868
70,City of La Verne,7.0,21.14,2020-04-06 16:34:01.475868
71,City of Lakewood,32.0,40.92,2020-04-06 16:34:01.475868
72,City of Lancaster,61.0,38.95,2020-04-06 16:34:01.475868
73,City of Lawndale,16.0,47.93,2020-04-06 16:34:01.475868
74,City of Lomita,11.0,54.43,2020-04-06 16:34:01.475868
75,City of Lynwood,43.0,59.57,2020-04-06 16:34:01.475868
76,City of Malibu,9.0,71.04,2020-04-06 16:34:01.475868
77,City of Manhattan Beach,48.0,136.48,2020-04-06 16:34:01.475868
78,City of Maywood,17.0,60.44,2020-04-06 16:34:01.475868
79,City of Monrovia,12.0,32.03,2020-04-06 16:34:01.475868
80,City of Montebello,20.0,31.38,2020-04-06 16:34:01.475868
81,City of Monterey Park,19.0,31.09,2020-04-06 16:34:01.475868
82,City of Norwalk,50.0,47.68,2020-04-06 16:34:01.475868
83,City of Palmdale,46.0,28.81,2020-04-06 16:34:01.475868
84,City of Palos Verdes Estates,25.0,182.92,2020-04-06 16:34:01.475868
85,City of Paramount,26.0,46.24,2020-04-06 16:34:01.475868
86,City of Pico Rivera,32.0,49.96,2020-04-06 16:34:01.475868
87,City of Pomona,30.0,19.33,2020-04-06 16:34:01.475868
88,City of Rancho Palos Verdes,33.0,76.91,2020-04-06 16:34:01.475868
89,City of Redondo Beach,67.0,96.66,2020-04-06 16:34:01.475868
90,City of Rolling Hills,,--,2020-04-06 16:34:01.475868
91,City of Rolling Hills Estates,8.0,100.06,2020-04-06 16:34:01.475868
92,City of Rosemead,9.0,16.35,2020-04-06 16:34:01.475868
93,City of San Dimas,13.0,38.22,2020-04-06 16:34:01.475868
94,City of San Fernando,12.0,49.05,2020-04-06 16:34:01.475868
95,City of San Gabriel,11.0,27.29,2020-04-06 16:34:01.475868
96,City of San Marino,5.0,36.99,2020-04-06 16:34:01.475868
97,City of Santa Clarita,106.0,48.32,2020-04-06 16:34:01.475868
98,City of Santa Fe Springs,,--,2020-04-06 16:34:01.475868
99,City of Santa Monica,74.0,79.22,2020-04-06 16:34:01.475868
100,City of Sierra Madre,,--,2020-04-06 16:34:01.475868
101,City of Signal Hill,,--,2020-04-06 16:34:01.475868
102,City of South El Monte,,--,2020-04-06 16:34:01.475868
103,City of South Gate,58.0,58.15,2020-04-06 16:34:01.475868
104,City of South Pasadena,10.0,38.55,2020-04-06 16:34:01.475868
105,City of Temple City,11.0,30.14,2020-04-06 16:34:01.475868
106,City of Torrance,92.0,62.72,2020-04-06 16:34:01.475868
107,City of Vernon,0.0,0,2020-04-06 16:34:01.475868
108,City of Walnut,9.0,29.93,2020-04-06 16:34:01.475868
109,City of West Covina,15.0,13.93,2020-04-06 16:34:01.475868
110,City of West Hollywood,86.0,240.24,2020-04-06 16:34:01.475868
111,City of Westlake Village,,--,2020-04-06 16:34:01.475868
112,City of Whittier,25.0,28.38,2020-04-06 16:34:01.475868
113,Los Angeles,2851.0,70.67,2020-04-06 16:34:01.475868
114,Los Angeles - Adams-Normandie,13.0,153.18,2020-04-06 16:34:01.475868
115,Los Angeles - Alsace,,--,2020-04-06 16:34:01.475868
116,Los Angeles - Angelino Heights,0.0,0,2020-04-06 16:34:01.475868
117,Los Angeles - Arleta,17.0,48.42,2020-04-06 16:34:01.475868
118,Los Angeles - Atwater Village,7.0,47.61,2020-04-06 16:34:01.475868
119,Los Angeles - Baldwin Hills,21.0,70.01,2020-04-06 16:34:01.475868
120,Los Angeles - Bel Air,18.0,219.03,2020-04-06 16:34:01.475868
121,Los Angeles - Beverly Crest,25.0,201.69,2020-04-06 16:34:01.475868
122,Los Angeles - Beverlywood,17.0,127.62,2020-04-06 16:34:01.475868
123,Los Angeles - Boyle Heights,40.0,45.85,2020-04-06 16:34:01.475868
124,Los Angeles - Brentwood,49.0,156.71,2020-04-06 16:34:01.475868
125,Los Angeles - Brookside,0.0,0,2020-04-06 16:34:01.475868
126,Los Angeles - Cadillac-Corning,,--,2020-04-06 16:34:01.475868
127,Los Angeles - Canoga Park,39.0,61.23,2020-04-06 16:34:01.475868
128,Los Angeles - Carthay,28.0,208.67,2020-04-06 16:34:01.475868
129,Los Angeles - Central,24.0,61.37,2020-04-06 16:34:01.475868
130,Los Angeles - Century City,23.0,189.89,2020-04-06 16:34:01.475868
131,Los Angeles - Century Palms/Cove,19.0,56.1,2020-04-06 16:34:01.475868
132,Los Angeles - Chatsworth,27.0,74.92,2020-04-06 16:34:01.475868
133,Los Angeles - Cheviot Hills,11.0,118.74,2020-04-06 16:34:01.475868
134,Los Angeles - Chinatown,,--,2020-04-06 16:34:01.475868
135,Los Angeles - Cloverdale/Cochran,10.0,66.64,2020-04-06 16:34:01.475868
136,Los Angeles - Country Club Park,14.0,90.89,2020-04-06 16:34:01.475868
137,Los Angeles - Crenshaw District,9.0,65.44,2020-04-06 16:34:01.475868
138,Los Angeles - Crestview,29.0,253.36,2020-04-06 16:34:01.475868
139,Los Angeles - Del Rey,27.0,92.28,2020-04-06 16:34:01.475868
140,Los Angeles - Downtown,21.0,86.6,2020-04-06 16:34:01.475868
141,Los Angeles - Eagle Rock,22.0,56.16,2020-04-06 16:34:01.475868
142,Los Angeles - East Hollywood,18.0,60.42,2020-04-06 16:34:01.475868
143,Los Angeles - Echo Park,9.0,62.74,2020-04-06 16:34:01.475868
144,Los Angeles - El Sereno,20.0,47.91,2020-04-06 16:34:01.475868
145,Los Angeles - Elysian Park,5.0,86.48,2020-04-06 16:34:01.475868
146,Los Angeles - Elysian Valley,,--,2020-04-06 16:34:01.475868
147,Los Angeles - Encino,41.0,96.4,2020-04-06 16:34:01.475868
148,Los Angeles - Exposition,0.0,0,2020-04-06 16:34:01.475868
149,Los Angeles - Exposition Park,32.0,70.81,2020-04-06 16:34:01.475868
150,Los Angeles - Faircrest Heights,,--,2020-04-06 16:34:01.475868
151,Los Angeles - Figueroa Park Square,5.0,55.78,2020-04-06 16:34:01.475868
152,Los Angeles - Florence-Firestone,29.0,59.36,2020-04-06 16:34:01.475868
153,Los Angeles - Glassell Park,33.0,105.15,2020-04-06 16:34:01.475868
154,Los Angeles - Gramercy Place,7.0,66.9,2020-04-06 16:34:01.475868
155,Los Angeles - Granada Hills,29.0,50.02,2020-04-06 16:34:01.475868
156,Los Angeles - Green Meadows,10.0,46.01,2020-04-06 16:34:01.475868
157,Los Angeles - Hancock Park,39.0,237.44,2020-04-06 16:34:01.475868
158,Los Angeles - Harbor City,20.0,69.07,2020-04-06 16:34:01.475868
159,Los Angeles - Harbor Gateway,21.0,48.06,2020-04-06 16:34:01.475868
160,Los Angeles - Harbor Pines,0.0,0,2020-04-06 16:34:01.475868
161,Los Angeles - Harvard Heights,9.0,48.92,2020-04-06 16:34:01.475868
162,Los Angeles - Harvard Park,19.0,47.92,2020-04-06 16:34:01.475868
