,location,cases,date
28,City of Baldwin Park,0.0,2020-03-30 14:30:44.492110
29,City of Bell,11.0,2020-03-30 14:30:44.492110
30,City of Bell Gardens,2.0,2020-03-30 14:30:44.492110
31,City of Bellflower,17.0,2020-03-30 14:30:44.492110
32,City of Beverly Hills,28.0,2020-03-30 14:30:44.492110
33,City of Bradbury,0.0,2020-03-30 14:30:44.492110
34,City of Burbank,21.0,2020-03-30 14:30:44.492110
35,City of Calabasas,11.0,2020-03-30 14:30:44.492110
36,City of Carson,35.0,2020-03-30 14:30:44.492110
37,City of Cerritos,5.0,2020-03-30 14:30:44.492110
38,City of Claremont,1.0,2020-03-30 14:30:44.492110
39,City of Commerce,,2020-03-30 14:30:44.492110
40,City of Compton,13.0,2020-03-30 14:30:44.492110
41,City of Covina,8.0,2020-03-30 14:30:44.492110
42,City of Cudahy,,2020-03-30 14:30:44.492110
43,City of Culver City,14.0,2020-03-30 14:30:44.492110
44,City of Diamond Bar,3.0,2020-03-30 14:30:44.492110
45,City of Downey,25.0,2020-03-30 14:30:44.492110
46,City of Duarte,,2020-03-30 14:30:44.492110
47,City of El Monte,1.0,2020-03-30 14:30:44.492110
48,City of El Segundo,,2020-03-30 14:30:44.492110
49,City of Gardena,7.0,2020-03-30 14:30:44.492110
50,City of Glendale,62.0,2020-03-30 14:30:44.492110
51,City of Glendora,6.0,2020-03-30 14:30:44.492110
52,City of Hawaiian Gardens,,2020-03-30 14:30:44.492110
53,City of Hawthorne,13.0,2020-03-30 14:30:44.492110
54,City of Hermosa Beach,7.0,2020-03-30 14:30:44.492110
55,City of Hidden Hills,0.0,2020-03-30 14:30:44.492110
56,City of Huntington Park,4.0,2020-03-30 14:30:44.492110
57,City of Industry,0.0,2020-03-30 14:30:44.492110
58,City of Inglewood,26.0,2020-03-30 14:30:44.492110
59,City of Irwindale,0.0,2020-03-30 14:30:44.492110
60,City of La Canada Flintridge,8.0,2020-03-30 14:30:44.492110
61,City of La Habra Heights,0.0,2020-03-30 14:30:44.492110
62,City of La Mirada,7.0,2020-03-30 14:30:44.492110
63,City of La Puente,3.0,2020-03-30 14:30:44.492110
64,City of La Verne,2.0,2020-03-30 14:30:44.492110
65,City of Lakewood,13.0,2020-03-30 14:30:44.492110
66,City of Lancaster,27.0,2020-03-30 14:30:44.492110
67,City of Lawndale,4.0,2020-03-30 14:30:44.492110
68,City of Lomita,,2020-03-30 14:30:44.492110
69,City of Long Beach,0.0,2020-03-30 14:30:44.492110
70,City of Lynwood,16.0,2020-03-30 14:30:44.492110
71,City of Malibu,,2020-03-30 14:30:44.492110
72,City of Manhattan Beach,31.0,2020-03-30 14:30:44.492110
73,City of Maywood,5.0,2020-03-30 14:30:44.492110
74,City of Monrovia,4.0,2020-03-30 14:30:44.492110
75,City of Montebello,4.0,2020-03-30 14:30:44.492110
76,City of Monterey Park,5.0,2020-03-30 14:30:44.492110
77,City of Norwalk,15.0,2020-03-30 14:30:44.492110
78,City of Palmdale,9.0,2020-03-30 14:30:44.492110
79,City of Palos Verdes Estates,14.0,2020-03-30 14:30:44.492110
80,City of Paramount,7.0,2020-03-30 14:30:44.492110
81,City of Pasadena,0.0,2020-03-30 14:30:44.492110
82,City of Pico Rivera,6.0,2020-03-30 14:30:44.492110
83,City of Pomona,5.0,2020-03-30 14:30:44.492110
84,City of Rancho Palos Verdes,10.0,2020-03-30 14:30:44.492110
85,City of Redondo Beach,34.0,2020-03-30 14:30:44.492110
86,City of Rolling Hills,0.0,2020-03-30 14:30:44.492110
87,City of Rolling Hills Estates,,2020-03-30 14:30:44.492110
88,City of Rosemead,2.0,2020-03-30 14:30:44.492110
89,City of San Dimas,3.0,2020-03-30 14:30:44.492110
90,City of San Fernando,,2020-03-30 14:30:44.492110
91,City of San Gabriel,6.0,2020-03-30 14:30:44.492110
92,City of San Marino,,2020-03-30 14:30:44.492110
93,City of Santa Clarita,41.0,2020-03-30 14:30:44.492110
94,City of Santa Fe Springs,0.0,2020-03-30 14:30:44.492110
95,City of Santa Monica,47.0,2020-03-30 14:30:44.492110
96,City of Sierra Madre,0.0,2020-03-30 14:30:44.492110
97,City of Signal Hill,,2020-03-30 14:30:44.492110
98,City of South El Monte,0.0,2020-03-30 14:30:44.492110
99,City of South Gate,14.0,2020-03-30 14:30:44.492110
100,City of South Pasadena,5.0,2020-03-30 14:30:44.492110
101,City of Temple City,1.0,2020-03-30 14:30:44.492110
102,City of Torrance,43.0,2020-03-30 14:30:44.492110
