,Locations,Total Cases,Rate
170,Los Angeles - Exposition Park,191.0,425.23
171,Los Angeles - Faircrest Heights,4.0,111.11
172,Los Angeles - Figueroa Park Square,25.0,286.66
173,Los Angeles - Florence-Firestone,225.0,474.23
174,Los Angeles - Glassell Park,146.0,461.97
175,Los Angeles - Gramercy Place,46.0,427.35
176,Los Angeles - Granada Hills,198.0,340.26
177,Los Angeles - Green Meadows,103.0,478.96
178,Los Angeles - Hancock Park,72.0,422.56
179,Los Angeles - Harbor City,63.0,216.72
180,Los Angeles - Harbor Gateway,97.0,222.48
181,Los Angeles - Harbor Pines,6.0,249.07
182,Los Angeles - Harvard Heights,92.0,510.12
183,Los Angeles - Harvard Park,195.0,514.04
184,Los Angeles - Highland Park,132.0,272.78
185,Los Angeles - Historic Filipinotown,90.0,648.88
186,Los Angeles - Hollywood,228.0,334.05
187,Los Angeles - Hollywood Hills,74.0,251.41
188,Los Angeles - Hyde Park,102.0,357.38
189,Los Angeles - Jefferson Park,28.0,346.84
190,Los Angeles - Koreatown,204.0,394.64
191,Los Angeles - Lafayette Square,16.0,350.95
192,Los Angeles - Lake Balboa,140.0,331.71
193,Los Angeles - Lakeview Terrace,80.0,609.15
194,Los Angeles - Leimert Park,43.0,282.24
195,Los Angeles - Lincoln Heights,166.0,509.25
196,Los Angeles - Little Armenia,165.0,2056.07
197,Los Angeles - Little Bangladesh,102.0,359.88
198,Los Angeles - Little Tokyo,10.0,319.18
199,Los Angeles - Longwood,17.0,394.98
200,Los Angeles - Los Feliz,44.0,203.63
201,Los Angeles - Manchester Square,18.0,210.87
202,Los Angeles - Mandeville Canyon,1.0,32.01
203,Los Angeles - Mar Vista,67.0,157.75
204,Los Angeles - Marina Peninsula,9.0,206.42
205,Los Angeles - Melrose,443.0,570.17
206,Los Angeles - Mid-city,44.0,292.75
207,Los Angeles - Miracle Mile,38.0,211.29
208,Los Angeles - Mission Hills,109.0,451.83
209,Los Angeles - Mt. Washington,67.0,277.49
210,Los Angeles - North Hills,286.0,464.47
211,Los Angeles - North Hollywood,530.0,350.02
212,Los Angeles - Northridge,235.0,336.69
213,Los Angeles - Pacific Palisades,40.0,187.87
214,Los Angeles - Pacoima,467.0,606.66
215,Los Angeles - Palisades Highlands,3.0,78.0
216,Los Angeles - Palms,163.0,371.49
217,Los Angeles - Panorama City,512.0,680.4
218,Los Angeles - Park La Brea,14.0,103.09
219,Los Angeles - Pico-Union,403.0,963.15
220,Los Angeles - Playa Del Rey,2.0,62.58
221,Los Angeles - Playa Vista,22.0,200.97
222,Los Angeles - Porter Ranch,67.0,188.27
223,Los Angeles - Rancho Park,12.0,182.93
224,Los Angeles - Regent Square,3.0,107.91
225,Los Angeles - Reseda,360.0,469.87
226,Los Angeles - Reseda Ranch,24.0,517.69
227,Los Angeles - Reynier Village,9.0,212.87
228,Los Angeles - San Pedro*,772.0,989.26
229,Los Angeles - Shadow Hills,9.0,202.61
230,Los Angeles - Sherman Oaks,194.0,222.34
231,Los Angeles - Silverlake,152.0,344.8
232,Los Angeles - South Carthay,27.0,254.84
233,Los Angeles - South Park,192.0,505.78
234,Los Angeles - St Elmo Village,33.0,719.9
235,Los Angeles - Studio City,66.0,294.12
236,Los Angeles - Sun Valley,215.0,409.66
