,location,cases,date
130,Los Angeles - Cheviot Hills,,2020-03-28 09:56:35.322294
131,Los Angeles - Chinatown,0.0,2020-03-28 09:56:35.322294
132,Los Angeles - Cloverdale/Cochran,,2020-03-28 09:56:35.322294
133,Los Angeles - Country Club Park,,2020-03-28 09:56:35.322294
134,Los Angeles - Crenshaw District,,2020-03-28 09:56:35.322294
135,Los Angeles - Crestview,9.0,2020-03-28 09:56:35.322294
136,Los Angeles - Del Rey,10.0,2020-03-28 09:56:35.322294
137,Los Angeles - Downtown,9.0,2020-03-28 09:56:35.322294
138,Los Angeles - Eagle Rock,8.0,2020-03-28 09:56:35.322294
139,Los Angeles - East Hollywood,5.0,2020-03-28 09:56:35.322294
140,Los Angeles - Echo Park,,2020-03-28 09:56:35.322294
141,Los Angeles - El Sereno,1.0,2020-03-28 09:56:35.322294
142,Los Angeles - Elysian Park,,2020-03-28 09:56:35.322294
143,Los Angeles - Elysian Valley,,2020-03-28 09:56:35.322294
144,Los Angeles - Encino,26.0,2020-03-28 09:56:35.322294
145,Los Angeles - Exposition,0.0,2020-03-28 09:56:35.322294
146,Los Angeles - Exposition Park,4.0,2020-03-28 09:56:35.322294
147,Los Angeles - Faircrest Heights,0.0,2020-03-28 09:56:35.322294
148,Los Angeles - Figueroa Park Square,0.0,2020-03-28 09:56:35.322294
149,Los Angeles - Florence-Firestone,6.0,2020-03-28 09:56:35.322294
150,Los Angeles - Glassell Park,7.0,2020-03-28 09:56:35.322294
151,Los Angeles - Gramercy Place,,2020-03-28 09:56:35.322294
152,Los Angeles - Granada Hills,8.0,2020-03-28 09:56:35.322294
153,Los Angeles - Green Meadows,,2020-03-28 09:56:35.322294
154,Los Angeles - Hancock Park,17.0,2020-03-28 09:56:35.322294
155,Los Angeles - Harbor City,1.0,2020-03-28 09:56:35.322294
156,Los Angeles - Harbor Gateway,4.0,2020-03-28 09:56:35.322294
157,Los Angeles - Harbor Pines,0.0,2020-03-28 09:56:35.322294
158,Los Angeles - Harvard Heights,,2020-03-28 09:56:35.322294
159,Los Angeles - Harvard Park,2.0,2020-03-28 09:56:35.322294
160,Los Angeles - Highland Park,6.0,2020-03-28 09:56:35.322294
161,Los Angeles - Historic Filipinotown,0.0,2020-03-28 09:56:35.322294
162,Los Angeles - Hollywood,38.0,2020-03-28 09:56:35.322294
163,Los Angeles - Hollywood Hills,23.0,2020-03-28 09:56:35.322294
164,Los Angeles - Hyde Park,2.0,2020-03-28 09:56:35.322294
165,Los Angeles - Jefferson Park,0.0,2020-03-28 09:56:35.322294
166,Los Angeles - Koreatown,10.0,2020-03-28 09:56:35.322294
167,Los Angeles - Lafayette Square,,2020-03-28 09:56:35.322294
168,Los Angeles - Lake Balboa,6.0,2020-03-28 09:56:35.322294
169,Los Angeles - Lakeview Terrace,,2020-03-28 09:56:35.322294
170,Los Angeles - Leimert Park,,2020-03-28 09:56:35.322294
171,Los Angeles - Lincoln Heights,1.0,2020-03-28 09:56:35.322294
172,Los Angeles - Little Armenia,0.0,2020-03-28 09:56:35.322294
173,Los Angeles - Little Bangladesh,2.0,2020-03-28 09:56:35.322294
174,Los Angeles - Little Tokyo,0.0,2020-03-28 09:56:35.322294
175,Los Angeles - Longwood,0.0,2020-03-28 09:56:35.322294
176,Los Angeles - Los Feliz,5.0,2020-03-28 09:56:35.322294
177,Los Angeles - Manchester Square,,2020-03-28 09:56:35.322294
178,Los Angeles - Mandeville Canyon,,2020-03-28 09:56:35.322294
179,Los Angeles - Mar Vista,8.0,2020-03-28 09:56:35.322294
180,Los Angeles - Marina Peninsula,,2020-03-28 09:56:35.322294
181,Los Angeles - Melrose,56.0,2020-03-28 09:56:35.322294
182,Los Angeles - Mid-city,8.0,2020-03-28 09:56:35.322294
183,Los Angeles - Miracle Mile,8.0,2020-03-28 09:56:35.322294
184,Los Angeles - Mission Hills,5.0,2020-03-28 09:56:35.322294
185,Los Angeles - Mt. Washington,,2020-03-28 09:56:35.322294
186,Los Angeles - North Hills,2.0,2020-03-28 09:56:35.322294
187,Los Angeles - North Hollywood,26.0,2020-03-28 09:56:35.322294
188,Los Angeles - Northridge,8.0,2020-03-28 09:56:35.322294
189,Los Angeles - Pacific Palisades,11.0,2020-03-28 09:56:35.322294
190,Los Angeles - Pacoima,3.0,2020-03-28 09:56:35.322294
191,Los Angeles - Palisades Highlands,0.0,2020-03-28 09:56:35.322294
192,Los Angeles - Palms,15.0,2020-03-28 09:56:35.322294
193,Los Angeles - Panorama City,4.0,2020-03-28 09:56:35.322294
194,Los Angeles - Park La Brea,,2020-03-28 09:56:35.322294
195,Los Angeles - Pico-Union,4.0,2020-03-28 09:56:35.322294
196,Los Angeles - Playa Del Rey,,2020-03-28 09:56:35.322294
197,Los Angeles - Playa Vista,5.0,2020-03-28 09:56:35.322294
198,Los Angeles - Porter Ranch,3.0,2020-03-28 09:56:35.322294
199,Los Angeles - Rancho Park,,2020-03-28 09:56:35.322294
200,Los Angeles - Regent Square,0.0,2020-03-28 09:56:35.322294
201,Los Angeles - Reseda,11.0,2020-03-28 09:56:35.322294
202,Los Angeles - Reseda Ranch,,2020-03-28 09:56:35.322294
203,Los Angeles - Reynier Village,,2020-03-28 09:56:35.322294
204,Los Angeles - San Pedro,9.0,2020-03-28 09:56:35.322294
205,Los Angeles - Shadow Hills,,2020-03-28 09:56:35.322294
206,Los Angeles - Sherman Oaks,25.0,2020-03-28 09:56:35.322294
207,Los Angeles - Silverlake,14.0,2020-03-28 09:56:35.322294
208,Los Angeles - South Carthay,5.0,2020-03-28 09:56:35.322294
209,Los Angeles - South Park,4.0,2020-03-28 09:56:35.322294
210,Los Angeles - St Elmo Village,0.0,2020-03-28 09:56:35.322294
211,Los Angeles - Studio City,10.0,2020-03-28 09:56:35.322294
212,Los Angeles - Sun Valley,5.0,2020-03-28 09:56:35.322294
213,Los Angeles - Sunland,,2020-03-28 09:56:35.322294
214,Los Angeles - Sycamore Square,0.0,2020-03-28 09:56:35.322294
215,Los Angeles - Sylmar,8.0,2020-03-28 09:56:35.322294
216,Los Angeles - Tarzana,19.0,2020-03-28 09:56:35.322294
217,Los Angeles - Temple-Beaudry,5.0,2020-03-28 09:56:35.322294
218,Los Angeles - Thai Town,,2020-03-28 09:56:35.322294
219,Los Angeles - Toluca Lake,,2020-03-28 09:56:35.322294
220,Los Angeles - Toluca Terrace,0.0,2020-03-28 09:56:35.322294
221,Los Angeles - Toluca Woods,0.0,2020-03-28 09:56:35.322294
222,Los Angeles - Tujunga,2.0,2020-03-28 09:56:35.322294
223,Los Angeles - University Hills,0.0,2020-03-28 09:56:35.322294
224,Los Angeles - University Park,5.0,2020-03-28 09:56:35.322294
225,Los Angeles - Valley Glen,3.0,2020-03-28 09:56:35.322294
226,Los Angeles - Valley Village,14.0,2020-03-28 09:56:35.322294
227,Los Angeles - Van Nuys,6.0,2020-03-28 09:56:35.322294
228,Los Angeles - Venice,13.0,2020-03-28 09:56:35.322294
229,Los Angeles - Vermont Knolls,,2020-03-28 09:56:35.322294
230,Los Angeles - Vermont Square,,2020-03-28 09:56:35.322294
231,Los Angeles - Vermont Vista,3.0,2020-03-28 09:56:35.322294
232,Los Angeles - Vernon Central,3.0,2020-03-28 09:56:35.322294
233,Los Angeles - Victoria Park,,2020-03-28 09:56:35.322294
234,Los Angeles - View Heights,0.0,2020-03-28 09:56:35.322294
