,Locations,Total Cases,Rate**
0,Laboratory Confirmed Cases (LCC),30296.0,
1,- Los Angeles County (excl. LB and Pas),28905.0,
2,- Long Beach,875.0,
3,- Pasadena,516.0,
4,,,
5,Deaths,1468.0,
6,- Los Angeles County (excl. LB and Pas),1365.0,
7,- Long Beach,38.0,
8,- Pasadena,65.0,
9,,,
10,,,
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,
12,0 to 17,897.0,
13,18 to 40,9774.0,
14,41 to 65,11946.0,
15,Over 65,6189.0,
16,Under Investigation,99.0,
17,Gender (Los Angeles County Cases Only-excl LB and Pas),,
18,Female,14304.0,
19,Male,14356.0,
20,Other,7.0,
21,Under Investigation,238.0,
22,,,
23,Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,
24,American Indian/Alaska Native,16.0,
25,Asian,1802.0,
26,Black,1250.0,
27,Hispanic/Latino,8721.0,
28,Native Hawaiian/Pacific Islander,206.0,
29,White,3523.0,
30,Other,1314.0,
31,Under Investigation,12073.0,
32,,,
33,Hospitalization LAC cases only (not Long Beach and Pasadena),,
34,Hospitalized (Ever),5298.0,
35,,,
36,,,
37,Deaths Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,
38,American Indian/Alaska Native,1.0,
39,Asian,248.0,
40,Black,165.0,
41,Hispanic/Latino,520.0,
42,Native Hawaiian/Pacific Islander,14.0,
43,White,389.0,
44,Other,15.0,
45,Under Investigation,13.0,
46,,,
47,CITY/COMMUNITY**,,
48,City of Agoura Hills,31.0,148.45
49,City of Alhambra,110.0,126.84
50,City of Arcadia,51.0,88.31
51,City of Artesia,15.0,89.31
52,City of Avalon,0.0,0.0
53,City of Azusa,96.0,191.85
54,City of Baldwin Park,128.0,166.73
55,City of Bell,146.0,401.85
56,City of Bell Gardens,129.0,299.51
57,City of Bellflower,171.0,219.98
58,City of Beverly Hills,116.0,336.04
59,City of Bradbury,1.0,93.55
60,City of Burbank,291.0,271.51
61,City of Calabasas,47.0,193.23
62,City of Carson,285.0,303.69
63,City of Cerritos,64.0,127.83
64,City of Claremont,28.0,76.75
65,City of Commerce,15.0,114.78
66,City of Compton,266.0,266.26
67,City of Covina,105.0,214.15
68,City of Cudahy,96.0,394.3
69,City of Culver City,93.0,233.29
70,City of Diamond Bar,41.0,71.29
71,City of Downey,271.0,237.17
72,City of Duarte,84.0,381.54
73,City of El Monte,216.0,184.19
74,City of El Segundo,30.0,178.72
75,City of Gardena,177.0,288.7
76,City of Glendale,697.0,337.54
77,City of Glendora,64.0,121.29
78,City of Hawaiian Gardens,11.0,74.95
79,City of Hawthorne,240.0,270.31
80,City of Hermosa Beach,25.0,127.1
81,City of Hidden Hills,0.0,0.0
82,City of Huntington Park,196.0,329.5
83,City of Industry,7.0,1601.83
84,City of Inglewood,413.0,363.61
85,City of Irwindale,2.0,137.08
86,City of La Canada Flintridge,41.0,198.13
87,City of La Habra Heights,4.0,73.33
88,City of La Mirada,75.0,151.21
89,City of La Puente,50.0,122.86
90,City of La Verne,18.0,54.08
91,City of Lakewood,99.0,123.19
92,City of Lancaster,394.0,243.86
93,City of Lawndale,75.0,223.12
94,City of Lomita,40.0,192.97
95,City of Lynwood,255.0,353.94
96,City of Malibu,31.0,239.18
97,City of Manhattan Beach,68.0,188.89
98,City of Maywood,83.0,295.91
99,City of Monrovia,77.0,198.45
100,City of Montebello,204.0,316.89
101,City of Monterey Park,98.0,157.4
102,City of Norwalk,236.0,219.29
103,City of Palmdale,491.0,308.87
104,City of Palos Verdes Estates,40.0,295.81
105,City of Paramount,171.0,305.23
106,City of Pico Rivera,249.0,387.34
107,City of Pomona,239.0,153.27
108,City of Rancho Palos Verdes,75.0,175.45
109,City of Redondo Beach,117.0,170.31
110,City of Rolling Hills,2.0,103.09
111,City of Rolling Hills Estates,13.0,160.24
112,City of Rosemead,50.0,90.33
113,City of San Dimas,31.0,89.81
114,City of San Fernando,125.0,507.88
115,City of San Gabriel,44.0,107.44
116,City of San Marino,12.0,90.38
117,City of Santa Clarita,463.0,210.05
118,City of Santa Fe Springs,31.0,168.81
119,City of Santa Monica,206.0,222.83
120,City of Sierra Madre,5.0,45.5
121,City of Signal Hill,9.0,76.29
122,City of South El Monte,38.0,181.95
123,City of South Gate,304.0,309.71
124,City of South Pasadena,99.0,379.99
125,City of Temple City,65.0,178.3
126,City of Torrance,311.0,208.35
127,City of Vernon,1.0,478.47
128,City of Walnut,25.0,81.88
129,City of West Covina,164.0,151.52
130,City of West Hollywood,144.0,389.71
131,City of Westlake Village,6.0,71.77
132,City of Whittier,163.0,186.43
133,Los Angeles,14563.0,360.06
134,Los Angeles - Adams-Normandie,32.0,390.15
135,Los Angeles - Alsace,33.0,265.17
136,Los Angeles - Angeles National Forest,0.0,0.0
137,Los Angeles - Angelino Heights,10.0,399.68
138,Los Angeles - Arleta,147.0,427.7
139,Los Angeles - Atwater Village,34.0,231.83
140,Los Angeles - Baldwin Hills,85.0,273.09
141,Los Angeles - Bel Air,31.0,367.78
142,Los Angeles - Beverly Crest,33.0,263.47
143,Los Angeles - Beverlywood,33.0,250.51
144,Los Angeles - Boyle Heights,286.0,329.17
145,Los Angeles - Brentwood,68.0,219.67
146,Los Angeles - Brookside,0.0,0.0
147,Los Angeles - Cadillac-Corning,21.0,294.9
148,Los Angeles - Canoga Park,365.0,559.05
149,Los Angeles - Carthay,67.0,466.48
150,Los Angeles - Central,174.0,446.25
151,Los Angeles - Century City,30.0,234.52
152,Los Angeles - Century Palms/Cove,120.0,355.39
153,Los Angeles - Chatsworth,116.0,313.0
154,Los Angeles - Cheviot Hills,18.0,196.27
155,Los Angeles - Chinatown,10.0,124.67
156,Los Angeles - Cloverdale/Cochran,44.0,302.34
157,Los Angeles - Country Club Park,76.0,501.55
158,Los Angeles - Crenshaw District,55.0,397.71
159,Los Angeles - Crestview,70.0,615.76
