,Locations,Total Cases,Unnamed: 2
0,Laboratory Confirmed Cases (LCC),4045,
1,- Los Angeles County (excl. LB and Pas),3869*,
2,- Long Beach,139,
3,- Pasadena,37,
4,,,
5,Deaths,78,
6,- Los Angeles County (excl. LB and Pas),77,
7,- Long Beach,1,
8,- Pasadena,0,
9,,,
10,,,
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,
12,0 to 17,36,
13,18 to 40,1385,
14,41 to 65,1630,
15,Over 65,787,
16,Unknown,31,
17,Hospitalization,,
18,Hospitalized (Ever),879,
19,CITY/COMMUNITY**,,Rate***
20,City of Agoura Hills,14,66.14
21,City of Alhambra,15,17.3
22,City of Arcadia,12,21.06
23,City of Artesia,--,--
24,City of Avalon,0,0
25,City of Azusa,8,16.17
26,City of Baldwin Park,5,6.72
27,City of Bell,14,38.26
28,City of Bell Gardens,5,11.68
29,City of Bellflower,24,31.55
30,City of Beverly Hills,45,129.86
31,City of Bradbury,0,0
32,City of Burbank,41,39.16
33,City of Calabasas,13,53.76
34,City of Carson,55,58.67
35,City of Cerritos,10,20.3
36,City of Claremont,3,8.31
37,City of Commerce,0,0
38,City of Compton,24,23.77
39,City of Covina,11,22.39
40,City of Cudahy,9,36.7
41,City of Culver City,19,47.09
42,City of Diamond Bar,7,12.25
43,City of Downey,43,37.78
44,City of Duarte,--,--
45,City of El Monte,7,6.16
46,City of El Segundo,--,--
47,City of Gardena,17,28.02
48,City of Glendale,93,46.13
49,City of Glendora,7,13.4
50,City of Hawaiian Gardens,--,--
51,City of Hawthorne,26,29.62
52,City of Hermosa Beach,15,76.1
53,City of Hidden Hills,0,0
54,City of Huntington Park,15,25.21
55,City of Industry,0,0
56,City of Inglewood,44,37.81
57,City of Irwindale,0,0
58,City of La Canada Flintridge,8,39.04
59,City of La Habra Heights,0,0
60,City of La Mirada,11,22.24
61,City of La Puente,7,17.34
62,City of La Verne,2,6.04
63,City of Lakewood,21,26.86
64,City of Lancaster,33,21.07
65,City of Lawndale,8,23.97
66,City of Lomita,--,--
67,City of Lynwood,21,29.09
68,City of Malibu,5,39.47
69,City of Manhattan Beach,43,122.26
70,City of Maywood,10,35.55
71,City of Monrovia,7,18.68
72,City of Montebello,9,14.12
73,City of Monterey Park,11,18
74,City of Norwalk,26,24.79
75,City of Palmdale,20,12.52
76,City of Palos Verdes Estates,18,131.7
77,City of Paramount,13,23.12
78,City of Pico Rivera,15,23.42
79,City of Pomona,15,9.66
80,City of Rancho Palos Verdes,20,46.61
81,City of Redondo Beach,54,77.9
82,City of Rolling Hills,0,0
83,City of Rolling Hills Estates,5,62.54
84,City of Rosemead,3,5.45
85,City of San Dimas,6,17.64
86,City of San Fernando,5,20.44
87,City of San Gabriel,7,17.36
88,City of San Marino,--,--
89,City of Santa Clarita,65,29.63
90,City of Santa Fe Springs,--,--
91,City of Santa Monica,56,59.95
92,City of Sierra Madre,--,--
93,City of Signal Hill,--,--
94,City of South El Monte,0,0
95,City of South Gate,30,30.08
96,City of South Pasadena,7,26.99
97,City of Temple City,1,2.74
98,City of Torrance,69,47.04
99,City of Vernon,0,0
100,City of Walnut,4,13.3
101,City of West Covina,7,6.5
102,City of West Hollywood,68,189.95
103,City of Westlake Village,--,--
104,City of Whittier,16,18.17
105,Los Angeles,1787,44.29
106,Los Angeles - Adams-Normandie,8,94.26
107,Los Angeles - Alsace,--,--
108,Los Angeles - Angeles National Forest,0,0
109,Los Angeles - Angelino Heights,0,0
110,Los Angeles - Arleta,7,19.94
111,Los Angeles - Atwater Village,--,--
112,Los Angeles - Baldwin Hills,13,43.34
113,Los Angeles - Bel Air,12,146.02
114,Los Angeles - Beverly Crest,23,185.56
115,Los Angeles - Beverlywood,15,112.6
116,Los Angeles - Boyle Heights,20,22.92
