,location,cases,Rate**,date
52,City of Bell Gardens,109.0,253.07,2020-05-02 16:08:29.062980
53,City of Bellflower,139.0,178.81,2020-05-02 16:08:29.062980
54,City of Beverly Hills,110.0,318.66,2020-05-02 16:08:29.062980
55,City of Bradbury,1.0,93.55,2020-05-02 16:08:29.062980
56,City of Burbank,252.0,235.12,2020-05-02 16:08:29.062980
57,City of Calabasas,38.0,156.23,2020-05-02 16:08:29.062980
58,City of Carson,245.0,261.07,2020-05-02 16:08:29.062980
59,City of Cerritos,55.0,109.85,2020-05-02 16:08:29.062980
60,City of Claremont,24.0,65.78,2020-05-02 16:08:29.062980
61,City of Commerce,13.0,99.47,2020-05-02 16:08:29.062980
62,City of Compton,216.0,216.21,2020-05-02 16:08:29.062980
63,City of Covina,95.0,193.75,2020-05-02 16:08:29.062980
64,City of Cudahy,78.0,320.37,2020-05-02 16:08:29.062980
65,City of Culver City,67.0,168.07,2020-05-02 16:08:29.062980
66,City of Diamond Bar,34.0,59.12,2020-05-02 16:08:29.062980
67,City of Downey,233.0,203.92,2020-05-02 16:08:29.062980
68,City of Duarte,72.0,327.03,2020-05-02 16:08:29.062980
69,City of El Monte,166.0,141.55,2020-05-02 16:08:29.062980
70,City of El Segundo,27.0,160.85,2020-05-02 16:08:29.062980
71,City of Gardena,160.0,260.97,2020-05-02 16:08:29.062980
72,City of Glendale,610.0,295.41,2020-05-02 16:08:29.062980
73,City of Glendora,46.0,87.18,2020-05-02 16:08:29.062980
74,City of Hawaiian Gardens,10.0,68.14,2020-05-02 16:08:29.062980
75,City of Hawthorne,201.0,226.38,2020-05-02 16:08:29.062980
76,City of Hermosa Beach,23.0,116.93,2020-05-02 16:08:29.062980
77,City of Hidden Hills,0.0,0.0,2020-05-02 16:08:29.062980
78,City of Huntington Park,158.0,265.62,2020-05-02 16:08:29.062980
79,City of Industry,1.0,228.83,2020-05-02 16:08:29.062980
80,City of Inglewood,341.0,300.22,2020-05-02 16:08:29.062980
81,City of Irwindale,2.0,137.08,2020-05-02 16:08:29.062980
82,City of La Canada Flintridge,36.0,173.97,2020-05-02 16:08:29.062980
83,City of La Habra Heights,2.0,36.66,2020-05-02 16:08:29.062980
84,City of La Mirada,64.0,129.03,2020-05-02 16:08:29.062980
85,City of La Puente,43.0,105.66,2020-05-02 16:08:29.062980
86,City of La Verne,16.0,48.07,2020-05-02 16:08:29.062980
87,City of Lakewood,84.0,104.53,2020-05-02 16:08:29.062980
88,City of Lancaster,326.0,201.77,2020-05-02 16:08:29.062980
89,City of Lawndale,59.0,175.52,2020-05-02 16:08:29.062980
90,City of Lomita,34.0,164.02,2020-05-02 16:08:29.062980
91,City of Lynwood,199.0,276.21,2020-05-02 16:08:29.062980
92,City of Malibu,30.0,231.46,2020-05-02 16:08:29.062980
93,City of Manhattan Beach,66.0,183.34,2020-05-02 16:08:29.062980
94,City of Maywood,70.0,249.56,2020-05-02 16:08:29.062980
95,City of Monrovia,50.0,128.87,2020-05-02 16:08:29.062980
96,City of Montebello,144.0,223.69,2020-05-02 16:08:29.062980
97,City of Monterey Park,78.0,125.28,2020-05-02 16:08:29.062980
98,City of Norwalk,201.0,186.76,2020-05-02 16:08:29.062980
99,City of Palmdale,422.0,265.46,2020-05-02 16:08:29.062980
100,City of Palos Verdes Estates,37.0,273.63,2020-05-02 16:08:29.062980
101,City of Paramount,143.0,255.25,2020-05-02 16:08:29.062980
