,location,cases,Rate**,date
34,City of Baldwin Park,34.0,44.29,2020-04-15 15:26:28.698089
35,City of Bell,64.0,176.15,2020-04-15 15:26:28.698089
36,City of Bell Gardens,39.0,90.55,2020-04-15 15:26:28.698089
37,City of Bellflower,55.0,70.75,2020-04-15 15:26:28.698089
38,City of Beverly Hills,78.0,225.96,2020-04-15 15:26:28.698089
39,City of Bradbury,,--,2020-04-15 15:26:28.698089
40,City of Burbank,112.0,104.5,2020-04-15 15:26:28.698089
41,City of Calabasas,26.0,106.89,2020-04-15 15:26:28.698089
42,City of Carson,133.0,141.72,2020-04-15 15:26:28.698089
43,City of Cerritos,34.0,67.91,2020-04-15 15:26:28.698089
44,City of Claremont,13.0,35.63,2020-04-15 15:26:28.698089
45,City of Commerce,,--,2020-04-15 15:26:28.698089
46,City of Compton,72.0,72.07,2020-04-15 15:26:28.698089
47,City of Covina,54.0,110.13,2020-04-15 15:26:28.698089
48,City of Cudahy,24.0,98.57,2020-04-15 15:26:28.698089
49,City of Culver City,34.0,85.29,2020-04-15 15:26:28.698089
50,City of Diamond Bar,22.0,38.25,2020-04-15 15:26:28.698089
51,City of Downey,111.0,97.14,2020-04-15 15:26:28.698089
52,City of Duarte,15.0,68.13,2020-04-15 15:26:28.698089
53,City of El Monte,34.0,28.99,2020-04-15 15:26:28.698089
54,City of El Segundo,12.0,71.49,2020-04-15 15:26:28.698089
55,City of Gardena,82.0,133.75,2020-04-15 15:26:28.698089
56,City of Glendale,278.0,134.63,2020-04-15 15:26:28.698089
57,City of Glendora,26.0,49.28,2020-04-15 15:26:28.698089
58,City of Hawaiian Gardens,,--,2020-04-15 15:26:28.698089
59,City of Hawthorne,87.0,97.99,2020-04-15 15:26:28.698089
60,City of Hermosa Beach,17.0,86.43,2020-04-15 15:26:28.698089
61,City of Hidden Hills,0.0,0,2020-04-15 15:26:28.698089
62,City of Huntington Park,44.0,73.97,2020-04-15 15:26:28.698089
63,City of Industry,,--,2020-04-15 15:26:28.698089
64,City of Inglewood,132.0,116.22,2020-04-15 15:26:28.698089
65,City of Irwindale,0.0,0,2020-04-15 15:26:28.698089
66,City of La Canada Flintridge,23.0,111.15,2020-04-15 15:26:28.698089
67,City of La Habra Heights,,--,2020-04-15 15:26:28.698089
68,City of La Mirada,25.0,50.4,2020-04-15 15:26:28.698089
69,City of La Puente,22.0,54.06,2020-04-15 15:26:28.698089
70,City of La Verne,9.0,27.04,2020-04-15 15:26:28.698089
71,City of Lakewood,43.0,53.51,2020-04-15 15:26:28.698089
72,City of Lancaster,91.0,56.32,2020-04-15 15:26:28.698089
73,City of Lawndale,31.0,92.22,2020-04-15 15:26:28.698089
74,City of Lomita,23.0,110.96,2020-04-15 15:26:28.698089
75,City of Lynwood,84.0,116.59,2020-04-15 15:26:28.698089
76,City of Malibu,18.0,138.88,2020-04-15 15:26:28.698089
77,City of Manhattan Beach,55.0,152.78,2020-04-15 15:26:28.698089
78,City of Maywood,28.0,99.83,2020-04-15 15:26:28.698089
79,City of Monrovia,14.0,36.08,2020-04-15 15:26:28.698089
80,City of Montebello,64.0,99.42,2020-04-15 15:26:28.698089
81,City of Monterey Park,34.0,54.61,2020-04-15 15:26:28.698089
82,City of Norwalk,88.0,81.77,2020-04-15 15:26:28.698089
83,City of Palmdale,118.0,74.23,2020-04-15 15:26:28.698089
84,City of Palos Verdes Estates,36.0,266.23,2020-04-15 15:26:28.698089
85,City of Paramount,44.0,78.54,2020-04-15 15:26:28.698089
86,City of Pico Rivera,67.0,104.23,2020-04-15 15:26:28.698089
87,City of Pomona,58.0,37.2,2020-04-15 15:26:28.698089
88,City of Rancho Palos Verdes,46.0,107.61,2020-04-15 15:26:28.698089
89,City of Redondo Beach,84.0,122.28,2020-04-15 15:26:28.698089
90,City of Rolling Hills,,--,2020-04-15 15:26:28.698089
91,City of Rolling Hills Estates,11.0,135.58,2020-04-15 15:26:28.698089
92,City of Rosemead,16.0,28.91,2020-04-15 15:26:28.698089
93,City of San Dimas,18.0,52.15,2020-04-15 15:26:28.698089
94,City of San Fernando,27.0,109.7,2020-04-15 15:26:28.698089
95,City of San Gabriel,14.0,34.18,2020-04-15 15:26:28.698089
96,City of San Marino,8.0,60.25,2020-04-15 15:26:28.698089
97,City of Santa Clarita,166.0,75.31,2020-04-15 15:26:28.698089
98,City of Santa Fe Springs,9.0,49.01,2020-04-15 15:26:28.698089
99,City of Santa Monica,98.0,106.01,2020-04-15 15:26:28.698089
100,City of Sierra Madre,,--,2020-04-15 15:26:28.698089
101,City of Signal Hill,5.0,42.38,2020-04-15 15:26:28.698089
102,City of South El Monte,,--,2020-04-15 15:26:28.698089
103,City of South Gate,108.0,110.03,2020-04-15 15:26:28.698089
104,City of South Pasadena,17.0,65.25,2020-04-15 15:26:28.698089
105,City of Temple City,17.0,46.63,2020-04-15 15:26:28.698089
