,Locations,Total Cases
0,Laboratory Confirmed Cases (LCC),1465
1,- Los Angeles County (excl. LB and Pas),1402*
2,- Long Beach,54
3,- Pasadena,9
4,,
5,Deaths,26
6,- Los Angeles County (excl. LB and Pas),25
7,- Long Beach,1
8,- Pasadena,0
9,,
10,,
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),
12,0 to 17,22
13,18 to 40,547
14,41 to 65,565
15,Over 65,268
16,,
17,Hospitalization,
18,Hospitalized (Ever),317
19,,
20,,
21,CITY/COMMUNITY**,
22,City of Agoura Hills***,6
23,City of Alhambra,8
24,City of Arcadia,6
25,City of Artesia,--
26,City of Avalon,0
27,City of Azuza,1
28,City of Baldwin Park,0
29,City of Bell,4
30,City of Bell Gardens,1
31,City of Bellflower,10
32,City of Beverly Hills,21
33,City of Bradbury,0
34,City of Burbank,7
35,City of Calabasas,7
36,City of Carson,21
37,City of Cerritos,1
38,City of Claremont,1
39,City of Commerce,0
40,City of Compton,7
41,City of Covina,3
42,City of Cudahy,--
43,City of Culver City,6
44,City of Diamond Bar,2
45,City of Downey,12
46,City of Duarte,--
47,City of El Monte,0
48,City of El Segundo,--
49,City of Gardena,5
50,City of Glendale,29
51,City of Glendora,4
52,City of Hawaiian Gardens,--
53,City of Hawthorne,7
54,City of Hermosa Beach,--
55,City of Hidden Hills,0
56,City of Huntington Park,0
57,City of Industry,0
58,City of Inglewood,12
59,City of Irwindale,0
60,City of La Canada Flintridge,5
61,City of La Habra Heights,--
62,City of La Mirada,5
63,City of La Puente,1
64,City of La Verne,1
65,City of Lakewood,8
66,City of Lancaster,18
67,City of Lawndale,2
68,City of Lomita,0
69,City of Long Beach,0
70,City of Lynwood,8
71,City of Malibu,--
72,City of Manhattan Beach,22
73,City of Maywood,1
74,City of Monrovia,4
75,City of Montebello,2
76,City of Monterey Park,4
77,City of Norwalk,9
78,City of Palmdale,4
79,City of Palos Verdes Estates,12
80,City of Paramount,5
81,City of Pasadena,0
82,City of Pico Rivera,2
83,City of Pomona,4
84,City of Rancho Palos Verdes,7
85,City of Redondo Beach,23
86,City of Rolling Hills,0
87,City of Rolling Hills Estates,--
88,City of Rosemead,0
89,City of San Dimas,1
90,City of San Fernando,0
