,location,cases,Rate**,date
0,Laboratory Confirmed Cases (LCC),17508.0,,2020-04-23 14:38:50.867623
1,- Los Angeles County (excl. LB and Pas),16756.0,,2020-04-23 14:38:50.867623
2,- Long Beach,489.0,,2020-04-23 14:38:50.867623
3,- Pasadena,263.0,,2020-04-23 14:38:50.867623
5,Deaths,797.0,,2020-04-23 14:38:50.867623
6,- Los Angeles County (excl. LB and Pas),742.0,,2020-04-23 14:38:50.867623
7,- Long Beach,27.0,,2020-04-23 14:38:50.867623
8,- Pasadena,28.0,,2020-04-23 14:38:50.867623
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-23 14:38:50.867623
12,0 to 17,335.0,,2020-04-23 14:38:50.867623
13,18 to 40,5435.0,,2020-04-23 14:38:50.867623
14,41 to 65,7278.0,,2020-04-23 14:38:50.867623
15,Over 65,3658.0,,2020-04-23 14:38:50.867623
16,Under Investigation,50.0,,2020-04-23 14:38:50.867623
17,Gender (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-23 14:38:50.867623
18,Female,8281.0,,2020-04-23 14:38:50.867623
19,Male,8314.0,,2020-04-23 14:38:50.867623
20,Other,5.0,,2020-04-23 14:38:50.867623
21,Under Investigation,156.0,,2020-04-23 14:38:50.867623
23,Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-23 14:38:50.867623
24,Asian,1124.0,,2020-04-23 14:38:50.867623
25,Black,826.0,,2020-04-23 14:38:50.867623
26,Hispanic/Latino,4433.0,,2020-04-23 14:38:50.867623
27,White,2374.0,,2020-04-23 14:38:50.867623
28,Other,984.0,,2020-04-23 14:38:50.867623
29,Under Investigation,7015.0,,2020-04-23 14:38:50.867623
31,Hospitalization LAC cases only (not Long Beach and Pasadena),,,2020-04-23 14:38:50.867623
32,Hospitalized (Ever),4053.0,,2020-04-23 14:38:50.867623
35,Deaths Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-23 14:38:50.867623
36,Asian,128.0,,2020-04-23 14:38:50.867623
37,Black,107.0,,2020-04-23 14:38:50.867623
38,Hispanic/Latino,267.0,,2020-04-23 14:38:50.867623
39,White,197.0,,2020-04-23 14:38:50.867623
40,Other,17.0,,2020-04-23 14:38:50.867623
41,Under Investigation,26.0,,2020-04-23 14:38:50.867623
43,CITY/COMMUNITY,,,2020-04-23 14:38:50.867623
44,City of Agoura Hills,29.0,138.87,2020-04-23 14:38:50.867623
45,City of Alhambra,65.0,74.95,2020-04-23 14:38:50.867623
46,City of Arcadia,34.0,58.87,2020-04-23 14:38:50.867623
47,City of Artesia,12.0,71.45,2020-04-23 14:38:50.867623
48,City of Avalon,0.0,0,2020-04-23 14:38:50.867623
49,City of Azusa,40.0,79.94,2020-04-23 14:38:50.867623
