,location,cases,Rate**,date
0,Laboratory Confirmed Cases (LCC),24215.0,,2020-05-01 17:02:57.218739
1,- Los Angeles County (excl. LB and Pas),23142.0,,2020-05-01 17:02:57.218739
2,- Long Beach,667.0,,2020-05-01 17:02:57.218739
3,- Pasadena,406.0,,2020-05-01 17:02:57.218739
5,Deaths,1172.0,,2020-05-01 17:02:57.218739
6,- Los Angeles County (excl. LB and Pas),1086.0,,2020-05-01 17:02:57.218739
7,- Long Beach,36.0,,2020-05-01 17:02:57.218739
8,- Pasadena,50.0,,2020-05-01 17:02:57.218739
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,,2020-05-01 17:02:57.218739
12,0 to 17,609.0,,2020-05-01 17:02:57.218739
13,18 to 40,7718.0,,2020-05-01 17:02:57.218739
14,41 to 65,9795.0,,2020-05-01 17:02:57.218739
15,Over 65,4959.0,,2020-05-01 17:02:57.218739
16,Under Investigation,61.0,,2020-05-01 17:02:57.218739
17,Gender (Los Angeles County Cases Only-excl LB and Pas),,,2020-05-01 17:02:57.218739
18,Female,11416.0,,2020-05-01 17:02:57.218739
19,Male,11551.0,,2020-05-01 17:02:57.218739
20,Other,5.0,,2020-05-01 17:02:57.218739
21,Under Investigation,170.0,,2020-05-01 17:02:57.218739
23,Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,,2020-05-01 17:02:57.218739
24,Asian,1459.0,,2020-05-01 17:02:57.218739
25,Black,1028.0,,2020-05-01 17:02:57.218739
26,Hispanic/Latino,6285.0,,2020-05-01 17:02:57.218739
27,White,2932.0,,2020-05-01 17:02:57.218739
28,Other,1063.0,,2020-05-01 17:02:57.218739
29,Under Investigation,10174.0,,2020-05-01 17:02:57.218739
31,Hospitalization LAC cases only (not Long Beach and Pasadena),,,2020-05-01 17:02:57.218739
32,Hospitalized (Ever),4880.0,,2020-05-01 17:02:57.218739
35,Deaths Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,,2020-05-01 17:02:57.218739
36,Asian,199.0,,2020-05-01 17:02:57.218739
37,Black,139.0,,2020-05-01 17:02:57.218739
38,Hispanic/Latino,401.0,,2020-05-01 17:02:57.218739
39,White,305.0,,2020-05-01 17:02:57.218739
40,Other,12.0,,2020-05-01 17:02:57.218739
41,Under Investigation,17.0,,2020-05-01 17:02:57.218739
43,CITY/COMMUNITY,,,2020-05-01 17:02:57.218739
44,City of Agoura Hills,31.0,148.45,2020-05-01 17:02:57.218739
45,City of Alhambra,85.0,98.01,2020-05-01 17:02:57.218739
46,City of Arcadia,39.0,67.53,2020-05-01 17:02:57.218739
47,City of Artesia,14.0,83.36,2020-05-01 17:02:57.218739
48,City of Avalon,0.0,0.0,2020-05-01 17:02:57.218739
49,City of Azusa,71.0,141.89,2020-05-01 17:02:57.218739
