,location,cases,Rate,date
56,City of Bell Gardens,152.0,352.91,2020-05-14 15:02:30.941480
57,City of Bellflower,223.0,286.87,2020-05-14 15:02:30.941480
58,City of Beverly Hills,123.0,356.32,2020-05-14 15:02:30.941480
59,City of Bradbury,2.0,187.09,2020-05-14 15:02:30.941480
60,City of Burbank,329.0,306.96,2020-05-14 15:02:30.941480
61,City of Calabasas,49.0,201.46,2020-05-14 15:02:30.941480
62,City of Carson,327.0,348.44,2020-05-14 15:02:30.941480
63,City of Cerritos,82.0,163.78,2020-05-14 15:02:30.941480
64,City of Claremont,30.0,82.23,2020-05-14 15:02:30.941480
65,City of Commerce,22.0,168.34,2020-05-14 15:02:30.941480
66,City of Compton,321.0,321.31,2020-05-14 15:02:30.941480
67,City of Covina,117.0,238.62,2020-05-14 15:02:30.941480
68,City of Cudahy,112.0,460.02,2020-05-14 15:02:30.941480
69,City of Culver City,121.0,303.52,2020-05-14 15:02:30.941480
70,City of Diamond Bar,46.0,79.98,2020-05-14 15:02:30.941480
71,City of Downey,347.0,303.69,2020-05-14 15:02:30.941480
72,City of Duarte,95.0,431.5,2020-05-14 15:02:30.941480
73,City of El Monte,289.0,246.44,2020-05-14 15:02:30.941480
74,City of El Segundo,30.0,178.72,2020-05-14 15:02:30.941480
75,City of Gardena,202.0,329.47,2020-05-14 15:02:30.941480
76,City of Glendale,802.0,388.39,2020-05-14 15:02:30.941480
77,City of Glendora,82.0,155.41,2020-05-14 15:02:30.941480
78,City of Hawaiian Gardens,16.0,109.02,2020-05-14 15:02:30.941480
79,City of Hawthorne,283.0,318.74,2020-05-14 15:02:30.941480
80,City of Hermosa Beach,25.0,127.1,2020-05-14 15:02:30.941480
81,City of Hidden Hills,1.0,52.91,2020-05-14 15:02:30.941480
82,City of Huntington Park,238.0,400.11,2020-05-14 15:02:30.941480
83,City of Industry,11.0,2517.16,2020-05-14 15:02:30.941480
84,City of Inglewood,453.0,398.83,2020-05-14 15:02:30.941480
85,City of Irwindale,4.0,274.16,2020-05-14 15:02:30.941480
86,City of La Canada Flintridge,46.0,222.3,2020-05-14 15:02:30.941480
87,City of La Habra Heights,7.0,128.32,2020-05-14 15:02:30.941480
88,City of La Mirada,85.0,171.37,2020-05-14 15:02:30.941480
89,City of La Puente,64.0,157.26,2020-05-14 15:02:30.941480
90,City of La Verne,24.0,72.11,2020-05-14 15:02:30.941480
91,City of Lakewood,122.0,151.81,2020-05-14 15:02:30.941480
92,City of Lancaster,446.0,276.04,2020-05-14 15:02:30.941480
93,City of Lawndale,82.0,243.95,2020-05-14 15:02:30.941480
94,City of Lomita,43.0,207.44,2020-05-14 15:02:30.941480
95,City of Lynwood,303.0,420.56,2020-05-14 15:02:30.941480
96,City of Malibu,33.0,254.61,2020-05-14 15:02:30.941480
97,City of Manhattan Beach,72.0,200.01,2020-05-14 15:02:30.941480
98,City of Maywood,115.0,410.0,2020-05-14 15:02:30.941480
99,City of Monrovia,108.0,278.35,2020-05-14 15:02:30.941480
100,City of Montebello,235.0,365.05,2020-05-14 15:02:30.941480
101,City of Monterey Park,113.0,181.49,2020-05-14 15:02:30.941480
102,City of Norwalk,274.0,254.59,2020-05-14 15:02:30.941480
103,City of Palmdale,537.0,337.8,2020-05-14 15:02:30.941480
104,City of Palos Verdes Estates,40.0,295.81,2020-05-14 15:02:30.941480
105,City of Paramount,192.0,342.72,2020-05-14 15:02:30.941480
106,City of Pico Rivera,294.0,457.35,2020-05-14 15:02:30.941480
107,City of Pomona,283.0,181.49,2020-05-14 15:02:30.941480
108,City of Rancho Palos Verdes,76.0,177.79,2020-05-14 15:02:30.941480
109,City of Redondo Beach,120.0,174.68,2020-05-14 15:02:30.941480
110,City of Rolling Hills,2.0,103.09,2020-05-14 15:02:30.941480
111,City of Rolling Hills Estates,13.0,160.24,2020-05-14 15:02:30.941480
112,City of Rosemead,62.0,112.01,2020-05-14 15:02:30.941480
113,City of San Dimas,38.0,110.09,2020-05-14 15:02:30.941480
114,City of San Fernando,144.0,585.08,2020-05-14 15:02:30.941480
115,City of San Gabriel,80.0,195.34,2020-05-14 15:02:30.941480
116,City of San Marino,18.0,135.57,2020-05-14 15:02:30.941480
117,City of Santa Clarita,549.0,249.07,2020-05-14 15:02:30.941480
118,City of Santa Fe Springs,35.0,190.59,2020-05-14 15:02:30.941480
119,City of Santa Monica,224.0,242.3,2020-05-14 15:02:30.941480
120,City of Sierra Madre,8.0,72.8,2020-05-14 15:02:30.941480
121,City of Signal Hill,15.0,127.15,2020-05-14 15:02:30.941480
122,City of South El Monte,48.0,229.83,2020-05-14 15:02:30.941480
123,City of South Gate,342.0,348.43,2020-05-14 15:02:30.941480
124,City of South Pasadena,109.0,418.38,2020-05-14 15:02:30.941480
125,City of Temple City,101.0,277.05,2020-05-14 15:02:30.941480
126,City of Torrance,329.0,220.41,2020-05-14 15:02:30.941480
127,City of Vernon,1.0,478.47,2020-05-14 15:02:30.941480
128,City of Walnut,30.0,98.26,2020-05-14 15:02:30.941480
129,City of West Covina,193.0,178.32,2020-05-14 15:02:30.941480
130,City of West Hollywood,151.0,408.65,2020-05-14 15:02:30.941480
131,City of Westlake Village,6.0,71.77,2020-05-14 15:02:30.941480
132,City of Whittier,201.0,229.89,2020-05-14 15:02:30.941480
133,Los Angeles,17037.0,421.23,2020-05-14 15:02:30.941480
134,Los Angeles - Adams-Normandie,33.0,402.34,2020-05-14 15:02:30.941480
135,Los Angeles - Alsace,37.0,297.31,2020-05-14 15:02:30.941480
136,Los Angeles - Angeles National Forest,0.0,0.0,2020-05-14 15:02:30.941480
