,Locations,Total Cases,Rate**
0,Laboratory Confirmed Cases (LCC),10496,
1,- Los Angeles County (excl. LB and Pas),9954,
2,- Long Beach,363,
3,- Pasadena,179,
4,,,
5,Deaths,402,
6,- Los Angeles County (excl. LB and Pas),373,
7,- Long Beach,17,
8,- Pasadena,12,
9,,,
10,,,
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,
12,0 to 17,103,
13,18 to 40,3063,
14,41 to 65,4421,
15,Over 65,2318,
16,Under Investigation,49,
17,Gender (Los Angeles County Cases Only-excl LB and Pas),,
18,Male,4807,
19,Female,4993,
20,Other,3,
21,Under Investigation,151,
22,,,
23,Hospitalization LAC cases only (not Long Beach and Pasadena),,
24,Hospitalized (Ever),2704,
25,,,
26,,,
27,CITY/COMMUNITY**,,
28,City of Agoura Hills,21,100.56
29,City of Alhambra,37,42.66
30,City of Arcadia,25,43.29
31,City of Artesia,5,29.77
32,City of Avalon,0,0
33,City of Azusa,22,43.96
34,City of Baldwin Park,34,44.29
35,City of Bell,64,176.15
36,City of Bell Gardens,39,90.55
37,City of Bellflower,55,70.75
38,City of Beverly Hills,78,225.96
39,City of Bradbury,--,--
40,City of Burbank,112,104.5
41,City of Calabasas,26,106.89
42,City of Carson,133,141.72
43,City of Cerritos,34,67.91
44,City of Claremont,13,35.63
45,City of Commerce,--,--
46,City of Compton,72,72.07
47,City of Covina,54,110.13
48,City of Cudahy,24,98.57
49,City of Culver City,34,85.29
50,City of Diamond Bar,22,38.25
51,City of Downey,111,97.14
52,City of Duarte,15,68.13
53,City of El Monte,34,28.99
54,City of El Segundo,12,71.49
55,City of Gardena,82,133.75
56,City of Glendale,278,134.63
57,City of Glendora,26,49.28
58,City of Hawaiian Gardens,--,--
59,City of Hawthorne,87,97.99
60,City of Hermosa Beach,17,86.43
61,City of Hidden Hills,0,0
62,City of Huntington Park,44,73.97
63,City of Industry,--,--
64,City of Inglewood,132,116.22
65,City of Irwindale,0,0
66,City of La Canada Flintridge,23,111.15
67,City of La Habra Heights,--,--
68,City of La Mirada,25,50.4
69,City of La Puente,22,54.06
70,City of La Verne,9,27.04
71,City of Lakewood,43,53.51
72,City of Lancaster,91,56.32
73,City of Lawndale,31,92.22
