,Locations,Total Cases,Rate**
0,Laboratory Confirmed Cases (LCC),17508,
1,- Los Angeles County (excl. LB and Pas),16756,
2,- Long Beach,489,
3,- Pasadena,263,
4,,,
5,Deaths,797,
6,- Los Angeles County (excl. LB and Pas),742,
7,- Long Beach,27,
8,- Pasadena,28,
9,,,
10,,,
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,
12,0 to 17,335,
13,18 to 40,5435,
14,41 to 65,7278,
15,Over 65,3658,
16,Under Investigation,50,
17,Gender (Los Angeles County Cases Only-excl LB and Pas),,
18,Female,8281,
19,Male,8314,
20,Other,5,
21,Under Investigation,156,
22,,,
23,Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,
24,Asian,1124,
25,Black,826,
26,Hispanic/Latino,4433,
27,White,2374,
28,Other,984,
29,Under Investigation,7015,
30,,,
31,Hospitalization LAC cases only (not Long Beach and Pasadena),,
32,Hospitalized (Ever),4053,
33,,,
34,,,
35,Deaths Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,
36,Asian,128,
37,Black,107,
38,Hispanic/Latino,267,
39,White,197,
40,Other,17,
41,Under Investigation,26,
42,,,
43,CITY/COMMUNITY**,,
44,City of Agoura Hills,29,138.87
45,City of Alhambra,65,74.95
46,City of Arcadia,34,58.87
47,City of Artesia,12,71.45
48,City of Avalon,0,0
49,City of Azusa,40,79.94
50,City of Baldwin Park,62,80.76
51,City of Bell,112,308.27
52,City of Bell Gardens,75,174.13
53,City of Bellflower,99,127.36
54,City of Beverly Hills,102,295.48
55,City of Bradbury,--,--
56,City of Burbank,188,175.41
57,City of Calabasas,31,127.45
58,City of Carson,199,212.05
59,City of Cerritos,45,89.88
60,City of Claremont,21,57.56
61,City of Commerce,10,76.52
62,City of Compton,156,156.15
63,City of Covina,77,157.04
64,City of Cudahy,54,221.79
65,City of Culver City,49,122.91
66,City of Diamond Bar,31,53.9
67,City of Downey,170,148.78
68,City of Duarte,45,204.4
69,City of El Monte,107,91.24
70,City of El Segundo,25,148.93
71,City of Gardena,128,208.78
72,City of Glendale,419,202.91
73,City of Glendora,38,72.02
74,City of Hawaiian Gardens,10,68.14
75,City of Hawthorne,144,162.19
76,City of Hermosa Beach,22,111.85
77,City of Hidden Hills,0,0
78,City of Huntington Park,106,178.2
79,City of Industry,--,--
80,City of Inglewood,245,215.7
81,City of Irwindale,--,--
82,City of La Canada Flintridge,37,178.8
83,City of La Habra Heights,--,--
84,City of La Mirada,42,84.68
85,City of La Puente,33,81.09
86,City of La Verne,14,42.06
87,City of Lakewood,71,88.35
88,City of Lancaster,212,131.21
89,City of Lawndale,47,139.82
90,City of Lomita,31,149.55
91,City of Lynwood,141,195.71
92,City of Malibu,28,216.03
93,City of Manhattan Beach,64,177.78
94,City of Maywood,48,171.13
95,City of Monrovia,28,72.16
96,City of Montebello,98,152.23
97,City of Monterey Park,57,91.55
98,City of Norwalk,146,135.66
99,City of Palmdale,325,204.44
