,Locations,Total Cases,Rate**
0,Laboratory Confirmed Cases (LCC),7530,
1,- Los Angeles County (excl. LB and Pas),7194,
2,- Long Beach,256,
3,- Pasadena,80,
4,,,
5,Deaths,198,
6,- Los Angeles County (excl. LB and Pas),189,
7,- Long Beach,6,
8,- Pasadena,3,
9,,,
10,,,
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,
12,0 to 17,80,
13,18 to 40,2409,
14,41 to 65,3170,
15,Over 65,1499,
16,Under Investigation,36,
17,Gender (Los Angeles County Cases Only-excl LB and Pas),,
18,Male,3569,
19,Female,3292,
20,Under Investigation,333,
21,,,
22,,,
23,Hospitalization LAC cases only (not Long Beach and Pasadena),,
24,Hospitalized (Ever),1714,
25,,,
26,,,
27,CITY/COMMUNITY**,,
28,City of Agoura Hills,19,90.98
29,City of Alhambra,26,29.98
30,City of Arcadia,17,29.44
31,City of Artesia,--,--
32,City of Avalon,0,0
33,City of Azusa,14,27.98
34,City of Baldwin Park,12,15.63
35,City of Bell,28,77.07
36,City of Bell Gardens,17,39.47
37,City of Bellflower,42,54.03
38,City of Beverly Hills,71,205.68
39,City of Bradbury,0,0
40,City of Burbank,83,77.44
41,City of Calabasas,20,82.23
42,City of Carson,104,110.82
43,City of Cerritos,29,57.92
44,City of Claremont,8,21.93
45,City of Commerce,0,0
46,City of Compton,44,44.04
47,City of Covina,28,57.11
48,City of Cudahy,19,78.04
49,City of Culver City,29,72.75
50,City of Diamond Bar,14,24.34
51,City of Downey,84,73.51
52,City of Duarte,--,--
53,City of El Monte,23,19.61
54,City of El Segundo,8,47.66
55,City of Gardena,42,68.5
56,City of Glendale,166,80.39
57,City of Glendora,17,32.22
58,City of Hawaiian Gardens,--,--
59,City of Hawthorne,55,61.95
60,City of Hermosa Beach,18,91.51
61,City of Hidden Hills,0,0
62,City of Huntington Park,36,60.52
63,City of Industry,--,--
64,City of Inglewood,92,81
65,City of Irwindale,0,0
66,City of La Canada Flintridge,16,77.32
67,City of La Habra Heights,--,--
68,City of La Mirada,17,34.27
69,City of La Puente,14,34.4
70,City of La Verne,7,21.03
71,City of Lakewood,37,46.04
72,City of Lancaster,73,45.18
73,City of Lawndale,22,65.45
74,City of Lomita,13,62.71
