,location,cases,Rate**,date
35,City of Bell,24,65.58,4/7/20 11:29
36,City of Bell Gardens,12,28.03,4/7/20 11:29
37,City of Bellflower,39,51.28,4/7/20 11:29
38,City of Beverly Hills,70,202.01,4/7/20 11:29
39,City of Bradbury,0,0,4/7/20 11:29
40,City of Burbank,79,75.46,4/7/20 11:29
41,City of Calabasas,20,82.7,4/7/20 11:29
42,City of Carson,96,102.41,4/7/20 11:29
43,City of Cerritos,27,54.82,4/7/20 11:29
44,City of Claremont,6,16.61,4/7/20 11:29
45,City of Commerce,0,0,4/7/20 11:29
46,City of Compton,38,37.64,4/7/20 11:29
47,City of Covina,24,48.85,4/7/20 11:29
48,City of Cudahy,18,73.39,4/7/20 11:29
49,City of Culver City,29,71.87,4/7/20 11:29
50,City of Diamond Bar,14,24.51,4/7/20 11:29
51,City of Downey,79,69.41,4/7/20 11:29
52,City of Duarte,,--,4/7/20 11:29
53,City of El Monte,22,19.34,4/7/20 11:29
54,City of El Segundo,8,48.25,4/7/20 11:29
55,City of Gardena,37,60.98,4/7/20 11:29
56,City of Glendale,154,76.39,4/7/20 11:29
57,City of Glendora,17,32.55,4/7/20 11:29
58,City of Hawaiian Gardens,,--,4/7/20 11:29
59,City of Hawthorne,49,55.82,4/7/20 11:29
60,City of Hermosa Beach,18,91.32,4/7/20 11:29
61,City of Hidden Hills,0,0,4/7/20 11:29
62,City of Huntington Park,33,55.45,4/7/20 11:29
63,City of Industry,,--,4/7/20 11:29
64,City of Inglewood,85,73.05,4/7/20 11:29
65,City of Irwindale,0,0,4/7/20 11:29
66,City of La Canada Flintridge,16,78.08,4/7/20 11:29
67,City of La Habra Heights,0,0,4/7/20 11:29
68,City of La Mirada,16,32.35,4/7/20 11:29
69,City of La Puente,14,34.67,4/7/20 11:29
70,City of La Verne,7,21.14,4/7/20 11:29
71,City of Lakewood,36,46.04,4/7/20 11:29
72,City of Lancaster,64,40.87,4/7/20 11:29
73,City of Lawndale,20,59.92,4/7/20 11:29
74,City of Lomita,13,64.32,4/7/20 11:29
75,City of Lynwood,47,65.11,4/7/20 11:29
76,City of Malibu,9,71.04,4/7/20 11:29
77,City of Manhattan Beach,51,145.01,4/7/20 11:29
78,City of Maywood,20,71.1,4/7/20 11:29
79,City of Monrovia,13,34.7,4/7/20 11:29
80,City of Montebello,27,42.37,4/7/20 11:29
81,City of Monterey Park,21,34.36,4/7/20 11:29
82,City of Norwalk,55,52.45,4/7/20 11:29
83,City of Palmdale,53,33.19,4/7/20 11:29
84,City of Palos Verdes Estates,28,204.87,4/7/20 11:29
85,City of Paramount,27,48.02,4/7/20 11:29
86,City of Pico Rivera,39,60.89,4/7/20 11:29
87,City of Pomona,35,22.55,4/7/20 11:29
88,City of Rancho Palos Verdes,34,79.24,4/7/20 11:29
89,City of Redondo Beach,68,98.1,4/7/20 11:29
90,City of Rolling Hills,,--,4/7/20 11:29
91,City of Rolling Hills Estates,8,100.06,4/7/20 11:29
92,City of Rosemead,10,18.16,4/7/20 11:29
93,City of San Dimas,14,41.16,4/7/20 11:29
94,City of San Fernando,12,49.05,4/7/20 11:29
95,City of San Gabriel,13,32.25,4/7/20 11:29
96,City of San Marino,5,36.99,4/7/20 11:29
97,City of Santa Clarita,112,51.06,4/7/20 11:29
98,City of Santa Fe Springs,,--,4/7/20 11:29
99,City of Santa Monica,77,82.43,4/7/20 11:29
100,City of Sierra Madre,,--,4/7/20 11:29
101,City of Signal Hill,,--,4/7/20 11:29
102,City of South El Monte,,--,4/7/20 11:29
103,City of South Gate,69,69.18,4/7/20 11:29
104,City of South Pasadena,11,42.41,4/7/20 11:29
105,City of Temple City,11,30.14,4/7/20 11:29
106,City of Torrance,101,68.85,4/7/20 11:29
107,City of Vernon,0,0,4/7/20 11:29
108,City of Walnut,9,29.93,4/7/20 11:29
109,City of West Covina,16,14.86,4/7/20 11:29
110,City of West Hollywood,96,268.17,4/7/20 11:29
111,City of Westlake Village,,--,4/7/20 11:29
112,City of Whittier,30,34.06,4/7/20 11:29
113,Los Angeles,3130,77.58,4/7/20 11:29
114,Los Angeles - Adams-Normandie,13,153.18,4/7/20 11:29
115,Los Angeles - Alsace,,--,4/7/20 11:29
116,Los Angeles - Angelino Heights,0,0,4/7/20 11:29
117,Los Angeles - Arleta,20,56.96,4/7/20 11:29
118,Los Angeles - Atwater Village,8,54.41,4/7/20 11:29
119,Los Angeles - Baldwin Hills,24,80.02,4/7/20 11:29
120,Los Angeles - Bel Air,20,243.37,4/7/20 11:29
121,Los Angeles - Beverly Crest,26,209.76,4/7/20 11:29
122,Los Angeles - Beverlywood,18,135.12,4/7/20 11:29
123,Los Angeles - Boyle Heights,42,48.14,4/7/20 11:29
124,Los Angeles - Brentwood,49,156.71,4/7/20 11:29
125,Los Angeles - Brookside,0,0,4/7/20 11:29
