,location,cases,Rate**,date
0,Laboratory Confirmed Cases (LCC),15140.0,,2020-04-21 14:15:36.417581
1,- Los Angeles County (excl. LB and Pas),14427.0,,2020-04-21 14:15:36.417581
2,- Long Beach,464.0,,2020-04-21 14:15:36.417581
3,- Pasadena,249.0,,2020-04-21 14:15:36.417581
5,Deaths,663.0,,2020-04-21 14:15:36.417581
6,- Los Angeles County (excl. LB and Pas),614.0,,2020-04-21 14:15:36.417581
7,- Long Beach,24.0,,2020-04-21 14:15:36.417581
8,- Pasadena,25.0,,2020-04-21 14:15:36.417581
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-21 14:15:36.417581
12,0 to 17,240.0,,2020-04-21 14:15:36.417581
13,18 to 40,4593.0,,2020-04-21 14:15:36.417581
14,41 to 65,6333.0,,2020-04-21 14:15:36.417581
15,Over 65,3229.0,,2020-04-21 14:15:36.417581
16,Under Investigation,31.0,,2020-04-21 14:15:36.417581
17,Gender (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-21 14:15:36.417581
18,Female,7085.0,,2020-04-21 14:15:36.417581
19,Male,7192.0,,2020-04-21 14:15:36.417581
20,Other,3.0,,2020-04-21 14:15:36.417581
21,Under Investigation,147.0,,2020-04-21 14:15:36.417581
23,Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-21 14:15:36.417581
24,Asian,1028.0,,2020-04-21 14:15:36.417581
25,Black,769.0,,2020-04-21 14:15:36.417581
26,Hispanic/Latino,3872.0,,2020-04-21 14:15:36.417581
27,White,2195.0,,2020-04-21 14:15:36.417581
28,Other,1011.0,,2020-04-21 14:15:36.417581
29,Under Investigation,5552.0,,2020-04-21 14:15:36.417581
31,Hospitalization LAC cases only (not Long Beach and Pasadena),,,2020-04-21 14:15:36.417581
32,Hospitalized (Ever),3639.0,,2020-04-21 14:15:36.417581
35,Deaths Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-21 14:15:36.417581
36,Asian,105.0,,2020-04-21 14:15:36.417581
37,Black,93.0,,2020-04-21 14:15:36.417581
38,Hispanic/Latino,207.0,,2020-04-21 14:15:36.417581
39,White,162.0,,2020-04-21 14:15:36.417581
40,Other,15.0,,2020-04-21 14:15:36.417581
41,Under Investigation,32.0,,2020-04-21 14:15:36.417581
43,CITY/COMMUNITY,,,2020-04-21 14:15:36.417581
44,City of Agoura Hills,29.0,138.87,2020-04-21 14:15:36.417581
45,City of Alhambra,51.0,58.81,2020-04-21 14:15:36.417581
46,City of Arcadia,32.0,55.41,2020-04-21 14:15:36.417581
47,City of Artesia,11.0,65.5,2020-04-21 14:15:36.417581
48,City of Avalon,0.0,0,2020-04-21 14:15:36.417581
49,City of Azusa,31.0,61.95,2020-04-21 14:15:36.417581
