,Locations,Total Cases,Unnamed: 2
178,Los Angeles - Marina Peninsula,--,--
179,Los Angeles - Melrose,100,128.81
180,Los Angeles - Mid-city,11,73.03
181,Los Angeles - Miracle Mile,12,67.92
182,Los Angeles - Mission Hills,6,25.03
183,Los Angeles - Mt. Washington,--,--
184,Los Angeles - North Hills,9,14.77
185,Los Angeles - North Hollywood,39,25.77
186,Los Angeles - Northridge,9,13.28
187,Los Angeles - Pacific Palisades,22,106.26
188,Los Angeles - Pacoima,5,6.25
189,Los Angeles - Palisades Highlands,--,--
190,Los Angeles - Palms,25,55.36
191,Los Angeles - Panorama City,7,9.21
192,Los Angeles - Park La Brea,--,--
193,Los Angeles - Pico-Union,7,16.43
194,Los Angeles - Playa Del Rey,--,--
195,Los Angeles - Playa Vista,7,70.11
196,Los Angeles - Porter Ranch,8,24.09
197,Los Angeles - Rancho Park,--,--
198,Los Angeles - Regent Square,--,--
199,Los Angeles - Reseda,20,26.4
200,Los Angeles - Reseda Ranch,--,--
201,Los Angeles - Reynier Village,--,--
202,Los Angeles - San Pedro,14,17.99
203,Los Angeles - Shadow Hills,--,--
204,Los Angeles - Sherman Oaks,33,38.84
205,Los Angeles - Silverlake,20,46.31
206,Los Angeles - South Carthay,8,75.5
207,Los Angeles - South Park,5,12.79
208,Los Angeles - St Elmo Village,0,0
209,Los Angeles - Studio City,18,84.1
210,Los Angeles - Sun Valley,8,14.49
211,Los Angeles - Sunland,5,24.38
212,Los Angeles - Sycamore Square,0,0
213,Los Angeles - Sylmar,25,30.21
214,Los Angeles - Tarzana,26,86.02
215,Los Angeles - Temple-Beaudry,10,25.65
216,Los Angeles - Thai Town,--,--
217,Los Angeles - Toluca Lake,--,--
218,Los Angeles - Toluca Terrace,0,0
219,Los Angeles - Toluca Woods,0,0
220,Los Angeles - Tujunga,5,17.75
221,Los Angeles - University Hills,0,0
222,Los Angeles - University Park,12,44.57
223,Los Angeles - Valley Glen,7,23.45
224,Los Angeles - Valley Village,21,89.64
225,Los Angeles - Van Nuys,13,14
226,Los Angeles - Venice,18,52.73
227,Los Angeles - Vermont Knolls,--,--
228,Los Angeles - Vermont Square,--,--
229,Los Angeles - Vermont Vista,6,14.4
230,Los Angeles - Vernon Central,5,9.24
231,Los Angeles - Victoria Park,--,--
232,Los Angeles - View Heights,--,--
233,Los Angeles - Watts,7,15.94
234,Los Angeles - Wellington Square,0,0
235,Los Angeles - West Adams,12,42.67
236,Los Angeles - West Hills,10,25.56
237,Los Angeles - West Los Angeles,20,53.34
238,Los Angeles - West Vernon,13,23.94
239,Los Angeles - Westchester,17,33.47
240,Los Angeles - Westlake,10,17.04
241,Los Angeles - Westwood,28,51.45
242,Los Angeles - Wholesale District,10,26.18
243,Los Angeles - Wilmington,12,20.95
244,Los Angeles - Wilshire Center,8,15.55
245,Los Angeles - Winnetka,10,19.59
246,Los Angeles - Woodland Hills,25,38.73
247,Unincorporated - Acton,0,0
248,Unincorporated - Agua Dulce,0,0
249,Unincorporated - Altadena,12,28.26
250,Unincorporated - Anaverde,0,0
251,Unincorporated - Angeles National Forest,0,0
252,Unincorporated - Arcadia,0,0
253,Unincorporated - Athens-Westmont,11,26.42
254,Unincorporated - Athens Village,--,--
255,Unincorporated - Avocado Heights,0,0
256,Unincorporated - Azusa,0,0
257,Unincorporated - Bassett,0,0
258,Unincorporated - Bouquet Canyon,0,0
259,Unincorporated - Bradbury,0,0
260,Unincorporated - Canyon Country,--,--
261,Unincorporated - Castaic,3,10.59
262,Unincorporated - Cerritos,0,0
263,Unincorporated - Charter Oak,0,0
264,Unincorporated - Claremont,0,0
265,Unincorporated - Covina,--,--
266,Unincorporated - Covina (Charter Oak),0,0
267,Unincorporated - Del Aire,--,--
268,Unincorporated - Del Rey,0,0
269,Unincorporated - Del Sur,0,0
270,Unincorporated - Desert View Highlands,0,0
271,Unincorporated - Duarte,0,0
272,Unincorporated - East Covina,0,0
273,Unincorporated - East La Mirada,--,--
274,Unincorporated - East Lancaster,0,0
275,Unincorporated - East Los Angeles,14,11.02
276,Unincorporated - East Pasadena,0,0
277,Unincorporated - East Rancho Dominguez,0,0
278,Unincorporated - East Whittier,--,--
279,Unincorporated - El Camino Village,0,0
280,Unincorporated - El Monte,0,0
281,Unincorporated - Elizabeth Lake,0,0
282,Unincorporated - Florence-Firestone,0,0
283,Unincorporated - Glendora,0,0
284,Unincorporated - Hacienda Heights,5,9.15
285,Unincorporated - Harbor Gateway,0,0
286,Unincorporated - Hawthorne,--,--
287,Unincorporated - Hi Vista,0,0
288,Unincorporated - Kagel/Lopez Canyons,0,0
289,Unincorporated - La Crescenta-Montrose,0,0
290,Unincorporated - La Habra Heights,0,0
291,Unincorporated - La Rambla,--,--
292,Unincorporated - La Verne,--,--
293,Unincorporated - Ladera Heights,5,84.18
294,Unincorporated - Lake Hughes,0,0
295,Unincorporated - Lake Los Angeles,0,0
296,Unincorporated - Lake Manor,0,0
297,Unincorporated - Lakewood,0,0
298,Unincorporated - Lennox,8,33.92
299,Unincorporated - Leona Valley,0,0
300,Unincorporated - Littlerock,0,0
301,Unincorporated - Littlerock/Juniper Hills,0,0
302,Unincorporated - Littlerock/Pearblossom,0,0
303,Unincorporated - Llano,0,0
304,Unincorporated - Long Beach,0,0
305,Unincorporated - Lynwood,0,0
306,Unincorporated - Marina del Rey,5,54.51
307,Unincorporated - Miracle Mile,0,0
308,Unincorporated - Monrovia,--,--
309,Unincorporated - Newhall,0,0
310,Unincorporated - North Lancaster,0,0
311,Unincorporated - North Whittier,--,--
312,Unincorporated - Northeast San Gabriel,0,0
313,Unincorporated - Padua Hills,0,0
314,Unincorporated - Palmdale,0,0
315,Unincorporated - Palos Verdes Peninsula,0,0
316,Unincorporated - Pearblossom/Llano,0,0
317,Unincorporated - Pellissier Village,0,0
318,Unincorporated - Placerita Canyon,0,0
319,Unincorporated - Pomona,0,0
320,Unincorporated - Quartz Hill,--,--
321,Unincorporated - Rancho Dominguez,--,--
322,Unincorporated - Roosevelt,0,0
323,Unincorporated - Rosewood,0,0
324,Unincorporated - Rosewood/East Gardena,0,0
325,Unincorporated - Rosewood/West Rancho Dominguez,0,0
326,Unincorporated - Rowland Heights,3,5.9
327,Unincorporated - San Clemente Island,0,0
328,Unincorporated - San Francisquito Canyon/Boquet Canyon,0,0
329,Unincorporated - San Jose Hills,0,0
330,Unincorporated - San Pasqual,0,0
331,Unincorporated - Sand Canyon,0,0
332,Unincorporated - Santa Catalina Island,0,0
333,Unincorporated - Santa Monica Mountains,0,0
334,Unincorporated - Saugus,0,0
335,Unincorporated - Saugus/Canyon Country,0,0
336,Unincorporated - South Antelope Valley,0,0
337,Unincorporated - South Edwards,0,0
338,Unincorporated - South El Monte,0,0
339,Unincorporated - South San Gabriel,0,0
340,Unincorporated - South Whittier,7,12.02
341,Unincorporated - Southeast Antelope Valley,0,0
342,Unincorporated - Stevenson Ranch,--,--
343,Unincorporated - Sun Village,--,--
344,Unincorporated - Sunrise Village,0,0
345,Unincorporated - Twin Lakes/Oat Mountain,0,0
346,Unincorporated - Universal City,0,0
347,Unincorporated - Val Verde,0,0
348,Unincorporated - Valencia,--,--
349,Unincorporated - Valinda,--,--
350,Unincorporated - View Park/Windsor Hills,0,0
