,location,cases,Rate**,date
0,Laboratory Confirmed Cases (LCC),16435.0,,2020-04-22 15:17:03.579607
1,- Los Angeles County (excl. LB and Pas),15697.0,,2020-04-22 15:17:03.579607
2,- Long Beach,477.0,,2020-04-22 15:17:03.579607
3,- Pasadena,261.0,,2020-04-22 15:17:03.579607
5,Deaths,729.0,,2020-04-22 15:17:03.579607
6,- Los Angeles County (excl. LB and Pas),677.0,,2020-04-22 15:17:03.579607
7,- Long Beach,24.0,,2020-04-22 15:17:03.579607
8,- Pasadena,28.0,,2020-04-22 15:17:03.579607
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-22 15:17:03.579607
12,0 to 17,298.0,,2020-04-22 15:17:03.579607
13,18 to 40,5059.0,,2020-04-22 15:17:03.579607
14,41 to 65,6886.0,,2020-04-22 15:17:03.579607
15,Over 65,3410.0,,2020-04-22 15:17:03.579607
16,Under Investigation,44.0,,2020-04-22 15:17:03.579607
17,Gender (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-22 15:17:03.579607
18,Female,7706.0,,2020-04-22 15:17:03.579607
19,Male,7827.0,,2020-04-22 15:17:03.579607
20,Other,5.0,,2020-04-22 15:17:03.579607
21,Under Investigation,159.0,,2020-04-22 15:17:03.579607
23,Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-22 15:17:03.579607
24,Asian,1078.0,,2020-04-22 15:17:03.579607
25,Black,794.0,,2020-04-22 15:17:03.579607
26,Hispanic/Latino,4227.0,,2020-04-22 15:17:03.579607
27,White,2293.0,,2020-04-22 15:17:03.579607
28,Other,972.0,,2020-04-22 15:17:03.579607
29,Under Investigation,6333.0,,2020-04-22 15:17:03.579607
31,Hospitalization LAC cases only (not Long Beach and Pasadena),,,2020-04-22 15:17:03.579607
32,Hospitalized (Ever),3902.0,,2020-04-22 15:17:03.579607
35,Deaths Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-22 15:17:03.579607
36,Asian,118.0,,2020-04-22 15:17:03.579607
37,Black,100.0,,2020-04-22 15:17:03.579607
38,Hispanic/Latino,237.0,,2020-04-22 15:17:03.579607
39,White,176.0,,2020-04-22 15:17:03.579607
40,Other,15.0,,2020-04-22 15:17:03.579607
41,Under Investigation,31.0,,2020-04-22 15:17:03.579607
43,CITY/COMMUNITY,,,2020-04-22 15:17:03.579607
44,City of Alhambra,62.0,71.49,2020-04-22 15:17:03.579607
45,City of Arcadia,34.0,58.87,2020-04-22 15:17:03.579607
46,City of Artesia,12.0,71.45,2020-04-22 15:17:03.579607
47,City of Avalon,0.0,0,2020-04-22 15:17:03.579607
48,City of Azusa,37.0,73.94,2020-04-22 15:17:03.579607
49,City of Baldwin Park,57.0,74.25,2020-04-22 15:17:03.579607
