,Locations,Total Cases,Rate**
0,Laboratory Confirmed Cases (LCC),24894.0,
1,- Los Angeles County (excl. LB and Pas),23774.0,
2,- Long Beach,709.0,
3,- Pasadena,411.0,
4,,,
5,Deaths,1209.0,
6,- Los Angeles County (excl. LB and Pas),1121.0,
7,- Long Beach,36.0,
8,- Pasadena,52.0,
9,,,
10,,,
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,
12,0 to 17,634.0,
13,18 to 40,7917.0,
14,41 to 65,10029.0,
15,Over 65,5124.0,
16,Under Investigation,70.0,
17,Gender (Los Angeles County Cases Only-excl LB and Pas),,
18,Female,11736.0,
19,Male,11851.0,
20,Other,6.0,
21,Under Investigation,181.0,
22,,,
23,Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,
24,Asian,1526.0,
25,Black,1066.0,
26,Hispanic/Latino,6922.0,
27,White,3057.0,
28,Other,1069.0,
29,Under Investigation,9931.0,
30,,,
31,Hospitalization LAC cases only (not Long Beach and Pasadena),,
32,Hospitalized (Ever),4956.0,
33,,,
34,,,
35,Deaths Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,
36,Asian,205.0,
37,Black,139.0,
38,Hispanic/Latino,413.0,
39,White,318.0,
40,Other,12.0,
41,Under Investigation,20.0,
42,,,
43,CITY/COMMUNITY**,,
44,City of Agoura Hills,31.0,148.45
45,City of Alhambra,86.0,99.17
46,City of Arcadia,43.0,74.45
47,City of Artesia,14.0,83.36
48,City of Avalon,0.0,0.0
49,City of Azusa,72.0,143.88
50,City of Baldwin Park,94.0,122.45
51,City of Bell,135.0,371.57
52,City of Bell Gardens,109.0,253.07
53,City of Bellflower,139.0,178.81
54,City of Beverly Hills,110.0,318.66
55,City of Bradbury,1.0,93.55
56,City of Burbank,252.0,235.12
57,City of Calabasas,38.0,156.23
58,City of Carson,245.0,261.07
59,City of Cerritos,55.0,109.85
60,City of Claremont,24.0,65.78
61,City of Commerce,13.0,99.47
62,City of Compton,216.0,216.21
63,City of Covina,95.0,193.75
64,City of Cudahy,78.0,320.37
65,City of Culver City,67.0,168.07
66,City of Diamond Bar,34.0,59.12
67,City of Downey,233.0,203.92
68,City of Duarte,72.0,327.03
69,City of El Monte,166.0,141.55
70,City of El Segundo,27.0,160.85
71,City of Gardena,160.0,260.97
72,City of Glendale,610.0,295.41
73,City of Glendora,46.0,87.18
74,City of Hawaiian Gardens,10.0,68.14
75,City of Hawthorne,201.0,226.38
76,City of Hermosa Beach,23.0,116.93
77,City of Hidden Hills,0.0,0.0
78,City of Huntington Park,158.0,265.62
79,City of Industry,1.0,228.83
80,City of Inglewood,341.0,300.22
81,City of Irwindale,2.0,137.08
82,City of La Canada Flintridge,36.0,173.97
83,City of La Habra Heights,2.0,36.66
84,City of La Mirada,64.0,129.03
85,City of La Puente,43.0,105.66
86,City of La Verne,16.0,48.07
87,City of Lakewood,84.0,104.53
88,City of Lancaster,326.0,201.77
89,City of Lawndale,59.0,175.52
90,City of Lomita,34.0,164.02
