,location,cases,Rate**,date
0,Laboratory Confirmed Cases (LCC),22485.0,,2020-04-29 14:24:13.338019
1,- Los Angeles County (excl. LB and Pas),21500.0,,2020-04-29 14:24:13.338019
2,- Long Beach,602.0,,2020-04-29 14:24:13.338019
3,- Pasadena,383.0,,2020-04-29 14:24:13.338019
5,Deaths,1056.0,,2020-04-29 14:24:13.338019
6,- Los Angeles County (excl. LB and Pas),987.0,,2020-04-29 14:24:13.338019
7,- Long Beach,33.0,,2020-04-29 14:24:13.338019
8,- Pasadena,36.0,,2020-04-29 14:24:13.338019
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-29 14:24:13.338019
12,0 to 17,532.0,,2020-04-29 14:24:13.338019
13,18 to 40,7094.0,,2020-04-29 14:24:13.338019
14,41 to 65,9188.0,,2020-04-29 14:24:13.338019
15,Over 65,4637.0,,2020-04-29 14:24:13.338019
16,Under Investigation,49.0,,2020-04-29 14:24:13.338019
17,Gender (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-29 14:24:13.338019
18,Female,10591.0,,2020-04-29 14:24:13.338019
19,Male,10745.0,,2020-04-29 14:24:13.338019
20,Other,5.0,,2020-04-29 14:24:13.338019
21,Under Investigation,159.0,,2020-04-29 14:24:13.338019
23,Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-29 14:24:13.338019
24,Asian,1331.0,,2020-04-29 14:24:13.338019
25,Black,950.0,,2020-04-29 14:24:13.338019
26,Hispanic/Latino,5418.0,,2020-04-29 14:24:13.338019
27,White,2744.0,,2020-04-29 14:24:13.338019
28,Other,1005.0,,2020-04-29 14:24:13.338019
29,Under Investigation,9862.0,,2020-04-29 14:24:13.338019
31,Hospitalization LAC cases only (not Long Beach and Pasadena),,,2020-04-29 14:24:13.338019
32,Hospitalized (Ever),4715.0,,2020-04-29 14:24:13.338019
35,Deaths Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-29 14:24:13.338019
36,Asian,179.0,,2020-04-29 14:24:13.338019
37,Black,130.0,,2020-04-29 14:24:13.338019
38,Hispanic/Latino,367.0,,2020-04-29 14:24:13.338019
39,White,277.0,,2020-04-29 14:24:13.338019
40,Other,11.0,,2020-04-29 14:24:13.338019
41,Under Investigation,10.0,,2020-04-29 14:24:13.338019
43,CITY/COMMUNITY,,,2020-04-29 14:24:13.338019
44,City of Agoura Hills,31.0,148.45,2020-04-29 14:24:13.338019
45,City of Alhambra,81.0,93.4,2020-04-29 14:24:13.338019
46,City of Arcadia,38.0,65.8,2020-04-29 14:24:13.338019
47,City of Artesia,14.0,83.36,2020-04-29 14:24:13.338019
48,City of Avalon,0.0,0.0,2020-04-29 14:24:13.338019
49,City of Azusa,68.0,135.89,2020-04-29 14:24:13.338019
