,location,cases,Rate**,date
52,City of Bell Gardens,82.0,190.38,2020-04-25 14:42:35.367696
53,City of Bellflower,104.0,133.79,2020-04-25 14:42:35.367696
54,City of Beverly Hills,103.0,298.38,2020-04-25 14:42:35.367696
55,City of Bradbury,1.0,93.55,2020-04-25 14:42:35.367696
56,City of Burbank,208.0,194.07,2020-04-25 14:42:35.367696
57,City of Calabasas,34.0,139.79,2020-04-25 14:42:35.367696
58,City of Carson,210.0,223.77,2020-04-25 14:42:35.367696
59,City of Cerritos,47.0,93.87,2020-04-25 14:42:35.367696
60,City of Claremont,22.0,60.3,2020-04-25 14:42:35.367696
61,City of Commerce,10.0,76.52,2020-04-25 14:42:35.367696
62,City of Compton,173.0,173.17,2020-04-25 14:42:35.367696
63,City of Covina,82.0,167.24,2020-04-25 14:42:35.367696
64,City of Cudahy,55.0,225.9,2020-04-25 14:42:35.367696
65,City of Culver City,56.0,140.47,2020-04-25 14:42:35.367696
66,City of Diamond Bar,33.0,57.38,2020-04-25 14:42:35.367696
67,City of Downey,182.0,159.28,2020-04-25 14:42:35.367696
68,City of Duarte,47.0,213.48,2020-04-25 14:42:35.367696
69,City of El Monte,120.0,102.33,2020-04-25 14:42:35.367696
70,City of El Segundo,27.0,160.85,2020-04-25 14:42:35.367696
71,City of Gardena,134.0,218.56,2020-04-25 14:42:35.367696
72,City of Glendale,469.0,227.13,2020-04-25 14:42:35.367696
73,City of Glendora,39.0,73.91,2020-04-25 14:42:35.367696
74,City of Hawaiian Gardens,9.0,61.32,2020-04-25 14:42:35.367696
75,City of Hawthorne,154.0,173.45,2020-04-25 14:42:35.367696
76,City of Hermosa Beach,23.0,116.93,2020-04-25 14:42:35.367696
77,City of Hidden Hills,0.0,0.0,2020-04-25 14:42:35.367696
78,City of Huntington Park,119.0,200.05,2020-04-25 14:42:35.367696
79,City of Industry,1.0,228.83,2020-04-25 14:42:35.367696
80,City of Inglewood,267.0,235.07,2020-04-25 14:42:35.367696
81,City of Irwindale,2.0,137.08,2020-04-25 14:42:35.367696
82,City of La Canada Flintridge,38.0,183.64,2020-04-25 14:42:35.367696
83,City of La Habra Heights,2.0,36.66,2020-04-25 14:42:35.367696
84,City of La Mirada,46.0,92.74,2020-04-25 14:42:35.367696
85,City of La Puente,33.0,81.09,2020-04-25 14:42:35.367696
86,City of La Verne,16.0,48.07,2020-04-25 14:42:35.367696
87,City of Lakewood,73.0,90.84,2020-04-25 14:42:35.367696
88,City of Lancaster,246.0,152.26,2020-04-25 14:42:35.367696
89,City of Lawndale,50.0,148.75,2020-04-25 14:42:35.367696
90,City of Lomita,32.0,154.37,2020-04-25 14:42:35.367696
91,City of Lynwood,155.0,215.14,2020-04-25 14:42:35.367696
92,City of Malibu,28.0,216.03,2020-04-25 14:42:35.367696
93,City of Manhattan Beach,64.0,177.78,2020-04-25 14:42:35.367696
94,City of Maywood,52.0,185.39,2020-04-25 14:42:35.367696
95,City of Monrovia,35.0,90.21,2020-04-25 14:42:35.367696
96,City of Montebello,109.0,169.32,2020-04-25 14:42:35.367696
97,City of Monterey Park,63.0,101.19,2020-04-25 14:42:35.367696
98,City of Norwalk,163.0,151.46,2020-04-25 14:42:35.367696
99,City of Palmdale,346.0,217.65,2020-04-25 14:42:35.367696
100,City of Palos Verdes Estates,37.0,273.63,2020-04-25 14:42:35.367696
101,City of Paramount,113.0,201.7,2020-04-25 14:42:35.367696
102,City of Pico Rivera,133.0,206.89,2020-04-25 14:42:35.367696
103,City of Pomona,131.0,84.01,2020-04-25 14:42:35.367696
104,City of Rancho Palos Verdes,51.0,119.31,2020-04-25 14:42:35.367696
105,City of Redondo Beach,98.0,142.66,2020-04-25 14:42:35.367696
106,City of Rolling Hills,1.0,51.55,2020-04-25 14:42:35.367696
107,City of Rolling Hills Estates,13.0,160.24,2020-04-25 14:42:35.367696
108,City of Rosemead,28.0,50.59,2020-04-25 14:42:35.367696
109,City of San Dimas,25.0,72.43,2020-04-25 14:42:35.367696
110,City of San Fernando,67.0,272.22,2020-04-25 14:42:35.367696
111,City of San Gabriel,27.0,65.93,2020-04-25 14:42:35.367696
112,City of San Marino,11.0,82.85,2020-04-25 14:42:35.367696
113,City of Santa Clarita,304.0,137.92,2020-04-25 14:42:35.367696
114,City of Santa Fe Springs,16.0,87.13,2020-04-25 14:42:35.367696
115,City of Santa Monica,149.0,161.18,2020-04-25 14:42:35.367696
116,City of Sierra Madre,5.0,45.5,2020-04-25 14:42:35.367696
117,City of Signal Hill,6.0,50.86,2020-04-25 14:42:35.367696
118,City of South El Monte,13.0,62.25,2020-04-25 14:42:35.367696
119,City of South Gate,209.0,212.93,2020-04-25 14:42:35.367696
120,City of South Pasadena,59.0,226.46,2020-04-25 14:42:35.367696
121,City of Temple City,45.0,123.44,2020-04-25 14:42:35.367696
122,City of Torrance,233.0,156.1,2020-04-25 14:42:35.367696
123,City of Vernon,0.0,0.0,2020-04-25 14:42:35.367696
124,City of Walnut,22.0,72.06,2020-04-25 14:42:35.367696
125,City of West Covina,104.0,96.09,2020-04-25 14:42:35.367696
126,City of West Hollywood,130.0,351.82,2020-04-25 14:42:35.367696
127,City of Westlake Village,6.0,71.77,2020-04-25 14:42:35.367696
128,City of Whittier,95.0,108.66,2020-04-25 14:42:35.367696
129,Los Angeles,8695.0,214.98,2020-04-25 14:42:35.367696
130,Los Angeles - Adams-Normandie,22.0,268.23,2020-04-25 14:42:35.367696
131,Los Angeles - Alsace,25.0,200.88,2020-04-25 14:42:35.367696
132,Los Angeles - Angeles National Forest,0.0,0.0,2020-04-25 14:42:35.367696
133,Los Angeles - Angelino Heights,6.0,239.81,2020-04-25 14:42:35.367696
134,Los Angeles - Arleta,76.0,221.12,2020-04-25 14:42:35.367696
135,Los Angeles - Atwater Village,21.0,143.19,2020-04-25 14:42:35.367696
136,Los Angeles - Baldwin Hills,50.0,160.64,2020-04-25 14:42:35.367696
137,Los Angeles - Bel Air,28.0,332.19,2020-04-25 14:42:35.367696
138,Los Angeles - Beverly Crest,31.0,247.5,2020-04-25 14:42:35.367696
139,Los Angeles - Beverlywood,30.0,227.74,2020-04-25 14:42:35.367696
140,Los Angeles - Boyle Heights,154.0,177.25,2020-04-25 14:42:35.367696
141,Los Angeles - Brentwood,63.0,203.52,2020-04-25 14:42:35.367696
142,Los Angeles - Brookside,0.0,0.0,2020-04-25 14:42:35.367696
143,Los Angeles - Cadillac-Corning,15.0,210.64,2020-04-25 14:42:35.367696
144,Los Angeles - Canoga Park,197.0,301.74,2020-04-25 14:42:35.367696
145,Los Angeles - Carthay,59.0,410.78,2020-04-25 14:42:35.367696
146,Los Angeles - Central,93.0,238.51,2020-04-25 14:42:35.367696
147,Los Angeles - Century City,30.0,234.52,2020-04-25 14:42:35.367696
148,Los Angeles - Century Palms/Cove,69.0,204.35,2020-04-25 14:42:35.367696
149,Los Angeles - Chatsworth,68.0,183.48,2020-04-25 14:42:35.367696
150,Los Angeles - Cheviot Hills,16.0,174.46,2020-04-25 14:42:35.367696
151,Los Angeles - Chinatown,8.0,99.74,2020-04-25 14:42:35.367696
152,Los Angeles - Cloverdale/Cochran,30.0,206.14,2020-04-25 14:42:35.367696
153,Los Angeles - Country Club Park,53.0,349.77,2020-04-25 14:42:35.367696
154,Los Angeles - Crenshaw District,44.0,318.17,2020-04-25 14:42:35.367696
155,Los Angeles - Crestview,59.0,519.0,2020-04-25 14:42:35.367696
156,Los Angeles - Del Rey,45.0,150.32,2020-04-25 14:42:35.367696
157,Los Angeles - Downtown,49.0,178.14,2020-04-25 14:42:35.367696
158,Los Angeles - Eagle Rock,76.0,191.97,2020-04-25 14:42:35.367696
159,Los Angeles - East Hollywood,105.0,358.52,2020-04-25 14:42:35.367696
160,Los Angeles - Echo Park,17.0,119.25,2020-04-25 14:42:35.367696
161,Los Angeles - El Sereno,78.0,186.57,2020-04-25 14:42:35.367696
162,Los Angeles - Elysian Park,9.0,157.56,2020-04-25 14:42:35.367696
163,Los Angeles - Elysian Valley,18.0,176.97,2020-04-25 14:42:35.367696
