,location,cases,Rate**,date
35,City of Bell,20.0,54.65,2020-04-05 16:15:35.299912
36,City of Bell Gardens,12.0,28.03,2020-04-05 16:15:35.299912
37,City of Bellflower,32.0,42.07,2020-04-05 16:15:35.299912
38,City of Beverly Hills,65.0,187.58,2020-04-05 16:15:35.299912
39,City of Bradbury,0.0,0,2020-04-05 16:15:35.299912
40,City of Burbank,70.0,66.86,2020-04-05 16:15:35.299912
41,City of Calabasas,20.0,82.7,2020-04-05 16:15:35.299912
42,City of Carson,83.0,88.54,2020-04-05 16:15:35.299912
43,City of Cerritos,20.0,40.61,2020-04-05 16:15:35.299912
44,City of Claremont,5.0,13.84,2020-04-05 16:15:35.299912
45,City of Commerce,0.0,0,2020-04-05 16:15:35.299912
46,City of Compton,34.0,33.68,2020-04-05 16:15:35.299912
47,City of Covina,18.0,36.64,2020-04-05 16:15:35.299912
48,City of Cudahy,15.0,61.16,2020-04-05 16:15:35.299912
49,City of Culver City,26.0,64.43,2020-04-05 16:15:35.299912
50,City of Diamond Bar,12.0,21.01,2020-04-05 16:15:35.299912
51,City of Downey,68.0,59.75,2020-04-05 16:15:35.299912
52,City of Duarte,,--,2020-04-05 16:15:35.299912
53,City of El Monte,18.0,15.83,2020-04-05 16:15:35.299912
54,City of El Segundo,7.0,42.22,2020-04-05 16:15:35.299912
55,City of Gardena,30.0,49.44,2020-04-05 16:15:35.299912
56,City of Glendale,129.0,63.99,2020-04-05 16:15:35.299912
57,City of Glendora,14.0,26.8,2020-04-05 16:15:35.299912
58,City of Hawaiian Gardens,,--,2020-04-05 16:15:35.299912
59,City of Hawthorne,39.0,44.43,2020-04-05 16:15:35.299912
60,City of Hermosa Beach,17.0,86.25,2020-04-05 16:15:35.299912
61,City of Hidden Hills,0.0,0,2020-04-05 16:15:35.299912
62,City of Huntington Park,26.0,43.69,2020-04-05 16:15:35.299912
63,City of Industry,,--,2020-04-05 16:15:35.299912
64,City of Inglewood,69.0,59.3,2020-04-05 16:15:35.299912
65,City of Irwindale,0.0,0,2020-04-05 16:15:35.299912
66,City of La Canada Flintridge,14.0,68.32,2020-04-05 16:15:35.299912
67,City of La Habra Heights,0.0,0,2020-04-05 16:15:35.299912
68,City of La Mirada,15.0,30.32,2020-04-05 16:15:35.299912
69,City of La Puente,12.0,29.72,2020-04-05 16:15:35.299912
70,City of La Verne,7.0,21.14,2020-04-05 16:15:35.299912
71,City of Lakewood,29.0,37.09,2020-04-05 16:15:35.299912
72,City of Lancaster,51.0,32.57,2020-04-05 16:15:35.299912
73,City of Lawndale,13.0,38.95,2020-04-05 16:15:35.299912
74,City of Lomita,9.0,44.53,2020-04-05 16:15:35.299912
