,location,cases,Rate**,date
56,City of Bell Gardens,121.0,280.93,2020-05-06 21:01:23.799930
57,City of Bellflower,158.0,203.25,2020-05-06 21:01:23.799930
58,City of Beverly Hills,116.0,336.04,2020-05-06 21:01:23.799930
59,City of Bradbury,1.0,93.55,2020-05-06 21:01:23.799930
60,City of Burbank,283.0,264.04,2020-05-06 21:01:23.799930
61,City of Calabasas,46.0,189.12,2020-05-06 21:01:23.799930
62,City of Carson,277.0,295.16,2020-05-06 21:01:23.799930
63,City of Cerritos,60.0,119.84,2020-05-06 21:01:23.799930
64,City of Claremont,27.0,74.01,2020-05-06 21:01:23.799930
65,City of Commerce,14.0,107.12,2020-05-06 21:01:23.799930
66,City of Compton,254.0,254.24,2020-05-06 21:01:23.799930
67,City of Covina,101.0,205.99,2020-05-06 21:01:23.799930
68,City of Cudahy,91.0,373.76,2020-05-06 21:01:23.799930
69,City of Culver City,88.0,220.75,2020-05-06 21:01:23.799930
70,City of Diamond Bar,38.0,66.07,2020-05-06 21:01:23.799930
71,City of Downey,253.0,221.42,2020-05-06 21:01:23.799930
72,City of Duarte,81.0,367.91,2020-05-06 21:01:23.799930
73,City of El Monte,202.0,172.25,2020-05-06 21:01:23.799930
74,City of El Segundo,30.0,178.72,2020-05-06 21:01:23.799930
75,City of Gardena,177.0,288.7,2020-05-06 21:01:23.799930
76,City of Glendale,669.0,323.98,2020-05-06 21:01:23.799930
77,City of Glendora,57.0,108.03,2020-05-06 21:01:23.799930
78,City of Hawaiian Gardens,11.0,74.95,2020-05-06 21:01:23.799930
79,City of Hawthorne,232.0,261.3,2020-05-06 21:01:23.799930
80,City of Hermosa Beach,25.0,127.1,2020-05-06 21:01:23.799930
81,City of Hidden Hills,0.0,0.0,2020-05-06 21:01:23.799930
82,City of Huntington Park,180.0,302.6,2020-05-06 21:01:23.799930
83,City of Industry,3.0,686.5,2020-05-06 21:01:23.799930
84,City of Inglewood,390.0,343.36,2020-05-06 21:01:23.799930
85,City of Irwindale,2.0,137.08,2020-05-06 21:01:23.799930
86,City of La Canada Flintridge,41.0,198.13,2020-05-06 21:01:23.799930
87,City of La Habra Heights,3.0,55.0,2020-05-06 21:01:23.799930
88,City of La Mirada,73.0,147.18,2020-05-06 21:01:23.799930
89,City of La Puente,47.0,115.49,2020-05-06 21:01:23.799930
90,City of La Verne,18.0,54.08,2020-05-06 21:01:23.799930
91,City of Lakewood,94.0,116.97,2020-05-06 21:01:23.799930
92,City of Lancaster,373.0,230.86,2020-05-06 21:01:23.799930
93,City of Lawndale,74.0,220.15,2020-05-06 21:01:23.799930
94,City of Lomita,40.0,192.97,2020-05-06 21:01:23.799930
95,City of Lynwood,232.0,322.01,2020-05-06 21:01:23.799930
96,City of Malibu,31.0,239.18,2020-05-06 21:01:23.799930
97,City of Manhattan Beach,67.0,186.12,2020-05-06 21:01:23.799930
98,City of Maywood,79.0,281.65,2020-05-06 21:01:23.799930
99,City of Monrovia,60.0,154.64,2020-05-06 21:01:23.799930
100,City of Montebello,166.0,257.86,2020-05-06 21:01:23.799930
101,City of Monterey Park,93.0,149.37,2020-05-06 21:01:23.799930
102,City of Norwalk,228.0,211.85,2020-05-06 21:01:23.799930
103,City of Palmdale,477.0,300.06,2020-05-06 21:01:23.799930
104,City of Palos Verdes Estates,40.0,295.81,2020-05-06 21:01:23.799930
105,City of Paramount,169.0,301.66,2020-05-06 21:01:23.799930
106,City of Pico Rivera,233.0,362.45,2020-05-06 21:01:23.799930
107,City of Pomona,221.0,141.73,2020-05-06 21:01:23.799930
108,City of Rancho Palos Verdes,71.0,166.09,2020-05-06 21:01:23.799930
109,City of Redondo Beach,115.0,167.4,2020-05-06 21:01:23.799930
110,City of Rolling Hills,2.0,103.09,2020-05-06 21:01:23.799930
111,City of Rolling Hills Estates,13.0,160.24,2020-05-06 21:01:23.799930
112,City of Rosemead,44.0,79.49,2020-05-06 21:01:23.799930
113,City of San Dimas,30.0,86.92,2020-05-06 21:01:23.799930
114,City of San Fernando,121.0,491.63,2020-05-06 21:01:23.799930
115,City of San Gabriel,40.0,97.67,2020-05-06 21:01:23.799930
