,location,cases,Rate,date
56,City of Bell Gardens,149.0,345.94,2020-05-13 16:02:09.874612
57,City of Bellflower,216.0,277.87,2020-05-13 16:02:09.874612
58,City of Beverly Hills,120.0,347.62,2020-05-13 16:02:09.874612
59,City of Bradbury,2.0,187.09,2020-05-13 16:02:09.874612
60,City of Burbank,318.0,296.7,2020-05-13 16:02:09.874612
61,City of Calabasas,48.0,197.34,2020-05-13 16:02:09.874612
62,City of Carson,323.0,344.18,2020-05-13 16:02:09.874612
63,City of Cerritos,78.0,155.79,2020-05-13 16:02:09.874612
64,City of Claremont,30.0,82.23,2020-05-13 16:02:09.874612
65,City of Commerce,22.0,168.34,2020-05-13 16:02:09.874612
66,City of Compton,313.0,313.3,2020-05-13 16:02:09.874612
67,City of Covina,115.0,234.54,2020-05-13 16:02:09.874612
68,City of Cudahy,109.0,447.69,2020-05-13 16:02:09.874612
69,City of Culver City,121.0,303.52,2020-05-13 16:02:09.874612
70,City of Diamond Bar,45.0,78.24,2020-05-13 16:02:09.874612
71,City of Downey,331.0,289.68,2020-05-13 16:02:09.874612
72,City of Duarte,94.0,426.96,2020-05-13 16:02:09.874612
73,City of El Monte,273.0,232.8,2020-05-13 16:02:09.874612
74,City of El Segundo,30.0,178.72,2020-05-13 16:02:09.874612
75,City of Gardena,197.0,321.32,2020-05-13 16:02:09.874612
76,City of Glendale,785.0,380.16,2020-05-13 16:02:09.874612
77,City of Glendora,79.0,149.72,2020-05-13 16:02:09.874612
78,City of Hawaiian Gardens,16.0,109.02,2020-05-13 16:02:09.874612
79,City of Hawthorne,273.0,307.48,2020-05-13 16:02:09.874612
80,City of Hermosa Beach,25.0,127.1,2020-05-13 16:02:09.874612
81,City of Hidden Hills,1.0,52.91,2020-05-13 16:02:09.874612
82,City of Huntington Park,231.0,388.34,2020-05-13 16:02:09.874612
83,City of Industry,11.0,2517.16,2020-05-13 16:02:09.874612
84,City of Inglewood,449.0,395.31,2020-05-13 16:02:09.874612
85,City of Irwindale,4.0,274.16,2020-05-13 16:02:09.874612
86,City of La Canada Flintridge,46.0,222.3,2020-05-13 16:02:09.874612
87,City of La Habra Heights,7.0,128.32,2020-05-13 16:02:09.874612
88,City of La Mirada,83.0,167.34,2020-05-13 16:02:09.874612
89,City of La Puente,58.0,142.52,2020-05-13 16:02:09.874612
90,City of La Verne,23.0,69.11,2020-05-13 16:02:09.874612
91,City of Lakewood,118.0,146.84,2020-05-13 16:02:09.874612
92,City of Lancaster,438.0,271.09,2020-05-13 16:02:09.874612
93,City of Lawndale,81.0,240.97,2020-05-13 16:02:09.874612
94,City of Lomita,43.0,207.44,2020-05-13 16:02:09.874612
95,City of Lynwood,295.0,409.45,2020-05-13 16:02:09.874612
96,City of Malibu,32.0,246.89,2020-05-13 16:02:09.874612
97,City of Manhattan Beach,71.0,197.23,2020-05-13 16:02:09.874612
98,City of Maywood,113.0,402.87,2020-05-13 16:02:09.874612
99,City of Monrovia,107.0,275.77,2020-05-13 16:02:09.874612
100,City of Montebello,231.0,358.83,2020-05-13 16:02:09.874612
101,City of Monterey Park,111.0,178.28,2020-05-13 16:02:09.874612
102,City of Norwalk,270.0,250.88,2020-05-13 16:02:09.874612
103,City of Palmdale,527.0,331.51,2020-05-13 16:02:09.874612
104,City of Palos Verdes Estates,40.0,295.81,2020-05-13 16:02:09.874612
105,City of Paramount,188.0,335.58,2020-05-13 16:02:09.874612
106,City of Pico Rivera,287.0,446.46,2020-05-13 16:02:09.874612
107,City of Pomona,279.0,178.93,2020-05-13 16:02:09.874612
108,City of Rancho Palos Verdes,76.0,177.79,2020-05-13 16:02:09.874612
109,City of Redondo Beach,120.0,174.68,2020-05-13 16:02:09.874612
110,City of Rolling Hills,2.0,103.09,2020-05-13 16:02:09.874612
111,City of Rolling Hills Estates,13.0,160.24,2020-05-13 16:02:09.874612
112,City of Rosemead,59.0,106.59,2020-05-13 16:02:09.874612
113,City of San Dimas,38.0,110.09,2020-05-13 16:02:09.874612
114,City of San Fernando,140.0,568.83,2020-05-13 16:02:09.874612
115,City of San Gabriel,77.0,188.02,2020-05-13 16:02:09.874612
116,City of San Marino,18.0,135.57,2020-05-13 16:02:09.874612
117,City of Santa Clarita,529.0,239.99,2020-05-13 16:02:09.874612
118,City of Santa Fe Springs,35.0,190.59,2020-05-13 16:02:09.874612
119,City of Santa Monica,222.0,240.14,2020-05-13 16:02:09.874612
