,location,cases,date
28,City of Baldwin Park,0.0,2020-03-29 19:25:50.812062
29,City of Bell,6.0,2020-03-29 19:25:50.812062
30,City of Bell Gardens,1.0,2020-03-29 19:25:50.812062
31,City of Bellflower,14.0,2020-03-29 19:25:50.812062
32,City of Beverly Hills,24.0,2020-03-29 19:25:50.812062
33,City of Bradbury,0.0,2020-03-29 19:25:50.812062
34,City of Burbank,19.0,2020-03-29 19:25:50.812062
35,City of Calabasas,10.0,2020-03-29 19:25:50.812062
36,City of Carson,28.0,2020-03-29 19:25:50.812062
37,City of Cerritos,4.0,2020-03-29 19:25:50.812062
38,City of Claremont,1.0,2020-03-29 19:25:50.812062
39,City of Commerce,0.0,2020-03-29 19:25:50.812062
40,City of Compton,11.0,2020-03-29 19:25:50.812062
41,City of Covina,6.0,2020-03-29 19:25:50.812062
42,City of Cudahy,,2020-03-29 19:25:50.812062
43,City of Culver City,9.0,2020-03-29 19:25:50.812062
44,City of Diamond Bar,3.0,2020-03-29 19:25:50.812062
45,City of Downey,19.0,2020-03-29 19:25:50.812062
46,City of Duarte,,2020-03-29 19:25:50.812062
47,City of El Monte,0.0,2020-03-29 19:25:50.812062
48,City of El Segundo,,2020-03-29 19:25:50.812062
49,City of Gardena,6.0,2020-03-29 19:25:50.812062
50,City of Glendale,46.0,2020-03-29 19:25:50.812062
51,City of Glendora,6.0,2020-03-29 19:25:50.812062
52,City of Hawaiian Gardens,,2020-03-29 19:25:50.812062
53,City of Hawthorne,11.0,2020-03-29 19:25:50.812062
54,City of Hermosa Beach,6.0,2020-03-29 19:25:50.812062
55,City of Hidden Hills,0.0,2020-03-29 19:25:50.812062
56,City of Huntington Park,2.0,2020-03-29 19:25:50.812062
57,City of Industry,0.0,2020-03-29 19:25:50.812062
58,City of Inglewood,20.0,2020-03-29 19:25:50.812062
59,City of Irwindale,0.0,2020-03-29 19:25:50.812062
60,City of La Canada Flintridge,7.0,2020-03-29 19:25:50.812062
61,City of La Habra Heights,0.0,2020-03-29 19:25:50.812062
62,City of La Mirada,7.0,2020-03-29 19:25:50.812062
63,City of La Puente,3.0,2020-03-29 19:25:50.812062
64,City of La Verne,1.0,2020-03-29 19:25:50.812062
65,City of Lakewood,12.0,2020-03-29 19:25:50.812062
66,City of Lancaster,23.0,2020-03-29 19:25:50.812062
67,City of Lawndale,4.0,2020-03-29 19:25:50.812062
68,City of Lomita,,2020-03-29 19:25:50.812062
69,City of Long Beach,0.0,2020-03-29 19:25:50.812062
70,City of Lynwood,14.0,2020-03-29 19:25:50.812062
71,City of Malibu,,2020-03-29 19:25:50.812062
72,City of Manhattan Beach,27.0,2020-03-29 19:25:50.812062
73,City of Maywood,4.0,2020-03-29 19:25:50.812062
74,City of Monrovia,4.0,2020-03-29 19:25:50.812062
75,City of Montebello,4.0,2020-03-29 19:25:50.812062
76,City of Monterey Park,5.0,2020-03-29 19:25:50.812062
77,City of Norwalk,12.0,2020-03-29 19:25:50.812062
78,City of Palmdale,7.0,2020-03-29 19:25:50.812062
79,City of Palos Verdes Estates,14.0,2020-03-29 19:25:50.812062
80,City of Paramount,6.0,2020-03-29 19:25:50.812062
81,City of Pasadena,0.0,2020-03-29 19:25:50.812062
82,City of Pico Rivera,5.0,2020-03-29 19:25:50.812062
83,City of Pomona,4.0,2020-03-29 19:25:50.812062
84,City of Rancho Palos Verdes,8.0,2020-03-29 19:25:50.812062
85,City of Redondo Beach,29.0,2020-03-29 19:25:50.812062
86,City of Rolling Hills,0.0,2020-03-29 19:25:50.812062
87,City of Rolling Hills Estates,,2020-03-29 19:25:50.812062
88,City of Rosemead,2.0,2020-03-29 19:25:50.812062
89,City of San Dimas,3.0,2020-03-29 19:25:50.812062
90,City of San Fernando,,2020-03-29 19:25:50.812062
91,City of San Gabriel,6.0,2020-03-29 19:25:50.812062
92,City of San Marino,,2020-03-29 19:25:50.812062
93,City of Santa Clarita,38.0,2020-03-29 19:25:50.812062
94,City of Santa Fe Springs,0.0,2020-03-29 19:25:50.812062
95,City of Santa Monica,41.0,2020-03-29 19:25:50.812062
96,City of Sierra Madre,0.0,2020-03-29 19:25:50.812062
97,City of Signal Hill,,2020-03-29 19:25:50.812062
