,location,cases,Rate**,date
142,Los Angeles - Brookside,0.0,0.0,2020-04-28 14:25:46.849676
143,Los Angeles - Cadillac-Corning,17.0,238.73,2020-04-28 14:25:46.849676
144,Los Angeles - Canoga Park,223.0,341.56,2020-04-28 14:25:46.849676
145,Los Angeles - Carthay,65.0,452.55,2020-04-28 14:25:46.849676
146,Los Angeles - Central,106.0,271.85,2020-04-28 14:25:46.849676
147,Los Angeles - Century City,30.0,234.52,2020-04-28 14:25:46.849676
148,Los Angeles - Century Palms/Cove,80.0,236.92,2020-04-28 14:25:46.849676
149,Los Angeles - Chatsworth,75.0,202.37,2020-04-28 14:25:46.849676
150,Los Angeles - Cheviot Hills,16.0,174.46,2020-04-28 14:25:46.849676
151,Los Angeles - Chinatown,9.0,112.21,2020-04-28 14:25:46.849676
152,Los Angeles - Cloverdale/Cochran,33.0,226.76,2020-04-28 14:25:46.849676
153,Los Angeles - Country Club Park,58.0,382.76,2020-04-28 14:25:46.849676
154,Los Angeles - Crenshaw District,44.0,318.17,2020-04-28 14:25:46.849676
155,Los Angeles - Crestview,61.0,536.59,2020-04-28 14:25:46.849676
156,Los Angeles - Del Rey,46.0,153.66,2020-04-28 14:25:46.849676
157,Los Angeles - Downtown,57.0,207.22,2020-04-28 14:25:46.849676
158,Los Angeles - Eagle Rock,82.0,207.13,2020-04-28 14:25:46.849676
159,Los Angeles - East Hollywood,118.0,402.91,2020-04-28 14:25:46.849676
160,Los Angeles - Echo Park,17.0,119.25,2020-04-28 14:25:46.849676
161,Los Angeles - El Sereno,88.0,210.49,2020-04-28 14:25:46.849676
162,Los Angeles - Elysian Park,9.0,157.56,2020-04-28 14:25:46.849676
163,Los Angeles - Elysian Valley,19.0,186.81,2020-04-28 14:25:46.849676
164,Los Angeles - Encino,80.0,177.1,2020-04-28 14:25:46.849676
165,Los Angeles - Exposition,3.0,90.2,2020-04-28 14:25:46.849676
166,Los Angeles - Exposition Park,124.0,276.06,2020-04-28 14:25:46.849676
167,Los Angeles - Faircrest Heights,2.0,55.56,2020-04-28 14:25:46.849676
168,Los Angeles - Figueroa Park Square,20.0,229.33,2020-04-28 14:25:46.849676
169,Los Angeles - Florence-Firestone,122.0,257.14,2020-04-28 14:25:46.849676
170,Los Angeles - Glassell Park,102.0,322.74,2020-04-28 14:25:46.849676
171,Los Angeles - Gramercy Place,26.0,241.55,2020-04-28 14:25:46.849676
172,Los Angeles - Granada Hills,108.0,185.6,2020-04-28 14:25:46.849676
173,Los Angeles - Green Meadows,50.0,232.5,2020-04-28 14:25:46.849676
174,Los Angeles - Hancock Park,62.0,363.87,2020-04-28 14:25:46.849676
175,Los Angeles - Harbor City,42.0,144.48,2020-04-28 14:25:46.849676
176,Los Angeles - Harbor Gateway,59.0,135.32,2020-04-28 14:25:46.849676
177,Los Angeles - Harbor Pines,0.0,0.0,2020-04-28 14:25:46.849676
178,Los Angeles - Harvard Heights,54.0,299.42,2020-04-28 14:25:46.849676
179,Los Angeles - Harvard Park,112.0,295.24,2020-04-28 14:25:46.849676
180,Los Angeles - Highland Park,78.0,161.19,2020-04-28 14:25:46.849676
181,Los Angeles - Historic Filipinotown,54.0,389.33,2020-04-28 14:25:46.849676
182,Los Angeles - Hollywood,182.0,266.65,2020-04-28 14:25:46.849676
183,Los Angeles - Hollywood Hills,57.0,193.65,2020-04-28 14:25:46.849676
184,Los Angeles - Hyde Park,56.0,196.21,2020-04-28 14:25:46.849676
185,Los Angeles - Jefferson Park,18.0,222.97,2020-04-28 14:25:46.849676
186,Los Angeles - Koreatown,119.0,230.21,2020-04-28 14:25:46.849676
