,location,cases,Rate**,date
0,Laboratory Confirmed Cases (LCC),20417.0,,2020-04-27 14:57:26.978632
1,- Los Angeles County (excl. LB and Pas),19516.0,,2020-04-27 14:57:26.978632
2,- Long Beach,576.0,,2020-04-27 14:57:26.978632
3,- Pasadena,325.0,,2020-04-27 14:57:26.978632
5,Deaths,942.0,,2020-04-27 14:57:26.978632
6,- Los Angeles County (excl. LB and Pas),883.0,,2020-04-27 14:57:26.978632
7,- Long Beach,29.0,,2020-04-27 14:57:26.978632
8,- Pasadena,30.0,,2020-04-27 14:57:26.978632
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-27 14:57:26.978632
12,0 to 17,442.0,,2020-04-27 14:57:26.978632
13,18 to 40,6385.0,,2020-04-27 14:57:26.978632
14,41 to 65,8380.0,,2020-04-27 14:57:26.978632
15,Over 65,4255.0,,2020-04-27 14:57:26.978632
16,Under Investigation,54.0,,2020-04-27 14:57:26.978632
17,Gender (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-27 14:57:26.978632
18,Female,9721.0,,2020-04-27 14:57:26.978632
19,Male,9621.0,,2020-04-27 14:57:26.978632
20,Other,5.0,,2020-04-27 14:57:26.978632
21,Under Investigation,169.0,,2020-04-27 14:57:26.978632
23,Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-27 14:57:26.978632
24,Asian,1231.0,,2020-04-27 14:57:26.978632
25,Black,882.0,,2020-04-27 14:57:26.978632
26,Hispanic/Latino,4960.0,,2020-04-27 14:57:26.978632
27,White,2528.0,,2020-04-27 14:57:26.978632
28,Other,923.0,,2020-04-27 14:57:26.978632
29,Under Investigation,8817.0,,2020-04-27 14:57:26.978632
31,Hospitalization LAC cases only (not Long Beach and Pasadena),,,2020-04-27 14:57:26.978632
32,Hospitalized (Ever),4403.0,,2020-04-27 14:57:26.978632
35,Deaths Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-27 14:57:26.978632
36,Asian,159.0,,2020-04-27 14:57:26.978632
37,Black,119.0,,2020-04-27 14:57:26.978632
38,Hispanic/Latino,321.0,,2020-04-27 14:57:26.978632
39,White,244.0,,2020-04-27 14:57:26.978632
40,Other,10.0,,2020-04-27 14:57:26.978632
41,Under Investigation,18.0,,2020-04-27 14:57:26.978632
43,CITY/COMMUNITY,,,2020-04-27 14:57:26.978632
44,City of Agoura Hills,30.0,143.66,2020-04-27 14:57:26.978632
45,City of Alhambra,75.0,86.48,2020-04-27 14:57:26.978632
46,City of Arcadia,36.0,62.33,2020-04-27 14:57:26.978632
47,City of Artesia,13.0,77.4,2020-04-27 14:57:26.978632
48,City of Avalon,0.0,0.0,2020-04-27 14:57:26.978632
49,City of Azusa,55.0,109.91,2020-04-27 14:57:26.978632
