,location,cases,Rate**,date
0,Laboratory Confirmed Cases (LCC),19528.0,,2020-04-26 16:00:51.500945
1,- Los Angeles County (excl. LB and Pas),18666.0,,2020-04-26 16:00:51.500945
2,- Long Beach,563.0,,2020-04-26 16:00:51.500945
3,- Pasadena,299.0,,2020-04-26 16:00:51.500945
5,Deaths,913.0,,2020-04-26 16:00:51.500945
6,- Los Angeles County (excl. LB and Pas),855.0,,2020-04-26 16:00:51.500945
7,- Long Beach,29.0,,2020-04-26 16:00:51.500945
8,- Pasadena,29.0,,2020-04-26 16:00:51.500945
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-26 16:00:51.500945
12,0 to 17,383.0,,2020-04-26 16:00:51.500945
13,18 to 40,6021.0,,2020-04-26 16:00:51.500945
14,41 to 65,8053.0,,2020-04-26 16:00:51.500945
15,Over 65,4157.0,,2020-04-26 16:00:51.500945
16,Under Investigation,52.0,,2020-04-26 16:00:51.500945
17,Gender (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-26 16:00:51.500945
18,Female,9272.0,,2020-04-26 16:00:51.500945
19,Male,9220.0,,2020-04-26 16:00:51.500945
20,Other,5.0,,2020-04-26 16:00:51.500945
21,Under Investigation,169.0,,2020-04-26 16:00:51.500945
23,Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-26 16:00:51.500945
24,Asian,1214.0,,2020-04-26 16:00:51.500945
25,Black,879.0,,2020-04-26 16:00:51.500945
26,Hispanic/Latino,4908.0,,2020-04-26 16:00:51.500945
27,White,2509.0,,2020-04-26 16:00:51.500945
28,Other,912.0,,2020-04-26 16:00:51.500945
29,Under Investigation,8069.0,,2020-04-26 16:00:51.500945
31,Hospitalization LAC cases only (not Long Beach and Pasadena),,,2020-04-26 16:00:51.500945
32,Hospitalized (Ever),4380.0,,2020-04-26 16:00:51.500945
35,Deaths Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-26 16:00:51.500945
36,Asian,152.0,,2020-04-26 16:00:51.500945
37,Black,117.0,,2020-04-26 16:00:51.500945
38,Hispanic/Latino,311.0,,2020-04-26 16:00:51.500945
39,White,235.0,,2020-04-26 16:00:51.500945
40,Other,10.0,,2020-04-26 16:00:51.500945
41,Under Investigation,18.0,,2020-04-26 16:00:51.500945
43,CITY/COMMUNITY,,,2020-04-26 16:00:51.500945
44,City of Agoura Hills,30.0,143.66,2020-04-26 16:00:51.500945
45,City of Alhambra,68.0,78.41,2020-04-26 16:00:51.500945
46,City of Arcadia,36.0,62.33,2020-04-26 16:00:51.500945
47,City of Artesia,13.0,77.4,2020-04-26 16:00:51.500945
48,City of Avalon,0.0,0.0,2020-04-26 16:00:51.500945
49,City of Azusa,49.0,97.92,2020-04-26 16:00:51.500945
