,Locations,Total Cases,Rate**
0,Laboratory Confirmed Cases (LCC),13816,
1,- Los Angeles County (excl. LB and Pas),13144,
2,- Long Beach,457,
3,- Pasadena,215,
4,,,
5,Deaths,617,
6,- Los Angeles County (excl. LB and Pas),575,
7,- Long Beach,22,
8,- Pasadena,20,
9,,,
10,,,
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,
12,0 to 17,194,
13,18 to 40,4113,
14,41 to 65,5761,
15,Over 65,3045,
16,Under Investigation,31,
17,Gender (Los Angeles County Cases Only-excl LB and Pas),,
18,Female,6431,
19,Male,6561,
20,Other,3,
21,Under Investigation,149,
22,,,
23,Hospitalization LAC cases only (not Long Beach and Pasadena),,
24,Hospitalized (Ever),3465,
25,,,
26,,,
27,CITY/COMMUNITY**,,
28,City of Agoura Hills,26,124.5
29,City of Alhambra,47,54.19
30,City of Arcadia,30,51.94
31,City of Artesia,10,59.54
32,City of Avalon,0,0
33,City of Azusa,23,45.96
34,City of Baldwin Park,44,57.31
35,City of Bell,93,255.97
36,City of Bell Gardens,58,134.66
37,City of Bellflower,74,95.2
38,City of Beverly Hills,94,272.31
39,City of Bradbury,--,--
40,City of Burbank,141,131.55
41,City of Calabasas,29,119.23
42,City of Carson,163,173.69
43,City of Cerritos,40,79.89
44,City of Claremont,16,43.85
45,City of Commerce,7,53.56
46,City of Compton,115,115.11
47,City of Covina,63,128.49
48,City of Cudahy,30,123.22
49,City of Culver City,40,100.34
50,City of Diamond Bar,24,41.73
51,City of Downey,137,119.9
52,City of Duarte,32,145.35
53,City of El Monte,61,52.02
54,City of El Segundo,20,119.15
55,City of Gardena,107,174.52
56,City of Glendale,339,164.17
57,City of Glendora,33,62.54
58,City of Hawaiian Gardens,6,40.88
59,City of Hawthorne,106,119.39
60,City of Hermosa Beach,21,106.76
61,City of Hidden Hills,0,0
62,City of Huntington Park,78,131.13
63,City of Industry,--,--
64,City of Inglewood,177,155.83
65,City of Irwindale,--,--
66,City of La Canada Flintridge,30,144.98
67,City of La Habra Heights,--,--
68,City of La Mirada,37,74.6
69,City of La Puente,22,54.06
70,City of La Verne,12,36.06
71,City of Lakewood,56,69.68
72,City of Lancaster,132,81.7
73,City of Lawndale,36,107.1
74,City of Lomita,27,130.25
75,City of Lynwood,103,142.96
76,City of Malibu,23,177.46
77,City of Manhattan Beach,59,163.89
78,City of Maywood,42,149.74
79,City of Monrovia,20,51.55
80,City of Montebello,80,124.27
81,City of Monterey Park,43,69.06
82,City of Norwalk,114,105.93
83,City of Palmdale,192,120.78
84,City of Palos Verdes Estates,36,266.23
85,City of Paramount,80,142.8
86,City of Pico Rivera,94,146.23
87,City of Pomona,82,52.59
88,City of Rancho Palos Verdes,49,114.63
89,City of Redondo Beach,91,132.47
90,City of Rolling Hills,--,--
91,City of Rolling Hills Estates,13,160.24
92,City of Rosemead,17,30.71
93,City of San Dimas,23,66.64
94,City of San Fernando,39,158.46
95,City of San Gabriel,19,46.39
96,City of San Marino,8,60.25
97,City of Santa Clarita,221,100.26
98,City of Santa Fe Springs,14,76.24
99,City of Santa Monica,124,134.13
100,City of Sierra Madre,--,--
101,City of Signal Hill,5,42.38
102,City of South El Monte,5,23.94
103,City of South Gate,154,156.89
104,City of South Pasadena,30,115.15
105,City of Temple City,24,65.83
106,City of Torrance,204,136.67
107,City of Vernon,0,0
108,City of Walnut,16,52.4
109,City of West Covina,62,57.28
110,City of West Hollywood,114,308.52
111,City of Westlake Village,6,71.77
