,Locations,Total Cases,Rate**
0,Laboratory Confirmed Cases (LCC),32258.0,
1,- Los Angeles County (excl. LB and Pas),30759.0,
2,- Long Beach,948.0,
3,- Pasadena,551.0,
4,,,
5,Deaths,1569.0,
6,- Los Angeles County (excl. LB and Pas),1460.0,
7,- Long Beach,44.0,
8,- Pasadena,65.0,
9,,,
10,,,
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,
12,0 to 17,979.0,
13,18 to 40,10426.0,
14,41 to 65,12673.0,
15,Over 65,6583.0,
16,Under Investigation,98.0,
17,Gender (Los Angeles County Cases Only-excl LB and Pas),,
18,Female,15231.0,
19,Male,15280.0,
20,Other,7.0,
21,Under Investigation,241.0,
22,,,
23,Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,
24,American Indian/Alaska Native,19.0,
25,Asian,1936.0,
26,Black,1329.0,
27,Hispanic/Latino,9413.0,
28,Native Hawaiian/Pacific Islander,209.0,
29,White,3723.0,
30,Other,1341.0,
31,Under Investigation,12789.0,
32,,,
33,Hospitalization LAC cases only (not Long Beach and Pasadena),,
34,Hospitalized (Ever),5437.0,
35,,,
36,,,
37,Deaths Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,
38,American Indian/Alaska Native,1.0,
39,Asian,266.0,
40,Black,179.0,
41,Hispanic/Latino,552.0,
42,Native Hawaiian/Pacific Islander,14.0,
43,White,418.0,
44,Other,15.0,
45,Under Investigation,15.0,
46,,,
47,CITY/COMMUNITY**,,
48,City of Agoura Hills,31.0,148.45
49,City of Alhambra,120.0,138.37
50,City of Arcadia,54.0,93.5
51,City of Artesia,15.0,89.31
52,City of Avalon,0.0,0.0
53,City of Azusa,103.0,205.84
54,City of Baldwin Park*,152.0,198.0
55,City of Bell,154.0,423.87
56,City of Bell Gardens,136.0,315.76
57,City of Bellflower*,182.0,234.13
58,City of Beverly Hills,119.0,344.73
59,City of Bradbury,2.0,187.09
60,City of Burbank,304.0,283.64
61,City of Calabasas,47.0,193.23
62,City of Carson*,302.0,321.8
63,City of Cerritos*,69.0,137.82
64,City of Claremont*,29.0,79.49
65,City of Commerce,19.0,145.38
66,City of Compton*,287.0,287.28
67,City of Covina*,108.0,220.26
68,City of Cudahy,98.0,402.51
69,City of Culver City,118.0,296.0
70,City of Diamond Bar,44.0,76.5
71,City of Downey*,294.0,257.3
72,City of Duarte,85.0,386.08
