,Locations,Total Cases,Rate**
0,Laboratory Confirmed Cases (LCC),29427.0,
1,- Los Angeles County (excl. LB and Pas),28135.0,
2,- Long Beach,791.0,
3,- Pasadena,501.0,
4,,,
5,Deaths,1418.0,
6,- Los Angeles County (excl. LB and Pas),1317.0,
7,- Long Beach,38.0,
8,- Pasadena,63.0,
9,,,
10,,,
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,
12,0 to 17,876.0,
13,18 to 40,9491.0,
14,41 to 65,11648.0,
15,Over 65,6028.0,
16,Under Investigation,92.0,
17,Gender (Los Angeles County Cases Only-excl LB and Pas),,
18,Female,13952.0,
19,Male,13936.0,
20,Other,7.0,
21,Under Investigation,240.0,
22,,,
23,Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,
24,American Indian/Alaska Native,16.0,
25,Asian,1765.0,
26,Black,1230.0,
27,Hispanic/Latino,8504.0,
28,Native Hawaiian/Pacific Islander,201.0,
29,White,3484.0,
30,Other,1245.0,
31,Under Investigation,11690.0,
32,,,
33,Hospitalization LAC cases only (not Long Beach and Pasadena),,
34,Hospitalized (Ever),5238.0,
35,,,
36,,,
37,Deaths Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,
38,American Indian/Alaska Native,1.0,
39,Asian,242.0,
40,Black,161.0,
41,Hispanic/Latino,503.0,
42,Native Hawaiian/Pacific Islander,14.0,
43,White,370.0,
44,Other,18.0,
45,Under Investigation,8.0,
46,,,
47,CITY/COMMUNITY**,,
48,City of Agoura Hills,31.0,148.45
49,City of Alhambra,106.0,122.23
50,City of Arcadia,50.0,86.57
51,City of Artesia,15.0,89.31
52,City of Avalon,0.0,0.0
53,City of Azusa,96.0,191.85
54,City of Baldwin Park,126.0,164.13
55,City of Bell,144.0,396.34
56,City of Bell Gardens,125.0,290.22
57,City of Bellflower,162.0,208.4
58,City of Beverly Hills,115.0,333.14
59,City of Bradbury,1.0,93.55
60,City of Burbank,288.0,268.71
61,City of Calabasas,47.0,193.23
62,City of Carson,283.0,301.56
63,City of Cerritos,63.0,125.83
64,City of Claremont,27.0,74.01
65,City of Commerce,14.0,107.12
66,City of Compton,260.0,260.25
67,City of Covina,104.0,212.11
68,City of Cudahy,93.0,381.98
69,City of Culver City,90.0,225.76
70,City of Diamond Bar,39.0,67.81
71,City of Downey,264.0,231.05
72,City of Duarte,81.0,367.91
73,City of El Monte,209.0,178.22
74,City of El Segundo,30.0,178.72
75,City of Gardena,177.0,288.7
76,City of Glendale,687.0,332.7
77,City of Glendora,63.0,119.4
78,City of Hawaiian Gardens,11.0,74.95
79,City of Hawthorne,235.0,264.68
80,City of Hermosa Beach,25.0,127.1
81,City of Hidden Hills,0.0,0.0
82,City of Huntington Park,182.0,305.96
83,City of Industry,4.0,915.33
84,City of Inglewood,408.0,359.21
85,City of Irwindale,2.0,137.08
86,City of La Canada Flintridge,41.0,198.13
87,City of La Habra Heights,4.0,73.33
88,City of La Mirada,73.0,147.18
89,City of La Puente,46.0,113.03
90,City of La Verne,18.0,54.08
91,City of Lakewood,95.0,118.22
92,City of Lancaster,387.0,239.52
93,City of Lawndale,75.0,223.12
94,City of Lomita,40.0,192.97
95,City of Lynwood,240.0,333.12
96,City of Malibu,31.0,239.18
97,City of Manhattan Beach,68.0,188.89
98,City of Maywood,81.0,288.78
99,City of Monrovia,74.0,190.72
100,City of Montebello,175.0,271.84
101,City of Monterey Park,95.0,152.58
102,City of Norwalk,230.0,213.71
103,City of Palmdale,486.0,305.72
104,City of Palos Verdes Estates,40.0,295.81
105,City of Paramount,170.0,303.45
106,City of Pico Rivera,241.0,374.9
107,City of Pomona,232.0,148.78
108,City of Rancho Palos Verdes,74.0,173.11
109,City of Redondo Beach,116.0,168.86
110,City of Rolling Hills,2.0,103.09
111,City of Rolling Hills Estates,13.0,160.24
112,City of Rosemead,47.0,84.91
113,City of San Dimas,31.0,89.81
114,City of San Fernando,123.0,499.76
115,City of San Gabriel,42.0,102.55
116,City of San Marino,12.0,90.38
117,City of Santa Clarita,462.0,209.6
118,City of Santa Fe Springs,31.0,168.81
119,City of Santa Monica,203.0,219.59
120,City of Sierra Madre,5.0,45.5
121,City of Signal Hill,9.0,76.29
122,City of South El Monte,38.0,181.95
123,City of South Gate,300.0,305.64
124,City of South Pasadena,100.0,383.83
125,City of Temple City,63.0,172.82
126,City of Torrance,308.0,206.34
127,City of Vernon,1.0,478.47
128,City of Walnut,25.0,81.88
129,City of West Covina,158.0,145.98
130,City of West Hollywood,142.0,384.29
131,City of Westlake Village,6.0,71.77
132,City of Whittier,162.0,185.29
133,Los Angeles,14253.0,352.4
134,Los Angeles - Adams-Normandie,32.0,390.15
135,Los Angeles - Alsace,33.0,265.17
136,Los Angeles - Angeles National Forest,0.0,0.0
137,Los Angeles - Angelino Heights,10.0,399.68
138,Los Angeles - Arleta,147.0,427.7
139,Los Angeles - Atwater Village,34.0,231.83
140,Los Angeles - Baldwin Hills,77.0,247.39
141,Los Angeles - Bel Air,31.0,367.78
142,Los Angeles - Beverly Crest,33.0,263.47
143,Los Angeles - Beverlywood,33.0,250.51
144,Los Angeles - Boyle Heights,271.0,311.91
145,Los Angeles - Brentwood,67.0,216.44
146,Los Angeles - Brookside,0.0,0.0
147,Los Angeles - Cadillac-Corning,21.0,294.9
148,Los Angeles - Canoga Park,362.0,554.46
149,Los Angeles - Carthay,68.0,473.44
150,Los Angeles - Central,171.0,438.55
151,Los Angeles - Century City,30.0,234.52
152,Los Angeles - Century Palms/Cove,117.0,346.5
153,Los Angeles - Chatsworth,115.0,310.3
154,Los Angeles - Cheviot Hills,18.0,196.27
155,Los Angeles - Chinatown,10.0,124.67
156,Los Angeles - Cloverdale/Cochran,42.0,288.6
157,Los Angeles - Country Club Park,74.0,488.35
158,Los Angeles - Crenshaw District,55.0,397.71
159,Los Angeles - Crestview,70.0,615.76
160,Los Angeles - Del Rey,58.0,193.75
161,Los Angeles - Downtown,82.0,298.11
162,Los Angeles - Eagle Rock,106.0,267.75
163,Los Angeles - East Hollywood,156.0,532.66
164,Los Angeles - Echo Park,26.0,182.38
165,Los Angeles - El Sereno,112.0,267.89
166,Los Angeles - Elysian Park,10.0,175.07
167,Los Angeles - Elysian Valley,26.0,255.63
168,Los Angeles - Encino,96.0,212.52
169,Los Angeles - Exposition,5.0,150.33
170,Los Angeles - Exposition Park,154.0,342.85
171,Los Angeles - Faircrest Heights,4.0,111.11
172,Los Angeles - Figueroa Park Square,23.0,263.73
173,Los Angeles - Florence-Firestone,174.0,366.74
174,Los Angeles - Glassell Park,125.0,395.52
175,Los Angeles - Gramercy Place,40.0,371.61
