,location,cases,date
28,City of Baldwin Park,0.0,2020-03-27 15:54:01.964592
29,City of Bell,4.0,2020-03-27 15:54:01.964592
30,City of Bell Gardens,1.0,2020-03-27 15:54:01.964592
31,City of Bellflower,10.0,2020-03-27 15:54:01.964592
32,City of Beverly Hills,21.0,2020-03-27 15:54:01.964592
33,City of Bradbury,0.0,2020-03-27 15:54:01.964592
34,City of Burbank,7.0,2020-03-27 15:54:01.964592
35,City of Calabasas,7.0,2020-03-27 15:54:01.964592
36,City of Carson,21.0,2020-03-27 15:54:01.964592
37,City of Cerritos,1.0,2020-03-27 15:54:01.964592
38,City of Claremont,1.0,2020-03-27 15:54:01.964592
39,City of Commerce,0.0,2020-03-27 15:54:01.964592
40,City of Compton,7.0,2020-03-27 15:54:01.964592
41,City of Covina,3.0,2020-03-27 15:54:01.964592
42,City of Cudahy,,2020-03-27 15:54:01.964592
43,City of Culver City,6.0,2020-03-27 15:54:01.964592
44,City of Diamond Bar,2.0,2020-03-27 15:54:01.964592
45,City of Downey,12.0,2020-03-27 15:54:01.964592
46,City of Duarte,,2020-03-27 15:54:01.964592
47,City of El Monte,0.0,2020-03-27 15:54:01.964592
48,City of El Segundo,,2020-03-27 15:54:01.964592
49,City of Gardena,5.0,2020-03-27 15:54:01.964592
50,City of Glendale,29.0,2020-03-27 15:54:01.964592
51,City of Glendora,4.0,2020-03-27 15:54:01.964592
52,City of Hawaiian Gardens,,2020-03-27 15:54:01.964592
53,City of Hawthorne,7.0,2020-03-27 15:54:01.964592
54,City of Hermosa Beach,,2020-03-27 15:54:01.964592
55,City of Hidden Hills,0.0,2020-03-27 15:54:01.964592
56,City of Huntington Park,0.0,2020-03-27 15:54:01.964592
57,City of Industry,0.0,2020-03-27 15:54:01.964592
58,City of Inglewood,12.0,2020-03-27 15:54:01.964592
59,City of Irwindale,0.0,2020-03-27 15:54:01.964592
60,City of La Canada Flintridge,5.0,2020-03-27 15:54:01.964592
61,City of La Habra Heights,,2020-03-27 15:54:01.964592
62,City of La Mirada,5.0,2020-03-27 15:54:01.964592
63,City of La Puente,1.0,2020-03-27 15:54:01.964592
64,City of La Verne,1.0,2020-03-27 15:54:01.964592
65,City of Lakewood,8.0,2020-03-27 15:54:01.964592
66,City of Lancaster,18.0,2020-03-27 15:54:01.964592
67,City of Lawndale,2.0,2020-03-27 15:54:01.964592
68,City of Lomita,0.0,2020-03-27 15:54:01.964592
69,City of Long Beach,0.0,2020-03-27 15:54:01.964592
70,City of Lynwood,8.0,2020-03-27 15:54:01.964592
71,City of Malibu,,2020-03-27 15:54:01.964592
72,City of Manhattan Beach,22.0,2020-03-27 15:54:01.964592
73,City of Maywood,1.0,2020-03-27 15:54:01.964592
74,City of Monrovia,4.0,2020-03-27 15:54:01.964592
75,City of Montebello,2.0,2020-03-27 15:54:01.964592
