,Locations,Total Cases,Rate**
0,Laboratory Confirmed Cases (LCC),16435,
1,- Los Angeles County (excl. LB and Pas),15697,
2,- Long Beach,477,
3,- Pasadena,261,
4,,,
5,Deaths,729,
6,- Los Angeles County (excl. LB and Pas),677,
7,- Long Beach,24,
8,- Pasadena,28,
9,,,
10,,,
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,
12,0 to 17,298,
13,18 to 40,5059,
14,41 to 65,6886,
15,Over 65,3410,
16,Under Investigation,44,
17,Gender (Los Angeles County Cases Only-excl LB and Pas),,
18,Female,7706,
19,Male,7827,
20,Other,5,
21,Under Investigation,159,
22,,,
23,Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,
24,Asian,1078,
25,Black,794,
26,Hispanic/Latino,4227,
27,White,2293,
28,Other,972,
29,Under Investigation,6333,
30,,,
31,Hospitalization LAC cases only (not Long Beach and Pasadena),,
32,Hospitalized (Ever),3902,
33,,,
34,,,
35,Deaths Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,
36,Asian,118,
37,Black,100,
38,Hispanic/Latino,237,
39,White,176,
40,Other,15,
41,Under Investigation,31,
42,,,
43,CITY/COMMUNITY**,,
44,City of Alhambra,62,71.49
45,City of Arcadia,34,58.87
46,City of Artesia,12,71.45
47,City of Avalon,0,0
48,City of Azusa,37,73.94
49,City of Baldwin Park,57,74.25
50,City of Bell,109,300.01
51,City of Bell Gardens,70,162.52
52,City of Bellflower,87,111.92
53,City of Beverly Hills,100,289.69
54,City of Bradbury,--,--
55,City of Burbank,170,158.61
56,City of Calabasas,31,127.45
57,City of Carson,191,203.52
58,City of Cerritos,44,87.88
59,City of Claremont,21,57.56
60,City of Commerce,10,76.52
61,City of Compton,140,140.13
62,City of Covina,71,144.8
63,City of Cudahy,49,201.26
64,City of Culver City,45,112.88
65,City of Diamond Bar,28,48.68
66,City of Downey,155,135.65
67,City of Duarte,45,204.4
68,City of El Monte,96,81.86
69,City of El Segundo,24,142.98
70,City of Gardena,126,205.51
71,City of Glendale,389,188.38
72,City of Glendora,37,70.12
73,City of Hawaiian Gardens,9,61.32
74,City of Hawthorne,140,157.68
75,City of Hermosa Beach,22,111.85
76,City of Hidden Hills,0,0
77,City of Huntington Park,95,159.71
78,City of Industry,--,--
79,City of Inglewood,228,200.74
80,City of Irwindale,--,--
81,City of La Canada Flintridge,35,169.14
82,City of La Habra Heights,--,--
83,City of La Mirada,42,84.68
84,City of La Puente,31,76.17
85,City of La Verne,14,42.06
86,City of Lakewood,69,85.86
87,City of Lancaster,197,121.93
88,City of Lawndale,45,133.87
89,City of Lomita,30,144.72
90,City of Lynwood,132,183.21
91,City of Malibu,26,200.6
92,City of Manhattan Beach,63,175
93,City of Maywood,47,167.56
94,City of Monrovia,26,67.01
95,City of Montebello,96,149.13
96,City of Monterey Park,50,80.31
97,City of Norwalk,135,125.44
98,City of Palmdale,299,188.09
99,City of Palos Verdes Estates,36,266.23
100,City of Paramount,100,178.5
101,City of Pico Rivera,113,175.78
102,City of Pomona,110,70.54
103,City of Rancho Palos Verdes,50,116.97
104,City of Redondo Beach,94,136.83
105,City of Rolling Hills,--,--
106,City of Rolling Hills Estates,13,160.24
107,City of Rosemead,21,37.94
108,City of San Dimas,24,69.53
109,City of San Fernando,58,235.66
110,City of San Gabriel,25,61.04
111,City of San Marino,9,67.79
112,City of Santa Clarita,273,123.85
113,City of Santa Fe Springs,15,81.68
114,City of Santa Monica,139,150.36
115,City of Sierra Madre,5,45.5
116,City of Signal Hill,6,50.86
117,City of South El Monte,7,33.52
118,City of South Gate,188,191.53
119,City of South Pasadena,38,145.86
120,City of Temple City,31,85.04
121,City of Torrance,220,147.39
122,City of Vernon,0,0
123,City of Walnut,19,62.23
124,City of West Covina,81,74.84
125,City of West Hollywood,125,338.29
126,City of Westlake Village,6,71.77
127,City of Whittier,84,96.07
128,Los Angeles,7551,186.69
129,Los Angeles - Adams-Normandie,19,231.65
130,Los Angeles - Alsace,23,184.81
131,Los Angeles - Angeles National Forest,0,0
132,Los Angeles - Angelino Heights,6,239.81
133,Los Angeles - Arleta,66,192.03
134,Los Angeles - Atwater Village,19,129.55
135,Los Angeles - Baldwin Hills,46,147.79
136,Los Angeles - Bel Air,27,320.32
137,Los Angeles - Beverly Crest,31,247.5
138,Los Angeles - Beverlywood,30,227.74
139,Los Angeles - Boyle Heights,129,148.47
140,Los Angeles - Brentwood,62,200.29
141,Los Angeles - Brookside,0,0
142,Los Angeles - Cadillac-Corning,12,168.52
143,Los Angeles - Canoga Park,167,255.79
144,Los Angeles - Carthay,56,389.89
145,Los Angeles - Central,81,207.73
146,Los Angeles - Century City,30,234.52
147,Los Angeles - Century Palms/Cove,57,168.81
148,Los Angeles - Chatsworth,58,156.5
149,Los Angeles - Cheviot Hills,15,163.56
150,Los Angeles - Chinatown,--,--
151,Los Angeles - Cloverdale/Cochran,23,158.04
152,Los Angeles - Country Club Park,50,329.97
153,Los Angeles - Crenshaw District,43,310.94
154,Los Angeles - Crestview,57,501.41
155,Los Angeles - Del Rey,43,143.64
156,Los Angeles - Downtown,41,149.05
157,Los Angeles - Eagle Rock,68,171.76
158,Los Angeles - East Hollywood,91,310.72
159,Los Angeles - Echo Park,14,98.2
160,Los Angeles - El Sereno,70,167.43
161,Los Angeles - Elysian Park,7,122.55
162,Los Angeles - Elysian Valley,16,157.31
163,Los Angeles - Encino,73,161.6
164,Los Angeles - Exposition,--,--
165,Los Angeles - Exposition Park,86,191.46
166,Los Angeles - Faircrest Heights,--,--
167,Los Angeles - Figueroa Park Square,16,183.47
168,Los Angeles - Florence-Firestone,86,181.26
169,Los Angeles - Glassell Park,92,291.1
170,Los Angeles - Gramercy Place,20,185.8
171,Los Angeles - Granada Hills,88,151.23
172,Los Angeles - Green Meadows,36,167.4
173,Los Angeles - Hancock Park,60,352.13
174,Los Angeles - Harbor City,33,113.52
175,Los Angeles - Harbor Gateway,49,112.39
176,Los Angeles - Harbor Pines,0,0
177,Los Angeles - Harvard Heights,37,205.16
178,Los Angeles - Harvard Park,69,181.89
179,Los Angeles - Highland Park,59,121.92
