,Locations,Total Cases,Rate**
0,Laboratory Confirmed Cases (LCC),27815.0,
1,- Los Angeles County (excl. LB and Pas),26595.0,
2,- Long Beach,768.0,
3,- Pasadena,452.0,
4,,,
5,Deaths,1313.0,
6,- Los Angeles County (excl. LB and Pas),1216.0,
7,- Long Beach,37.0,
8,- Pasadena,60.0,
9,,,
10,,,
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,
12,0 to 17,789.0,
13,18 to 40,8968.0,
14,41 to 65,11060.0,
15,Over 65,5694.0,
16,Under Investigation,84.0,
17,Gender (Los Angeles County Cases Only-excl LB and Pas),,
18,Female,13186.0,
19,Male,13162.0,
20,Other,6.0,
21,Under Investigation,241.0,
22,,,
23,Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,
24,American Indian/Alaska Native,15.0,
25,Asian,1678.0,
26,Black,1151.0,
27,Hispanic/Latino,8065.0,
28,Native Hawaiian/Pacific Islander,196.0,
29,White,3307.0,
30,Other,1217.0,
31,Under Investigation,10966.0,
32,,,
33,Hospitalization LAC cases only (not Long Beach and Pasadena),,
34,Hospitalized (Ever),5081.0,
35,,,
36,,,
37,Deaths Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,
38,American Indian/Alaska Native,1.0,
39,Asian,224.0,
40,Black,148.0,
41,Hispanic/Latino,461.0,
42,Native Hawaiian/Pacific Islander,13.0,
43,White,339.0,
44,Other,15.0,
45,Under Investigation,15.0,
46,,,
47,CITY/COMMUNITY**,,
48,City of Agoura Hills,31.0,148.45
49,City of Alhambra,99.0,114.16
50,City of Arcadia,46.0,79.65
51,City of Artesia,15.0,89.31
52,City of Avalon,0.0,0.0
53,City of Azusa,83.0,165.87
54,City of Baldwin Park,116.0,151.1
55,City of Bell,137.0,377.08
56,City of Bell Gardens,117.0,271.64
57,City of Bellflower,155.0,199.4
58,City of Beverly Hills,114.0,330.24
59,City of Bradbury,1.0,93.55
60,City of Burbank,270.0,251.91
61,City of Calabasas,46.0,189.12
62,City of Carson,266.0,283.44
63,City of Cerritos,60.0,119.84
64,City of Claremont,27.0,74.01
65,City of Commerce,12.0,91.82
66,City of Compton,242.0,242.23
67,City of Covina,101.0,205.99
68,City of Cudahy,83.0,340.9
69,City of Culver City,85.0,213.22
70,City of Diamond Bar,37.0,64.33
71,City of Downey,244.0,213.54
72,City of Duarte,79.0,358.83
73,City of El Monte,197.0,167.99
74,City of El Segundo,29.0,172.76
75,City of Gardena,171.0,278.91
76,City of Glendale,651.0,315.26
77,City of Glendora,51.0,96.66
78,City of Hawaiian Gardens,11.0,74.95
79,City of Hawthorne,218.0,245.53
80,City of Hermosa Beach,24.0,122.01
81,City of Hidden Hills,0.0,0.0
82,City of Huntington Park,175.0,294.2
83,City of Industry,1.0,228.83
84,City of Inglewood,378.0,332.8
85,City of Irwindale,2.0,137.08
86,City of La Canada Flintridge,39.0,188.47
87,City of La Habra Heights,3.0,55.0
88,City of La Mirada,71.0,143.15
89,City of La Puente,47.0,115.49
90,City of La Verne,18.0,54.08
91,City of Lakewood,92.0,114.48
92,City of Lancaster,353.0,218.48
93,City of Lawndale,70.0,208.25
94,City of Lomita,38.0,183.32
95,City of Lynwood,225.0,312.3
96,City of Malibu,31.0,239.18
97,City of Manhattan Beach,68.0,188.89
98,City of Maywood,71.0,253.13
99,City of Monrovia,57.0,146.91
100,City of Montebello,164.0,254.76
101,City of Monterey Park,89.0,142.94
102,City of Norwalk,221.0,205.35
103,City of Palmdale,470.0,295.66
104,City of Palos Verdes Estates,38.0,281.02
105,City of Paramount,162.0,289.17
106,City of Pico Rivera,230.0,357.79
107,City of Pomona,212.0,135.96
108,City of Rancho Palos Verdes,67.0,156.74
109,City of Redondo Beach,113.0,164.49
110,City of Rolling Hills,2.0,103.09
111,City of Rolling Hills Estates,13.0,160.24
112,City of Rosemead,43.0,77.69
113,City of San Dimas,30.0,86.92
114,City of San Fernando,119.0,483.5
115,City of San Gabriel,37.0,90.35
116,City of San Marino,12.0,90.38
117,City of Santa Clarita,436.0,197.8
118,City of Santa Fe Springs,29.0,157.92
119,City of Santa Monica,190.0,205.53
120,City of Sierra Madre,5.0,45.5
121,City of Signal Hill,8.0,67.81
122,City of South El Monte,34.0,162.8
123,City of South Gate,283.0,288.32
124,City of South Pasadena,93.0,356.96
125,City of Temple City,57.0,156.36
126,City of Torrance,298.0,199.64
127,City of Vernon,1.0,478.47
128,City of Walnut,24.0,78.61
129,City of West Covina,147.0,135.82
130,City of West Hollywood,141.0,381.59
131,City of Westlake Village,6.0,71.77
132,City of Whittier,141.0,161.27
133,Los Angeles,13468.0,332.99
134,Los Angeles - Adams-Normandie,31.0,377.96
135,Los Angeles - Alsace,32.0,257.13
136,Los Angeles - Angeles National Forest,0.0,0.0
137,Los Angeles - Angelino Heights,9.0,359.71
138,Los Angeles - Arleta,142.0,413.15
