,location,cases,Rate**,date
34,City of Baldwin Park,31.0,40.38,2020-04-14 16:37:10.039529
35,City of Bell,56.0,154.13,2020-04-14 16:37:10.039529
36,City of Bell Gardens,35.0,81.26,2020-04-14 16:37:10.039529
37,City of Bellflower,52.0,66.89,2020-04-14 16:37:10.039529
38,City of Beverly Hills,76.0,220.16,2020-04-14 16:37:10.039529
39,City of Bradbury,,--,2020-04-14 16:37:10.039529
40,City of Burbank,108.0,100.77,2020-04-14 16:37:10.039529
41,City of Calabasas,26.0,106.89,2020-04-14 16:37:10.039529
42,City of Carson,129.0,137.46,2020-04-14 16:37:10.039529
43,City of Cerritos,33.0,65.91,2020-04-14 16:37:10.039529
44,City of Claremont,13.0,35.63,2020-04-14 16:37:10.039529
45,City of Commerce,,--,2020-04-14 16:37:10.039529
46,City of Compton,70.0,70.07,2020-04-14 16:37:10.039529
47,City of Covina,51.0,104.01,2020-04-14 16:37:10.039529
48,City of Cudahy,23.0,94.47,2020-04-14 16:37:10.039529
49,City of Culver City,34.0,85.29,2020-04-14 16:37:10.039529
50,City of Diamond Bar,22.0,38.25,2020-04-14 16:37:10.039529
51,City of Downey,106.0,92.77,2020-04-14 16:37:10.039529
52,City of Duarte,15.0,68.13,2020-04-14 16:37:10.039529
53,City of El Monte,30.0,25.58,2020-04-14 16:37:10.039529
54,City of El Segundo,11.0,65.53,2020-04-14 16:37:10.039529
55,City of Gardena,80.0,130.48,2020-04-14 16:37:10.039529
56,City of Glendale,269.0,130.27,2020-04-14 16:37:10.039529
57,City of Glendora,23.0,43.59,2020-04-14 16:37:10.039529
58,City of Hawaiian Gardens,,--,2020-04-14 16:37:10.039529
59,City of Hawthorne,79.0,88.98,2020-04-14 16:37:10.039529
60,City of Hermosa Beach,17.0,86.43,2020-04-14 16:37:10.039529
61,City of Hidden Hills,0.0,0,2020-04-14 16:37:10.039529
62,City of Huntington Park,44.0,73.97,2020-04-14 16:37:10.039529
63,City of Industry,,--,2020-04-14 16:37:10.039529
64,City of Inglewood,127.0,111.81,2020-04-14 16:37:10.039529
65,City of Irwindale,0.0,0,2020-04-14 16:37:10.039529
66,City of La Canada Flintridge,22.0,106.32,2020-04-14 16:37:10.039529
67,City of La Habra Heights,,--,2020-04-14 16:37:10.039529
68,City of La Mirada,24.0,48.39,2020-04-14 16:37:10.039529
69,City of La Puente,20.0,49.14,2020-04-14 16:37:10.039529
70,City of La Verne,9.0,27.04,2020-04-14 16:37:10.039529
71,City of Lakewood,42.0,52.26,2020-04-14 16:37:10.039529
72,City of Lancaster,91.0,56.32,2020-04-14 16:37:10.039529
73,City of Lawndale,30.0,89.25,2020-04-14 16:37:10.039529
74,City of Lomita,23.0,110.96,2020-04-14 16:37:10.039529
75,City of Lynwood,79.0,109.65,2020-04-14 16:37:10.039529
76,City of Malibu,18.0,138.88,2020-04-14 16:37:10.039529
77,City of Manhattan Beach,55.0,152.78,2020-04-14 16:37:10.039529
78,City of Maywood,27.0,96.26,2020-04-14 16:37:10.039529
79,City of Monrovia,14.0,36.08,2020-04-14 16:37:10.039529
80,City of Montebello,60.0,93.2,2020-04-14 16:37:10.039529
81,City of Monterey Park,34.0,54.61,2020-04-14 16:37:10.039529
82,City of Norwalk,83.0,77.12,2020-04-14 16:37:10.039529
83,City of Palmdale,109.0,68.57,2020-04-14 16:37:10.039529
84,City of Palos Verdes Estates,36.0,266.23,2020-04-14 16:37:10.039529
85,City of Paramount,42.0,74.97,2020-04-14 16:37:10.039529
86,City of Pico Rivera,64.0,99.56,2020-04-14 16:37:10.039529
87,City of Pomona,56.0,35.91,2020-04-14 16:37:10.039529
88,City of Rancho Palos Verdes,44.0,102.93,2020-04-14 16:37:10.039529
89,City of Redondo Beach,84.0,122.28,2020-04-14 16:37:10.039529
