,Locations,Total Cases,Rate**
0,Laboratory Confirmed Cases (LCC),9192,
1,- Los Angeles County (excl. LB and Pas),8743,
2,- Long Beach,332,
3,- Pasadena,117,
4,,,
5,Deaths,296,
6,- Los Angeles County (excl. LB and Pas),281,
7,- Long Beach,8,
8,- Pasadena,7,
9,,,
10,Age Group (Los Angeles County Cases Only-excl LB and Pas),,
11,0 to 17,95,
12,18 to 40,2802,
13,41 to 65,3867,
14,Over 65,1944,
15,Under Investigation,35,
16,Gender (Los Angeles County Cases Only-excl LB and Pas),,
17,Male,4402,
18,Female,4198,
19,Under Investigation,143,
20,,,
21,,,
22,Hospitalization LAC cases only (not Long Beach and Pasadena),,
23,Hospitalized (Ever),2246,
24,,,
25,,,
26,CITY/COMMUNITY**,,
27,City of Agoura Hills,20,95.77
28,City of Alhambra,33,38.05
29,City of Arcadia,22,38.09
30,City of Artesia,5,29.77
31,City of Avalon,0,0
32,City of Azusa,20,39.97
33,City of Baldwin Park,25,32.57
34,City of Bell,37,101.84
35,City of Bell Gardens,28,65.01
36,City of Bellflower,50,64.32
37,City of Beverly Hills,74,214.37
38,City of Bradbury,0,0
39,City of Burbank,102,95.17
40,City of Calabasas,23,94.56
41,City of Carson,118,125.74
42,City of Cerritos,32,63.91
43,City of Claremont,12,32.89
44,City of Commerce,--,--
45,City of Compton,64,64.06
46,City of Covina,43,87.7
47,City of Cudahy,21,86.25
48,City of Culver City,31,77.76
49,City of Diamond Bar,20,34.77
50,City of Downey,101,88.39
51,City of Duarte,10,45.42
52,City of El Monte,28,23.88
53,City of El Segundo,11,65.53
54,City of Gardena,74,120.7
55,City of Glendale,248,120.1
56,City of Glendora,21,39.8
57,City of Hawaiian Gardens,--,--
58,City of Hawthorne,70,78.84
59,City of Hermosa Beach,17,86.43
60,City of Hidden Hills,0,0
61,City of Huntington Park,42,70.61
62,City of Industry,--,--
63,City of Inglewood,116,102.13
64,City of Irwindale,0,0
65,City of La Canada Flintridge,20,96.65
66,City of La Habra Heights,--,--
67,City of La Mirada,21,42.34
68,City of La Puente,20,49.14
69,City of La Verne,8,24.04
70,City of Lakewood,41,51.02
71,City of Lancaster,87,53.85
72,City of Lawndale,25,74.37
73,City of Lomita,21,101.31
74,City of Lynwood,68,94.38
75,City of Malibu,16,123.45
76,City of Manhattan Beach,54,150
77,City of Maywood,26,92.69
78,City of Monrovia,13,33.51
79,City of Montebello,53,82.33
80,City of Monterey Park,31,49.79
81,City of Norwalk,76,70.62
82,City of Palmdale,99,62.28
83,City of Palos Verdes Estates,35,258.84
84,City of Paramount,38,67.83
85,City of Pico Rivera,57,88.67
86,City of Pomona,48,30.78
87,City of Rancho Palos Verdes,39,91.23
88,City of Redondo Beach,84,122.28
89,City of Rolling Hills,--,--
90,City of Rolling Hills Estates,11,135.58
91,City of Rosemead,15,27.1
92,City of San Dimas,18,52.15
93,City of San Fernando,22,89.39
94,City of San Gabriel,13,31.74
95,City of San Marino,6,45.19
96,City of Santa Clarita,143,64.87
97,City of Santa Fe Springs,6,32.67
98,City of Santa Monica,92,99.52
99,City of Sierra Madre,--,--
100,City of Signal Hill,--,--
101,City of South El Monte,--,--
102,City of South Gate,96,97.8
103,City of South Pasadena,15,57.57
104,City of Temple City,12,32.92
105,City of Torrance,143,95.8
106,City of Vernon,0,0
107,City of Walnut,13,42.58
108,City of West Covina,39,36.03
109,City of West Hollywood,102,276.04
110,City of Westlake Village,6,71.77
