,location,cases,Rate**,date
35,City of Bell,14.0,38.26,2020-04-03 14:40:57.295335
36,City of Bell Gardens,8.0,18.68,2020-04-03 14:40:57.295335
37,City of Bellflower,26.0,34.18,2020-04-03 14:40:57.295335
38,City of Beverly Hills,53.0,152.95,2020-04-03 14:40:57.295335
39,City of Bradbury,0.0,0,2020-04-03 14:40:57.295335
40,City of Burbank,50.0,47.76,2020-04-03 14:40:57.295335
41,City of Calabasas,16.0,66.16,2020-04-03 14:40:57.295335
42,City of Carson,63.0,67.21,2020-04-03 14:40:57.295335
43,City of Cerritos,11.0,22.34,2020-04-03 14:40:57.295335
44,City of Claremont,4.0,11.07,2020-04-03 14:40:57.295335
45,City of Commerce,0.0,0,2020-04-03 14:40:57.295335
46,City of Compton,26.0,25.75,2020-04-03 14:40:57.295335
47,City of Covina,11.0,22.39,2020-04-03 14:40:57.295335
48,City of Cudahy,10.0,40.77,2020-04-03 14:40:57.295335
49,City of Culver City,20.0,49.57,2020-04-03 14:40:57.295335
50,City of Diamond Bar,8.0,14,2020-04-03 14:40:57.295335
51,City of Downey,47.0,41.3,2020-04-03 14:40:57.295335
52,City of Duarte,,--,2020-04-03 14:40:57.295335
53,City of El Monte,10.0,8.79,2020-04-03 14:40:57.295335
54,City of El Segundo,5.0,30.15,2020-04-03 14:40:57.295335
55,City of Gardena,20.0,32.96,2020-04-03 14:40:57.295335
56,City of Glendale,103.0,51.09,2020-04-03 14:40:57.295335
57,City of Glendora,10.0,19.14,2020-04-03 14:40:57.295335
58,City of Hawaiian Gardens,,--,2020-04-03 14:40:57.295335
59,City of Hawthorne,30.0,34.18,2020-04-03 14:40:57.295335
60,City of Hermosa Beach,17.0,86.25,2020-04-03 14:40:57.295335
61,City of Hidden Hills,0.0,0,2020-04-03 14:40:57.295335
62,City of Huntington Park,16.0,26.89,2020-04-03 14:40:57.295335
63,City of Industry,0.0,0,2020-04-03 14:40:57.295335
64,City of Inglewood,55.0,47.27,2020-04-03 14:40:57.295335
65,City of Irwindale,0.0,0,2020-04-03 14:40:57.295335
66,City of La Canada Flintridge,9.0,43.92,2020-04-03 14:40:57.295335
67,City of La Habra Heights,0.0,0,2020-04-03 14:40:57.295335
68,City of La Mirada,11.0,22.24,2020-04-03 14:40:57.295335
69,City of La Puente,8.0,19.81,2020-04-03 14:40:57.295335
70,City of La Verne,2.0,6.04,2020-04-03 14:40:57.295335
71,City of Lakewood,24.0,30.69,2020-04-03 14:40:57.295335
72,City of Lancaster,38.0,24.26,2020-04-03 14:40:57.295335
73,City of Lawndale,10.0,29.96,2020-04-03 14:40:57.295335
74,City of Lomita,6.0,29.69,2020-04-03 14:40:57.295335
75,City of Lynwood,23.0,31.86,2020-04-03 14:40:57.295335
