,Locations,Total Cases,Rate**
0,Laboratory Confirmed Cases (LCC),20417.0,
1,- Los Angeles County (excl. LB and Pas),19516.0,
2,- Long Beach,576.0,
3,- Pasadena,325.0,
4,,,
5,Deaths,942.0,
6,- Los Angeles County (excl. LB and Pas),883.0,
7,- Long Beach,29.0,
8,- Pasadena,30.0,
9,,,
10,,,
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,
12,0 to 17,442.0,
13,18 to 40,6385.0,
14,41 to 65,8380.0,
15,Over 65,4255.0,
16,Under Investigation,54.0,
17,Gender (Los Angeles County Cases Only-excl LB and Pas),,
18,Female,9721.0,
19,Male,9621.0,
20,Other,5.0,
21,Under Investigation,169.0,
22,,,
23,Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,
24,Asian,1231.0,
25,Black,882.0,
26,Hispanic/Latino,4960.0,
27,White,2528.0,
28,Other,923.0,
29,Under Investigation,8817.0,
30,,,
31,Hospitalization LAC cases only (not Long Beach and Pasadena),,
32,Hospitalized (Ever),4403.0,
33,,,
34,,,
35,Deaths Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,
36,Asian,159.0,
37,Black,119.0,
38,Hispanic/Latino,321.0,
39,White,244.0,
40,Other,10.0,
41,Under Investigation,18.0,
42,,,
43,CITY/COMMUNITY**,,
44,City of Agoura Hills,30.0,143.66
45,City of Alhambra,75.0,86.48
46,City of Arcadia,36.0,62.33
47,City of Artesia,13.0,77.4
48,City of Avalon,0.0,0.0
49,City of Azusa,55.0,109.91
50,City of Baldwin Park,73.0,95.09
51,City of Bell,117.0,322.03
52,City of Bell Gardens,84.0,195.03
53,City of Bellflower,111.0,142.79
54,City of Beverly Hills,105.0,304.17
55,City of Bradbury,1.0,93.55
56,City of Burbank,222.0,207.13
57,City of Calabasas,34.0,139.79
58,City of Carson,220.0,234.43
59,City of Cerritos,48.0,95.87
60,City of Claremont,22.0,60.3
61,City of Commerce,10.0,76.52
62,City of Compton,183.0,183.18
63,City of Covina,86.0,175.4
64,City of Cudahy,60.0,246.44
65,City of Culver City,58.0,145.49
66,City of Diamond Bar,34.0,59.12
67,City of Downey,193.0,168.91
68,City of Duarte,48.0,218.02
69,City of El Monte,129.0,110.0
70,City of El Segundo,27.0,160.85
71,City of Gardena,140.0,228.35
72,City of Glendale,488.0,236.33
73,City of Glendora,39.0,73.91
74,City of Hawaiian Gardens,9.0,61.32
75,City of Hawthorne,160.0,180.21
76,City of Hermosa Beach,23.0,116.93
77,City of Hidden Hills,0.0,0.0
78,City of Huntington Park,130.0,218.55
79,City of Industry,1.0,228.83
