,location,cases,Rate**,date
52,City of Bell Gardens,82.0,190.38,2020-04-26 16:00:51.500945
53,City of Bellflower,106.0,136.36,2020-04-26 16:00:51.500945
54,City of Beverly Hills,104.0,301.27,2020-04-26 16:00:51.500945
55,City of Bradbury,1.0,93.55,2020-04-26 16:00:51.500945
56,City of Burbank,219.0,204.33,2020-04-26 16:00:51.500945
57,City of Calabasas,34.0,139.79,2020-04-26 16:00:51.500945
58,City of Carson,211.0,224.84,2020-04-26 16:00:51.500945
59,City of Cerritos,48.0,95.87,2020-04-26 16:00:51.500945
60,City of Claremont,22.0,60.3,2020-04-26 16:00:51.500945
61,City of Commerce,10.0,76.52,2020-04-26 16:00:51.500945
62,City of Compton,175.0,175.17,2020-04-26 16:00:51.500945
63,City of Covina,84.0,171.32,2020-04-26 16:00:51.500945
64,City of Cudahy,60.0,246.44,2020-04-26 16:00:51.500945
65,City of Culver City,58.0,145.49,2020-04-26 16:00:51.500945
66,City of Diamond Bar,33.0,57.38,2020-04-26 16:00:51.500945
67,City of Downey,187.0,163.66,2020-04-26 16:00:51.500945
68,City of Duarte,47.0,213.48,2020-04-26 16:00:51.500945
69,City of El Monte,122.0,104.03,2020-04-26 16:00:51.500945
70,City of El Segundo,27.0,160.85,2020-04-26 16:00:51.500945
71,City of Gardena,135.0,220.19,2020-04-26 16:00:51.500945
72,City of Glendale,481.0,232.94,2020-04-26 16:00:51.500945
73,City of Glendora,39.0,73.91,2020-04-26 16:00:51.500945
74,City of Hawaiian Gardens,9.0,61.32,2020-04-26 16:00:51.500945
75,City of Hawthorne,155.0,174.58,2020-04-26 16:00:51.500945
76,City of Hermosa Beach,23.0,116.93,2020-04-26 16:00:51.500945
77,City of Hidden Hills,0.0,0.0,2020-04-26 16:00:51.500945
78,City of Huntington Park,122.0,205.1,2020-04-26 16:00:51.500945
79,City of Industry,1.0,228.83,2020-04-26 16:00:51.500945
80,City of Inglewood,270.0,237.71,2020-04-26 16:00:51.500945
81,City of Irwindale,2.0,137.08,2020-04-26 16:00:51.500945
82,City of La Canada Flintridge,38.0,183.64,2020-04-26 16:00:51.500945
83,City of La Habra Heights,2.0,36.66,2020-04-26 16:00:51.500945
84,City of La Mirada,49.0,98.79,2020-04-26 16:00:51.500945
85,City of La Puente,34.0,83.54,2020-04-26 16:00:51.500945
86,City of La Verne,16.0,48.07,2020-04-26 16:00:51.500945
87,City of Lakewood,74.0,92.08,2020-04-26 16:00:51.500945
88,City of Lancaster,255.0,157.83,2020-04-26 16:00:51.500945
89,City of Lawndale,50.0,148.75,2020-04-26 16:00:51.500945
90,City of Lomita,32.0,154.37,2020-04-26 16:00:51.500945
91,City of Lynwood,157.0,217.91,2020-04-26 16:00:51.500945
92,City of Malibu,28.0,216.03,2020-04-26 16:00:51.500945
93,City of Manhattan Beach,64.0,177.78,2020-04-26 16:00:51.500945
94,City of Maywood,53.0,188.96,2020-04-26 16:00:51.500945
95,City of Monrovia,36.0,92.78,2020-04-26 16:00:51.500945
96,City of Montebello,110.0,170.87,2020-04-26 16:00:51.500945
97,City of Monterey Park,64.0,102.79,2020-04-26 16:00:51.500945
98,City of Norwalk,165.0,153.31,2020-04-26 16:00:51.500945
99,City of Palmdale,352.0,221.43,2020-04-26 16:00:51.500945
100,City of Palos Verdes Estates,37.0,273.63,2020-04-26 16:00:51.500945
101,City of Paramount,113.0,201.7,2020-04-26 16:00:51.500945
102,City of Pico Rivera,140.0,217.78,2020-04-26 16:00:51.500945
103,City of Pomona,132.0,84.65,2020-04-26 16:00:51.500945
104,City of Rancho Palos Verdes,51.0,119.31,2020-04-26 16:00:51.500945
105,City of Redondo Beach,99.0,144.11,2020-04-26 16:00:51.500945
106,City of Rolling Hills,1.0,51.55,2020-04-26 16:00:51.500945
107,City of Rolling Hills Estates,13.0,160.24,2020-04-26 16:00:51.500945
108,City of Rosemead,28.0,50.59,2020-04-26 16:00:51.500945
109,City of San Dimas,25.0,72.43,2020-04-26 16:00:51.500945
110,City of San Fernando,68.0,276.29,2020-04-26 16:00:51.500945
111,City of San Gabriel,28.0,68.37,2020-04-26 16:00:51.500945
112,City of San Marino,11.0,82.85,2020-04-26 16:00:51.500945
113,City of Santa Clarita,306.0,138.82,2020-04-26 16:00:51.500945
114,City of Santa Fe Springs,17.0,92.57,2020-04-26 16:00:51.500945
115,City of Santa Monica,150.0,162.26,2020-04-26 16:00:51.500945
116,City of Sierra Madre,5.0,45.5,2020-04-26 16:00:51.500945
117,City of Signal Hill,7.0,59.34,2020-04-26 16:00:51.500945
118,City of South El Monte,14.0,67.03,2020-04-26 16:00:51.500945
119,City of South Gate,213.0,217.0,2020-04-26 16:00:51.500945
120,City of South Pasadena,60.0,230.3,2020-04-26 16:00:51.500945
121,City of Temple City,46.0,126.18,2020-04-26 16:00:51.500945
122,City of Torrance,236.0,158.1,2020-04-26 16:00:51.500945
123,City of Vernon,0.0,0.0,2020-04-26 16:00:51.500945
124,City of Walnut,22.0,72.06,2020-04-26 16:00:51.500945
125,City of West Covina,104.0,96.09,2020-04-26 16:00:51.500945
126,City of West Hollywood,131.0,354.52,2020-04-26 16:00:51.500945
127,City of Westlake Village,6.0,71.77,2020-04-26 16:00:51.500945
128,City of Whittier,99.0,113.23,2020-04-26 16:00:51.500945
129,Los Angeles,8896.0,219.95,2020-04-26 16:00:51.500945
130,Los Angeles - Adams-Normandie,24.0,292.61,2020-04-26 16:00:51.500945
131,Los Angeles - Alsace,25.0,200.88,2020-04-26 16:00:51.500945
132,Los Angeles - Angeles National Forest,0.0,0.0,2020-04-26 16:00:51.500945
