,location,cases,Unnamed: 2,date
23,City of Artesia,,--,2020-04-02 16:39:05.319933
24,City of Avalon,0.0,0,2020-04-02 16:39:05.319933
25,City of Azusa,8.0,16.17,2020-04-02 16:39:05.319933
26,City of Baldwin Park,5.0,6.72,2020-04-02 16:39:05.319933
27,City of Bell,14.0,38.26,2020-04-02 16:39:05.319933
28,City of Bell Gardens,5.0,11.68,2020-04-02 16:39:05.319933
29,City of Bellflower,24.0,31.55,2020-04-02 16:39:05.319933
30,City of Beverly Hills,45.0,129.86,2020-04-02 16:39:05.319933
31,City of Bradbury,0.0,0,2020-04-02 16:39:05.319933
32,City of Burbank,41.0,39.16,2020-04-02 16:39:05.319933
33,City of Calabasas,13.0,53.76,2020-04-02 16:39:05.319933
34,City of Carson,55.0,58.67,2020-04-02 16:39:05.319933
35,City of Cerritos,10.0,20.3,2020-04-02 16:39:05.319933
36,City of Claremont,3.0,8.31,2020-04-02 16:39:05.319933
37,City of Commerce,0.0,0,2020-04-02 16:39:05.319933
38,City of Compton,24.0,23.77,2020-04-02 16:39:05.319933
39,City of Covina,11.0,22.39,2020-04-02 16:39:05.319933
40,City of Cudahy,9.0,36.7,2020-04-02 16:39:05.319933
41,City of Culver City,19.0,47.09,2020-04-02 16:39:05.319933
42,City of Diamond Bar,7.0,12.25,2020-04-02 16:39:05.319933
43,City of Downey,43.0,37.78,2020-04-02 16:39:05.319933
44,City of Duarte,,--,2020-04-02 16:39:05.319933
45,City of El Monte,7.0,6.16,2020-04-02 16:39:05.319933
46,City of El Segundo,,--,2020-04-02 16:39:05.319933
47,City of Gardena,17.0,28.02,2020-04-02 16:39:05.319933
48,City of Glendale,93.0,46.13,2020-04-02 16:39:05.319933
49,City of Glendora,7.0,13.4,2020-04-02 16:39:05.319933
50,City of Hawaiian Gardens,,--,2020-04-02 16:39:05.319933
51,City of Hawthorne,26.0,29.62,2020-04-02 16:39:05.319933
52,City of Hermosa Beach,15.0,76.1,2020-04-02 16:39:05.319933
53,City of Hidden Hills,0.0,0,2020-04-02 16:39:05.319933
54,City of Huntington Park,15.0,25.21,2020-04-02 16:39:05.319933
55,City of Industry,0.0,0,2020-04-02 16:39:05.319933
