,Locations,Total Cases,Rate**
0,Laboratory Confirmed Cases (LCC),10854,
1,- Los Angeles County (excl. LB and Pas),10291,
2,- Long Beach,379,
3,- Pasadena,184,
4,,,
5,Deaths,455,
6,- Los Angeles County (excl. LB and Pas),423,
7,- Long Beach,18,
8,- Pasadena,14,
9,,,
10,,,
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,
12,0 to 17,111,
13,18 to 40,3153,
14,41 to 65,4564,
15,Over 65,2430,
16,Under Investigation,33,
17,Gender (Los Angeles County Cases Only-excl LB and Pas),,
18,Female,4967,
19,Male,5179,
20,Other,3,
21,Under Investigation,142,
22,,,
23,Hospitalization LAC cases only (not Long Beach and Pasadena),,
24,Hospitalized (Ever),2847,
25,,,
26,,,
27,CITY/COMMUNITY**,,
28,City of Agoura Hills,22,105.35
29,City of Alhambra,38,43.82
30,City of Arcadia,26,45.02
31,City of Artesia,7,41.68
32,City of Avalon,0,0
33,City of Azusa,22,43.96
34,City of Baldwin Park,35,45.59
35,City of Bell,71,195.42
36,City of Bell Gardens,41,95.19
37,City of Bellflower,57,73.33
38,City of Beverly Hills,78,225.96
39,City of Bradbury,--,--
40,City of Burbank,117,109.16
41,City of Calabasas,26,106.89
42,City of Carson,135,143.85
43,City of Cerritos,34,67.91
44,City of Claremont,13,35.63
45,City of Commerce,5,38.26
46,City of Compton,79,79.08
47,City of Covina,55,112.17
48,City of Cudahy,25,102.68
49,City of Culver City,36,90.3
50,City of Diamond Bar,21,36.51
51,City of Downey,114,99.77
52,City of Duarte,17,77.22
53,City of El Monte,38,32.4
54,City of El Segundo,12,71.49
55,City of Gardena,86,140.27
56,City of Glendale,288,139.47
57,City of Glendora,27,51.17
58,City of Hawaiian Gardens,--,--
59,City of Hawthorne,90,101.37
60,City of Hermosa Beach,17,86.43
61,City of Hidden Hills,0,0
62,City of Huntington Park,46,77.33
63,City of Industry,--,--
64,City of Inglewood,137,120.62
65,City of Irwindale,0,0
66,City of La Canada Flintridge,24,115.98
67,City of La Habra Heights,--,--
68,City of La Mirada,25,50.4
69,City of La Puente,21,51.6
70,City of La Verne,9,27.04
71,City of Lakewood,46,57.24
72,City of Lancaster,96,59.42
73,City of Lawndale,32,95.2
74,City of Lomita,24,115.78
75,City of Lynwood,89,123.53
76,City of Malibu,17,131.16
77,City of Manhattan Beach,57,158.34
78,City of Maywood,32,114.09
79,City of Monrovia,14,36.08
80,City of Montebello,66,102.52
81,City of Monterey Park,35,56.21
82,City of Norwalk,90,83.63
83,City of Palmdale,123,77.37
84,City of Palos Verdes Estates,36,266.23
85,City of Paramount,49,87.46
86,City of Pico Rivera,73,113.56
87,City of Pomona,63,40.4
88,City of Rancho Palos Verdes,46,107.61
89,City of Redondo Beach,84,122.28
90,City of Rolling Hills,--,--
91,City of Rolling Hills Estates,11,135.58
92,City of Rosemead,16,28.91
93,City of San Dimas,18,52.15
94,City of San Fernando,27,109.7
95,City of San Gabriel,15,36.63
96,City of San Marino,8,60.25
97,City of Santa Clarita,178,80.75
98,City of Santa Fe Springs,9,49.01
99,City of Santa Monica,100,108.17
100,City of Sierra Madre,--,--
101,City of Signal Hill,5,42.38
102,City of South El Monte,--,--
103,City of South Gate,116,118.18
104,City of South Pasadena,20,76.77
105,City of Temple City,20,54.86
106,City of Torrance,163,109.2
107,City of Vernon,0,0
108,City of Walnut,14,45.85
109,City of West Covina,50,46.2
110,City of West Hollywood,107,289.57
111,City of Westlake Village,6,71.77
112,City of Whittier,59,67.48
113,Los Angeles,4852,119.96
114,Los Angeles - Adams-Normandie,16,195.07
115,Los Angeles - Alsace,7,56.25
116,Los Angeles - Angelino Heights,--,--
117,Los Angeles - Arleta,35,101.83
118,Los Angeles - Atwater Village,9,61.37
119,Los Angeles - Baldwin Hills,36,115.66
120,Los Angeles - Bel Air,21,249.14
