,location,cases,Rate**,date
35,City of Bell,41.0,112.85,2020-04-13 18:05:15.217902
36,City of Bell Gardens,33.0,76.62,2020-04-13 18:05:15.217902
37,City of Bellflower,50.0,64.32,2020-04-13 18:05:15.217902
38,City of Beverly Hills,74.0,214.37,2020-04-13 18:05:15.217902
39,City of Bradbury,0.0,0,2020-04-13 18:05:15.217902
40,City of Burbank,103.0,96.1,2020-04-13 18:05:15.217902
41,City of Calabasas,25.0,102.78,2020-04-13 18:05:15.217902
42,City of Carson,121.0,128.93,2020-04-13 18:05:15.217902
43,City of Cerritos,33.0,65.91,2020-04-13 18:05:15.217902
44,City of Claremont,12.0,32.89,2020-04-13 18:05:15.217902
45,City of Commerce,,--,2020-04-13 18:05:15.217902
46,City of Compton,65.0,65.06,2020-04-13 18:05:15.217902
47,City of Covina,46.0,93.82,2020-04-13 18:05:15.217902
48,City of Cudahy,21.0,86.25,2020-04-13 18:05:15.217902
49,City of Culver City,32.0,80.27,2020-04-13 18:05:15.217902
50,City of Diamond Bar,20.0,34.77,2020-04-13 18:05:15.217902
51,City of Downey,102.0,89.27,2020-04-13 18:05:15.217902
52,City of Duarte,13.0,59.05,2020-04-13 18:05:15.217902
53,City of El Monte,28.0,23.88,2020-04-13 18:05:15.217902
54,City of El Segundo,11.0,65.53,2020-04-13 18:05:15.217902
55,City of Gardena,74.0,120.7,2020-04-13 18:05:15.217902
56,City of Glendale,255.0,123.49,2020-04-13 18:05:15.217902
57,City of Glendora,21.0,39.8,2020-04-13 18:05:15.217902
58,City of Hawaiian Gardens,,--,2020-04-13 18:05:15.217902
59,City of Hawthorne,74.0,83.35,2020-04-13 18:05:15.217902
60,City of Hermosa Beach,17.0,86.43,2020-04-13 18:05:15.217902
61,City of Hidden Hills,0.0,0,2020-04-13 18:05:15.217902
62,City of Huntington Park,43.0,72.29,2020-04-13 18:05:15.217902
63,City of Industry,,--,2020-04-13 18:05:15.217902
64,City of Inglewood,121.0,106.53,2020-04-13 18:05:15.217902
65,City of Irwindale,0.0,0,2020-04-13 18:05:15.217902
66,City of La Canada Flintridge,22.0,106.32,2020-04-13 18:05:15.217902
67,City of La Habra Heights,,--,2020-04-13 18:05:15.217902
68,City of La Mirada,22.0,44.36,2020-04-13 18:05:15.217902
69,City of La Puente,19.0,46.69,2020-04-13 18:05:15.217902
70,City of La Verne,9.0,27.04,2020-04-13 18:05:15.217902
71,City of Lakewood,42.0,52.26,2020-04-13 18:05:15.217902
72,City of Lancaster,87.0,53.85,2020-04-13 18:05:15.217902
73,City of Lawndale,27.0,80.32,2020-04-13 18:05:15.217902
74,City of Lomita,22.0,106.13,2020-04-13 18:05:15.217902
75,City of Lynwood,73.0,101.32,2020-04-13 18:05:15.217902
76,City of Malibu,16.0,123.45,2020-04-13 18:05:15.217902
77,City of Manhattan Beach,54.0,150,2020-04-13 18:05:15.217902
78,City of Maywood,26.0,92.69,2020-04-13 18:05:15.217902
79,City of Monrovia,14.0,36.08,2020-04-13 18:05:15.217902
80,City of Montebello,53.0,82.33,2020-04-13 18:05:15.217902
81,City of Monterey Park,33.0,53,2020-04-13 18:05:15.217902
82,City of Norwalk,79.0,73.41,2020-04-13 18:05:15.217902
83,City of Palmdale,102.0,64.16,2020-04-13 18:05:15.217902
84,City of Palos Verdes Estates,36.0,266.23,2020-04-13 18:05:15.217902
85,City of Paramount,39.0,69.61,2020-04-13 18:05:15.217902
86,City of Pico Rivera,60.0,93.34,2020-04-13 18:05:15.217902
87,City of Pomona,49.0,31.42,2020-04-13 18:05:15.217902
88,City of Rancho Palos Verdes,42.0,98.25,2020-04-13 18:05:15.217902
89,City of Redondo Beach,85.0,123.73,2020-04-13 18:05:15.217902
90,City of Rolling Hills,,--,2020-04-13 18:05:15.217902
91,City of Rolling Hills Estates,11.0,135.58,2020-04-13 18:05:15.217902
