,location,cases,Rate**,date
34,City of Baldwin Park,37.0,48.2,2020-04-17 16:31:26.781496
35,City of Bell,75.0,206.43,2020-04-17 16:31:26.781496
36,City of Bell Gardens,46.0,106.8,2020-04-17 16:31:26.781496
37,City of Bellflower,61.0,78.47,2020-04-17 16:31:26.781496
38,City of Beverly Hills,78.0,225.96,2020-04-17 16:31:26.781496
39,City of Bradbury,,--,2020-04-17 16:31:26.781496
40,City of Burbank,121.0,112.89,2020-04-17 16:31:26.781496
41,City of Calabasas,26.0,106.89,2020-04-17 16:31:26.781496
42,City of Carson,143.0,152.38,2020-04-17 16:31:26.781496
43,City of Cerritos,35.0,69.91,2020-04-17 16:31:26.781496
44,City of Claremont,14.0,38.37,2020-04-17 16:31:26.781496
45,City of Commerce,5.0,38.26,2020-04-17 16:31:26.781496
46,City of Compton,83.0,83.08,2020-04-17 16:31:26.781496
47,City of Covina,57.0,116.25,2020-04-17 16:31:26.781496
48,City of Cudahy,26.0,106.79,2020-04-17 16:31:26.781496
49,City of Culver City,36.0,90.3,2020-04-17 16:31:26.781496
50,City of Diamond Bar,22.0,38.25,2020-04-17 16:31:26.781496
51,City of Downey,118.0,103.27,2020-04-17 16:31:26.781496
52,City of Duarte,20.0,90.84,2020-04-17 16:31:26.781496
53,City of El Monte,47.0,40.08,2020-04-17 16:31:26.781496
54,City of El Segundo,12.0,71.49,2020-04-17 16:31:26.781496
55,City of Gardena,93.0,151.69,2020-04-17 16:31:26.781496
56,City of Glendale,310.0,150.13,2020-04-17 16:31:26.781496
57,City of Glendora,29.0,54.96,2020-04-17 16:31:26.781496
58,City of Hawaiian Gardens,,--,2020-04-17 16:31:26.781496
59,City of Hawthorne,89.0,100.24,2020-04-17 16:31:26.781496
60,City of Hermosa Beach,18.0,91.51,2020-04-17 16:31:26.781496
61,City of Hidden Hills,0.0,0,2020-04-17 16:31:26.781496
62,City of Huntington Park,52.0,87.42,2020-04-17 16:31:26.781496
63,City of Industry,,--,2020-04-17 16:31:26.781496
64,City of Inglewood,145.0,127.66,2020-04-17 16:31:26.781496
65,City of Irwindale,0.0,0,2020-04-17 16:31:26.781496
66,City of La Canada Flintridge,26.0,125.65,2020-04-17 16:31:26.781496
67,City of La Habra Heights,,--,2020-04-17 16:31:26.781496
68,City of La Mirada,26.0,52.42,2020-04-17 16:31:26.781496
69,City of La Puente,21.0,51.6,2020-04-17 16:31:26.781496
70,City of La Verne,11.0,33.05,2020-04-17 16:31:26.781496
71,City of Lakewood,46.0,57.24,2020-04-17 16:31:26.781496
72,City of Lancaster,102.0,63.13,2020-04-17 16:31:26.781496
73,City of Lawndale,33.0,98.17,2020-04-17 16:31:26.781496
74,City of Lomita,24.0,115.78,2020-04-17 16:31:26.781496
75,City of Lynwood,95.0,131.86,2020-04-17 16:31:26.781496
76,City of Malibu,20.0,154.31,2020-04-17 16:31:26.781496
77,City of Manhattan Beach,57.0,158.34,2020-04-17 16:31:26.781496
78,City of Maywood,35.0,124.78,2020-04-17 16:31:26.781496
79,City of Monrovia,15.0,38.66,2020-04-17 16:31:26.781496
80,City of Montebello,69.0,107.18,2020-04-17 16:31:26.781496
81,City of Monterey Park,38.0,61.03,2020-04-17 16:31:26.781496
82,City of Norwalk,93.0,86.41,2020-04-17 16:31:26.781496
83,City of Palmdale,131.0,82.41,2020-04-17 16:31:26.781496
84,City of Palos Verdes Estates,36.0,266.23,2020-04-17 16:31:26.781496
85,City of Paramount,54.0,96.39,2020-04-17 16:31:26.781496
86,City of Pico Rivera,77.0,119.78,2020-04-17 16:31:26.781496
87,City of Pomona,68.0,43.61,2020-04-17 16:31:26.781496
88,City of Rancho Palos Verdes,46.0,107.61,2020-04-17 16:31:26.781496
89,City of Redondo Beach,84.0,122.28,2020-04-17 16:31:26.781496
90,City of Rolling Hills,,--,2020-04-17 16:31:26.781496
91,City of Rolling Hills Estates,12.0,147.91,2020-04-17 16:31:26.781496
92,City of Rosemead,16.0,28.91,2020-04-17 16:31:26.781496
93,City of San Dimas,18.0,52.15,2020-04-17 16:31:26.781496
94,City of San Fernando,29.0,117.83,2020-04-17 16:31:26.781496
95,City of San Gabriel,15.0,36.63,2020-04-17 16:31:26.781496
96,City of San Marino,8.0,60.25,2020-04-17 16:31:26.781496
97,City of Santa Clarita,188.0,85.29,2020-04-17 16:31:26.781496
98,City of Santa Fe Springs,11.0,59.9,2020-04-17 16:31:26.781496
99,City of Santa Monica,107.0,115.74,2020-04-17 16:31:26.781496
100,City of Sierra Madre,,--,2020-04-17 16:31:26.781496
101,City of Signal Hill,5.0,42.38,2020-04-17 16:31:26.781496
102,City of South El Monte,,--,2020-04-17 16:31:26.781496
103,City of South Gate,123.0,125.31,2020-04-17 16:31:26.781496
104,City of South Pasadena,21.0,80.6,2020-04-17 16:31:26.781496
105,City of Temple City,24.0,65.83,2020-04-17 16:31:26.781496
106,City of Torrance,181.0,121.26,2020-04-17 16:31:26.781496
