,New Daily Counts,Cases,Rate
170,Los Angeles - Encino,108.0,239.09
171,Los Angeles - Exposition,6.0,180.4
172,Los Angeles - Exposition Park,194.0,431.91
173,Los Angeles - Faircrest Heights,4.0,111.11
174,Los Angeles - Figueroa Park Square,25.0,286.66
175,Los Angeles - Florence-Firestone,237.0,499.53
176,Los Angeles - Glassell Park,150.0,474.62
177,Los Angeles - Gramercy Place,47.0,436.64
178,Los Angeles - Granada Hills,208.0,357.44
179,Los Angeles - Green Meadows,102.0,474.31
180,Los Angeles - Hancock Park,72.0,422.56
181,Los Angeles - Harbor City,63.0,216.72
182,Los Angeles - Harbor Gateway,100.0,229.36
183,Los Angeles - Harbor Pines,6.0,249.07
184,Los Angeles - Harvard Heights,92.0,510.12
185,Los Angeles - Harvard Park,197.0,519.31
186,Los Angeles - Highland Park,132.0,272.78
187,Los Angeles - Historic Filipinotown,94.0,677.72
188,Los Angeles - Hollywood,228.0,334.05
189,Los Angeles - Hollywood Hills,74.0,251.41
190,Los Angeles - Hyde Park,106.0,371.4
191,Los Angeles - Jefferson Park,29.0,359.22
192,Los Angeles - Koreatown,203.0,392.7
193,Los Angeles - Lafayette Square,16.0,350.95
194,Los Angeles - Lake Balboa,145.0,343.55
195,Los Angeles - Lakeview Terrace,80.0,609.15
196,Los Angeles - Leimert Park,44.0,288.81
197,Los Angeles - Lincoln Heights,169.0,518.45
198,Los Angeles - Little Armenia,166.0,2068.54
199,Los Angeles - Little Bangladesh,104.0,366.93
200,Los Angeles - Little Tokyo,10.0,319.18
201,Los Angeles - Longwood,17.0,394.98
202,Los Angeles - Los Feliz,44.0,203.63
203,Los Angeles - Manchester Square,18.0,210.87
204,Los Angeles - Mandeville Canyon,1.0,32.01
205,Los Angeles - Mar Vista,68.0,160.11
206,Los Angeles - Marina Peninsula,9.0,206.42
207,Los Angeles - Melrose,448.0,576.61
208,Los Angeles - Mid-city,44.0,292.75
209,Los Angeles - Miracle Mile,39.0,216.85
210,Los Angeles - Mission Hills,114.0,472.56
211,Los Angeles - Mt. Washington,67.0,277.49
212,Los Angeles - North Hills,300.0,487.21
213,Los Angeles - North Hollywood,539.0,355.96
214,Los Angeles - Northridge,240.0,343.85
215,Los Angeles - Pacific Palisades,41.0,192.57
216,Los Angeles - Pacoima,485.0,630.04
217,Los Angeles - Palisades Highlands,3.0,78.0
218,Los Angeles - Palms,165.0,376.05
219,Los Angeles - Panorama City,530.0,704.32
220,Los Angeles - Park La Brea,15.0,110.46
221,Los Angeles - Pico-Union,413.0,987.05
222,Los Angeles - Playa Del Rey,2.0,62.58
223,Los Angeles - Playa Vista,22.0,200.97
224,Los Angeles - Porter Ranch,68.0,191.08
225,Los Angeles - Rancho Park,12.0,182.93
226,Los Angeles - Regent Square,3.0,107.91
227,Los Angeles - Reseda,372.0,485.53
228,Los Angeles - Reseda Ranch,25.0,539.26
229,Los Angeles - Reynier Village,9.0,212.87
230,Los Angeles - San Pedro*,782.0,1002.08
231,Los Angeles - Shadow Hills,9.0,202.61
232,Los Angeles - Sherman Oaks,194.0,222.34
233,Los Angeles - Silverlake,153.0,347.07
234,Los Angeles - South Carthay,27.0,254.84
235,Los Angeles - South Park,196.0,516.32
236,Los Angeles - St Elmo Village,35.0,763.53
237,Los Angeles - Studio City,66.0,294.12
238,Los Angeles - Sun Valley,222.0,422.99
239,Los Angeles - Sunland,116.0,568.4
240,Los Angeles - Sycamore Square,1.0,154.56
241,Los Angeles - Sylmar*,573.0,695.41
242,Los Angeles - Tarzana,102.0,330.35
243,Los Angeles - Temple-Beaudry,228.0,577.48
244,Los Angeles - Thai Town,24.0,244.67
245,Los Angeles - Toluca Lake,16.0,183.82
246,Los Angeles - Toluca Terrace,4.0,306.28
247,Los Angeles - Toluca Woods,3.0,161.46
248,Los Angeles - Tujunga,96.0,345.2
249,Los Angeles - University Hills,9.0,262.47
250,Los Angeles - University Park,126.0,458.92
251,Los Angeles - Valley Glen,106.0,353.14
252,Los Angeles - Valley Village,175.0,707.93
253,Los Angeles - Van Nuys,515.0,552.61
254,Los Angeles - Venice,58.0,171.17
255,Los Angeles - Vermont Knolls,93.0,540.7
256,Los Angeles - Vermont Square,65.0,848.9
257,Los Angeles - Vermont Vista,203.0,492.89
258,Los Angeles - Vernon Central,357.0,686.56
259,Los Angeles - Victoria Park,45.0,535.78
260,Los Angeles - View Heights,8.0,216.57
261,Los Angeles - Watts,163.0,381.97
262,Los Angeles - Wellington Square,17.0,345.88
263,Los Angeles - West Adams,158.0,571.84
264,Los Angeles - West Hills,102.0,251.57
265,Los Angeles - West Los Angeles,63.0,167.39
266,Los Angeles - West Vernon,321.0,598.39
267,Los Angeles - Westchester,82.0,158.91
268,Los Angeles - Westlake,469.0,790.16
269,Los Angeles - Westwood,60.0,110.89
270,Los Angeles - Wholesale District*,340.0,941.07
271,Los Angeles - Wilmington,143.0,253.16
272,Los Angeles - Wilshire Center,169.0,336.85
273,Los Angeles - Winnetka,225.0,434.48
274,Los Angeles - Woodland Hills,136.0,199.84
275,Unincorporated - Acton,9.0,112.91
276,Unincorporated - Agua Dulce,4.0,96.2
277,Unincorporated - Altadena,121.0,277.4
278,Unincorporated - Anaverde,1.0,66.31
279,Unincorporated - Angeles National Forest,0.0,0.0
280,Unincorporated - Arcadia,4.0,50.12
281,Unincorporated - Athens-Westmont,160.0,376.99
282,Unincorporated - Athens Village,20.0,408.41
283,Unincorporated - Avocado Heights,14.0,206.64
284,Unincorporated - Azusa,37.0,232.37
285,Unincorporated - Bassett,44.0,296.96
286,Unincorporated - Bouquet Canyon,0.0,0.0
287,Unincorporated - Bradbury,0.0,0.0
288,Unincorporated - Canyon Country,31.0,401.14
289,Unincorporated - Castaic*,263.0,967.23
290,Unincorporated - Cerritos,0.0,0.0
291,Unincorporated - Charter Oak,0.0,0.0
292,Unincorporated - Claremont,0.0,0.0
293,Unincorporated - Covina,43.0,255.66
294,Unincorporated - Covina (Charter Oak),25.0,190.2
295,Unincorporated - Del Aire,12.0,273.16
296,Unincorporated - Del Rey,0.0,0.0
297,Unincorporated - Del Sur,2.0,82.82
298,Unincorporated - Desert View Highlands,5.0,200.56
299,Unincorporated - Duarte,13.0,293.59
300,Unincorporated - East Covina,0.0,0.0
301,Unincorporated - East La Mirada,10.0,188.96
302,Unincorporated - East Lancaster,0.0,0.0
303,Unincorporated - East Los Angeles,540.0,431.07
304,Unincorporated - East Pasadena,1.0,15.62
305,Unincorporated - East Rancho Dominguez,30.0,195.98
