,location,cases,Rate**,date
34,City of Baldwin Park,44.0,57.31,2020-04-20 16:54:37.370910
35,City of Bell,93.0,255.97,2020-04-20 16:54:37.370910
36,City of Bell Gardens,58.0,134.66,2020-04-20 16:54:37.370910
37,City of Bellflower,74.0,95.2,2020-04-20 16:54:37.370910
38,City of Beverly Hills,94.0,272.31,2020-04-20 16:54:37.370910
39,City of Bradbury,,--,2020-04-20 16:54:37.370910
40,City of Burbank,141.0,131.55,2020-04-20 16:54:37.370910
41,City of Calabasas,29.0,119.23,2020-04-20 16:54:37.370910
42,City of Carson,163.0,173.69,2020-04-20 16:54:37.370910
43,City of Cerritos,40.0,79.89,2020-04-20 16:54:37.370910
44,City of Claremont,16.0,43.85,2020-04-20 16:54:37.370910
45,City of Commerce,7.0,53.56,2020-04-20 16:54:37.370910
46,City of Compton,115.0,115.11,2020-04-20 16:54:37.370910
47,City of Covina,63.0,128.49,2020-04-20 16:54:37.370910
48,City of Cudahy,30.0,123.22,2020-04-20 16:54:37.370910
49,City of Culver City,40.0,100.34,2020-04-20 16:54:37.370910
50,City of Diamond Bar,24.0,41.73,2020-04-20 16:54:37.370910
51,City of Downey,137.0,119.9,2020-04-20 16:54:37.370910
52,City of Duarte,32.0,145.35,2020-04-20 16:54:37.370910
53,City of El Monte,61.0,52.02,2020-04-20 16:54:37.370910
54,City of El Segundo,20.0,119.15,2020-04-20 16:54:37.370910
55,City of Gardena,107.0,174.52,2020-04-20 16:54:37.370910
56,City of Glendale,339.0,164.17,2020-04-20 16:54:37.370910
57,City of Glendora,33.0,62.54,2020-04-20 16:54:37.370910
58,City of Hawaiian Gardens,6.0,40.88,2020-04-20 16:54:37.370910
59,City of Hawthorne,106.0,119.39,2020-04-20 16:54:37.370910
60,City of Hermosa Beach,21.0,106.76,2020-04-20 16:54:37.370910
61,City of Hidden Hills,0.0,0,2020-04-20 16:54:37.370910
62,City of Huntington Park,78.0,131.13,2020-04-20 16:54:37.370910
63,City of Industry,,--,2020-04-20 16:54:37.370910
64,City of Inglewood,177.0,155.83,2020-04-20 16:54:37.370910
65,City of Irwindale,,--,2020-04-20 16:54:37.370910
66,City of La Canada Flintridge,30.0,144.98,2020-04-20 16:54:37.370910
67,City of La Habra Heights,,--,2020-04-20 16:54:37.370910
68,City of La Mirada,37.0,74.6,2020-04-20 16:54:37.370910
69,City of La Puente,22.0,54.06,2020-04-20 16:54:37.370910
70,City of La Verne,12.0,36.06,2020-04-20 16:54:37.370910
71,City of Lakewood,56.0,69.68,2020-04-20 16:54:37.370910
72,City of Lancaster,132.0,81.7,2020-04-20 16:54:37.370910
73,City of Lawndale,36.0,107.1,2020-04-20 16:54:37.370910
74,City of Lomita,27.0,130.25,2020-04-20 16:54:37.370910
75,City of Lynwood,103.0,142.96,2020-04-20 16:54:37.370910
76,City of Malibu,23.0,177.46,2020-04-20 16:54:37.370910
77,City of Manhattan Beach,59.0,163.89,2020-04-20 16:54:37.370910
78,City of Maywood,42.0,149.74,2020-04-20 16:54:37.370910
79,City of Monrovia,20.0,51.55,2020-04-20 16:54:37.370910
80,City of Montebello,80.0,124.27,2020-04-20 16:54:37.370910
81,City of Monterey Park,43.0,69.06,2020-04-20 16:54:37.370910
82,City of Norwalk,114.0,105.93,2020-04-20 16:54:37.370910
83,City of Palmdale,192.0,120.78,2020-04-20 16:54:37.370910
84,City of Palos Verdes Estates,36.0,266.23,2020-04-20 16:54:37.370910
85,City of Paramount,80.0,142.8,2020-04-20 16:54:37.370910
86,City of Pico Rivera,94.0,146.23,2020-04-20 16:54:37.370910
87,City of Pomona,82.0,52.59,2020-04-20 16:54:37.370910
88,City of Rancho Palos Verdes,49.0,114.63,2020-04-20 16:54:37.370910
89,City of Redondo Beach,91.0,132.47,2020-04-20 16:54:37.370910
90,City of Rolling Hills,,--,2020-04-20 16:54:37.370910
91,City of Rolling Hills Estates,13.0,160.24,2020-04-20 16:54:37.370910
92,City of Rosemead,17.0,30.71,2020-04-20 16:54:37.370910
93,City of San Dimas,23.0,66.64,2020-04-20 16:54:37.370910
94,City of San Fernando,39.0,158.46,2020-04-20 16:54:37.370910
95,City of San Gabriel,19.0,46.39,2020-04-20 16:54:37.370910
96,City of San Marino,8.0,60.25,2020-04-20 16:54:37.370910
97,City of Santa Clarita,221.0,100.26,2020-04-20 16:54:37.370910
98,City of Santa Fe Springs,14.0,76.24,2020-04-20 16:54:37.370910
99,City of Santa Monica,124.0,134.13,2020-04-20 16:54:37.370910
100,City of Sierra Madre,,--,2020-04-20 16:54:37.370910
101,City of Signal Hill,5.0,42.38,2020-04-20 16:54:37.370910
102,City of South El Monte,5.0,23.94,2020-04-20 16:54:37.370910
103,City of South Gate,154.0,156.89,2020-04-20 16:54:37.370910
104,City of South Pasadena,30.0,115.15,2020-04-20 16:54:37.370910
