,location,cases,Rate**,date
33,City of Baldwin Park,25.0,32.57,2020-04-12 17:52:41.592100
34,City of Bell,37.0,101.84,2020-04-12 17:52:41.592100
35,City of Bell Gardens,28.0,65.01,2020-04-12 17:52:41.592100
36,City of Bellflower,50.0,64.32,2020-04-12 17:52:41.592100
37,City of Beverly Hills,74.0,214.37,2020-04-12 17:52:41.592100
38,City of Bradbury,0.0,0,2020-04-12 17:52:41.592100
39,City of Burbank,102.0,95.17,2020-04-12 17:52:41.592100
40,City of Calabasas,23.0,94.56,2020-04-12 17:52:41.592100
41,City of Carson,118.0,125.74,2020-04-12 17:52:41.592100
42,City of Cerritos,32.0,63.91,2020-04-12 17:52:41.592100
43,City of Claremont,12.0,32.89,2020-04-12 17:52:41.592100
44,City of Commerce,,--,2020-04-12 17:52:41.592100
45,City of Compton,64.0,64.06,2020-04-12 17:52:41.592100
46,City of Covina,43.0,87.7,2020-04-12 17:52:41.592100
47,City of Cudahy,21.0,86.25,2020-04-12 17:52:41.592100
48,City of Culver City,31.0,77.76,2020-04-12 17:52:41.592100
49,City of Diamond Bar,20.0,34.77,2020-04-12 17:52:41.592100
50,City of Downey,101.0,88.39,2020-04-12 17:52:41.592100
51,City of Duarte,10.0,45.42,2020-04-12 17:52:41.592100
52,City of El Monte,28.0,23.88,2020-04-12 17:52:41.592100
53,City of El Segundo,11.0,65.53,2020-04-12 17:52:41.592100
54,City of Gardena,74.0,120.7,2020-04-12 17:52:41.592100
55,City of Glendale,248.0,120.1,2020-04-12 17:52:41.592100
56,City of Glendora,21.0,39.8,2020-04-12 17:52:41.592100
57,City of Hawaiian Gardens,,--,2020-04-12 17:52:41.592100
58,City of Hawthorne,70.0,78.84,2020-04-12 17:52:41.592100
59,City of Hermosa Beach,17.0,86.43,2020-04-12 17:52:41.592100
60,City of Hidden Hills,0.0,0,2020-04-12 17:52:41.592100
61,City of Huntington Park,42.0,70.61,2020-04-12 17:52:41.592100
62,City of Industry,,--,2020-04-12 17:52:41.592100
63,City of Inglewood,116.0,102.13,2020-04-12 17:52:41.592100
64,City of Irwindale,0.0,0,2020-04-12 17:52:41.592100
65,City of La Canada Flintridge,20.0,96.65,2020-04-12 17:52:41.592100
66,City of La Habra Heights,,--,2020-04-12 17:52:41.592100
67,City of La Mirada,21.0,42.34,2020-04-12 17:52:41.592100
68,City of La Puente,20.0,49.14,2020-04-12 17:52:41.592100
69,City of La Verne,8.0,24.04,2020-04-12 17:52:41.592100
70,City of Lakewood,41.0,51.02,2020-04-12 17:52:41.592100
71,City of Lancaster,87.0,53.85,2020-04-12 17:52:41.592100
72,City of Lawndale,25.0,74.37,2020-04-12 17:52:41.592100
73,City of Lomita,21.0,101.31,2020-04-12 17:52:41.592100
74,City of Lynwood,68.0,94.38,2020-04-12 17:52:41.592100
75,City of Malibu,16.0,123.45,2020-04-12 17:52:41.592100
76,City of Manhattan Beach,54.0,150,2020-04-12 17:52:41.592100
77,City of Maywood,26.0,92.69,2020-04-12 17:52:41.592100
78,City of Monrovia,13.0,33.51,2020-04-12 17:52:41.592100
79,City of Montebello,53.0,82.33,2020-04-12 17:52:41.592100
80,City of Monterey Park,31.0,49.79,2020-04-12 17:52:41.592100
81,City of Norwalk,76.0,70.62,2020-04-12 17:52:41.592100
82,City of Palmdale,99.0,62.28,2020-04-12 17:52:41.592100
83,City of Palos Verdes Estates,35.0,258.84,2020-04-12 17:52:41.592100
84,City of Paramount,38.0,67.83,2020-04-12 17:52:41.592100
85,City of Pico Rivera,57.0,88.67,2020-04-12 17:52:41.592100
86,City of Pomona,48.0,30.78,2020-04-12 17:52:41.592100
87,City of Rancho Palos Verdes,39.0,91.23,2020-04-12 17:52:41.592100
88,City of Redondo Beach,84.0,122.28,2020-04-12 17:52:41.592100
89,City of Rolling Hills,,--,2020-04-12 17:52:41.592100
90,City of Rolling Hills Estates,11.0,135.58,2020-04-12 17:52:41.592100
91,City of Rosemead,15.0,27.1,2020-04-12 17:52:41.592100
92,City of San Dimas,18.0,52.15,2020-04-12 17:52:41.592100
93,City of San Fernando,22.0,89.39,2020-04-12 17:52:41.592100
94,City of San Gabriel,13.0,31.74,2020-04-12 17:52:41.592100
95,City of San Marino,6.0,45.19,2020-04-12 17:52:41.592100
96,City of Santa Clarita,143.0,64.87,2020-04-12 17:52:41.592100
97,City of Santa Fe Springs,6.0,32.67,2020-04-12 17:52:41.592100
98,City of Santa Monica,92.0,99.52,2020-04-12 17:52:41.592100
99,City of Sierra Madre,,--,2020-04-12 17:52:41.592100
100,City of Signal Hill,,--,2020-04-12 17:52:41.592100
101,City of South El Monte,,--,2020-04-12 17:52:41.592100
102,City of South Gate,96.0,97.8,2020-04-12 17:52:41.592100
103,City of South Pasadena,15.0,57.57,2020-04-12 17:52:41.592100
104,City of Temple City,12.0,32.92,2020-04-12 17:52:41.592100
105,City of Torrance,143.0,95.8,2020-04-12 17:52:41.592100
106,City of Vernon,0.0,0,2020-04-12 17:52:41.592100
107,City of Walnut,13.0,42.58,2020-04-12 17:52:41.592100
108,City of West Covina,39.0,36.03,2020-04-12 17:52:41.592100
109,City of West Hollywood,102.0,276.04,2020-04-12 17:52:41.592100
110,City of Westlake Village,6.0,71.77,2020-04-12 17:52:41.592100
111,City of Whittier,51.0,58.33,2020-04-12 17:52:41.592100
112,Los Angeles,4092.0,101.17,2020-04-12 17:52:41.592100
113,Los Angeles - Adams-Normandie,15.0,182.88,2020-04-12 17:52:41.592100
114,Los Angeles - Alsace,6.0,48.21,2020-04-12 17:52:41.592100
115,Los Angeles - Angelino Heights,,--,2020-04-12 17:52:41.592100
116,Los Angeles - Arleta,24.0,69.83,2020-04-12 17:52:41.592100
117,Los Angeles - Atwater Village,8.0,54.55,2020-04-12 17:52:41.592100
118,Los Angeles - Baldwin Hills,31.0,99.6,2020-04-12 17:52:41.592100
119,Los Angeles - Bel Air,21.0,249.14,2020-04-12 17:52:41.592100
120,Los Angeles - Beverly Crest,26.0,207.58,2020-04-12 17:52:41.592100
121,Los Angeles - Beverlywood,20.0,151.83,2020-04-12 17:52:41.592100
122,Los Angeles - Boyle Heights,57.0,65.6,2020-04-12 17:52:41.592100
123,Los Angeles - Brentwood,53.0,171.22,2020-04-12 17:52:41.592100
124,Los Angeles - Brookside,0.0,0,2020-04-12 17:52:41.592100
125,Los Angeles - Cadillac-Corning,5.0,70.21,2020-04-12 17:52:41.592100
126,Los Angeles - Canoga Park,76.0,116.41,2020-04-12 17:52:41.592100
127,Los Angeles - Carthay,30.0,208.87,2020-04-12 17:52:41.592100
128,Los Angeles - Central,39.0,100.02,2020-04-12 17:52:41.592100
129,Los Angeles - Century City,27.0,211.07,2020-04-12 17:52:41.592100
130,Los Angeles - Century Palms/Cove,28.0,82.92,2020-04-12 17:52:41.592100
131,Los Angeles - Chatsworth,36.0,97.14,2020-04-12 17:52:41.592100
132,Los Angeles - Cheviot Hills,11.0,119.94,2020-04-12 17:52:41.592100
133,Los Angeles - Chinatown,,--,2020-04-12 17:52:41.592100
134,Los Angeles - Cloverdale/Cochran,11.0,75.59,2020-04-12 17:52:41.592100
135,Los Angeles - Country Club Park,23.0,151.79,2020-04-12 17:52:41.592100
136,Los Angeles - Crenshaw District,16.0,115.7,2020-04-12 17:52:41.592100
137,Los Angeles - Crestview,42.0,369.46,2020-04-12 17:52:41.592100
138,Los Angeles - Del Rey,32.0,106.89,2020-04-12 17:52:41.592100
139,Los Angeles - Downtown,27.0,98.16,2020-04-12 17:52:41.592100
140,Los Angeles - Eagle Rock,35.0,88.41,2020-04-12 17:52:41.592100
141,Los Angeles - East Hollywood,45.0,153.65,2020-04-12 17:52:41.592100
142,Los Angeles - Echo Park,9.0,63.13,2020-04-12 17:52:41.592100
143,Los Angeles - El Sereno,35.0,83.72,2020-04-12 17:52:41.592100
144,Los Angeles - Elysian Park,5.0,87.54,2020-04-12 17:52:41.592100
145,Los Angeles - Elysian Valley,8.0,78.65,2020-04-12 17:52:41.592100
146,Los Angeles - Encino,51.0,112.9,2020-04-12 17:52:41.592100
147,Los Angeles - Exposition,0.0,0,2020-04-12 17:52:41.592100
148,Los Angeles - Exposition Park,47.0,104.64,2020-04-12 17:52:41.592100
149,Los Angeles - Faircrest Heights,,--,2020-04-12 17:52:41.592100
150,Los Angeles - Figueroa Park Square,7.0,80.27,2020-04-12 17:52:41.592100
151,Los Angeles - Florence-Firestone,45.0,94.85,2020-04-12 17:52:41.592100
152,Los Angeles - Glassell Park,56.0,177.19,2020-04-12 17:52:41.592100
153,Los Angeles - Gramercy Place,10.0,92.9,2020-04-12 17:52:41.592100
154,Los Angeles - Granada Hills,46.0,79.05,2020-04-12 17:52:41.592100
155,Los Angeles - Green Meadows,14.0,65.1,2020-04-12 17:52:41.592100
156,Los Angeles - Hancock Park,46.0,269.97,2020-04-12 17:52:41.592100
157,Los Angeles - Harbor City,24.0,82.56,2020-04-12 17:52:41.592100
158,Los Angeles - Harbor Gateway,32.0,73.39,2020-04-12 17:52:41.592100
159,Los Angeles - Harbor Pines,0.0,0,2020-04-12 17:52:41.592100
160,Los Angeles - Harvard Heights,21.0,116.44,2020-04-12 17:52:41.592100
161,Los Angeles - Harvard Park,25.0,65.9,2020-04-12 17:52:41.592100
162,Los Angeles - Highland Park,32.0,66.13,2020-04-12 17:52:41.592100
163,Los Angeles - Historic Filipinotown,19.0,136.99,2020-04-12 17:52:41.592100
164,Los Angeles - Hollywood,115.0,168.49,2020-04-12 17:52:41.592100
